Index,Gx,Gy,Gz
0,-146,-488,408
1,-306,-786,407
2,42,5,384
3,164,173,116
4,496,751,114
5,216,1321,6
6,432,1775,-253
7,380,3009,461
8,382,3945,463
9,460,4381,815
10,222,6032,404
11,686,7294,-14
12,1862,8283,-847
13,2376,8864,-1069
14,2720,9592,-1206
15,3478,9399,-1295
16,3242,9869,-597
17,3346,10353,-111
18,2682,11221,42
19,2444,10871,-343
20,1690,11476,-182
21,2054,12474,-840
22,3130,13887,-1374
23,3600,14882,-1064
24,3924,14338,-1162
25,3764,12939,-1011
26,3594,12313,-939
27,3266,10903,-807
28,3020,9663,15
29,2436,8287,-28
30,1866,7267,104
31,1060,6573,123
32,820,6003,-21
33,78,5760,-472
34,354,5412,-77
35,556,5801,-58
36,816,6012,-409
37,1306,6227,108
38,1026,6192,256
39,1366,6264,46
40,1250,6545,423
41,552,6432,474
42,496,5907,234
43,-878,5454,281
44,-1478,5384,-40
45,-1514,5903,-740
46,-1908,6762,-528
47,-1854,7535,-726
48,-2450,7494,-596
49,-2182,6594,-970
50,-2200,5715,-428
51,-2454,3984,19
52,-1480,1127,-182
53,-1162,-1152,-630
54,-1004,-3049,-969
55,-642,-3780,-799
56,-40,-4309,-867
57,-90,-4096,-530
58,-342,-5576,-655
59,-234,-6948,-496
60,-232,-8965,-89
61,-658,-10483,-141
62,-1260,-11697,372
63,-2354,-13738,232
64,-2856,-15832,1022
65,-3066,-18248,1432
66,-2706,-20052,1509
67,-2216,-21537,1429
68,-2272,-22458,1217
69,-2312,-22475,1541
70,-2216,-20582,1205
71,-1626,-17097,1456
72,-1822,-14730,847
73,-1046,-12993,1031
74,-960,-13073,811
75,-898,-13724,805
76,-436,-14727,819
77,-404,-15609,763
78,-798,-15702,1540
79,-776,-15345,1605
80,-1280,-14196,1602
81,-1066,-13117,1272
82,-1534,-12265,626
83,-1168,-12719,-221
84,-934,-13023,-1379
85,-270,-12593,-1682
86,284,-11780,-2667
87,822,-10811,-3349
88,180,-10232,-3489
89,-336,-10362,-2759
90,-1002,-11624,-2900
91,-1290,-13635,-2214
92,-1582,-15350,-1870
93,-1614,-17636,-1843
94,-1460,-18957,-2409
95,-1174,-19858,-2564
96,-532,-19637,-2817
97,-846,-18468,-2597
98,-646,-16458,-2905
99,-518,-14067,-3039
100,-1290,-11250,-3407
101,-1288,-9399,-3401
102,-1356,-8305,-3032
103,-1124,-9211,-2639
104,-1114,-11193,-2571
105,-1260,-13148,-2737
106,-702,-13997,-2633
107,-358,-13401,-2494
108,332,-12300,-1628
109,834,-11330,-1279
110,1418,-9589,-452
111,1212,-6814,2
112,1744,-4103,408
113,1792,-1962,350
114,2082,-54,-13
115,2494,1152,-297
116,2332,2108,330
117,1850,1818,84
118,1042,783,-237
119,192,961,32
120,-208,1325,504
121,-852,2587,245
122,-1106,3748,622
123,-1228,4334,678
124,-1242,4646,1007
125,-1180,4808,799
126,-1346,6092,1038
127,-912,7039,881
128,-842,8577,1123
129,-622,10011,1417
130,-718,12231,1766
131,-1016,13495,2050
132,-1096,14784,2437
133,-1434,15636,1828
134,-1250,16278,2062
135,-1294,16237,1187
136,-1252,16634,800
137,-1470,17508,738
138,-1446,18022,525
139,-1172,18288,429
140,-1318,17902,849
141,-682,17873,654
142,-646,17313,1085
143,-934,16619,716
144,-590,15925,858
145,-998,15522,380
146,-906,15106,501
147,-832,15062,644
148,-646,14092,921
149,-826,13785,551
150,-1104,13460,1380
151,-1342,12947,1235
152,-1892,13194,1753
153,-1856,13066,2008
154,-1208,13607,1532
155,-1340,14433,1453
156,-1436,15772,787
157,-588,16719,96
158,-78,17429,-120
159,70,17533,-50
160,48,16834,-319
161,224,15784,260
162,900,14041,443
163,980,12963,842
164,664,11327,869
165,544,10337,129
166,860,10173,-319
167,636,10400,-558
168,1248,10869,-818
169,1238,11174,-597
170,1820,11239,-980
171,1468,10640,-426
172,1098,9468,-60
173,1170,8427,369
174,1340,7685,945
175,676,6694,683
176,726,6171,350
177,178,5546,-96
178,316,4735,-500
179,-362,4239,-697
180,-820,5103,-762
181,-1344,4930,-37
182,-1284,4200,476
183,-538,2861,803
184,-472,2335,651
185,-352,2480,790
186,20,1579,832
187,-218,52,256
188,-542,-1314,-368
189,-560,-2599,-151
190,-968,-3751,-607
191,-700,-4707,-487
192,-712,-5558,-616
193,-188,-6730,-709
194,800,-8575,-1029
195,1346,-9860,-1086
196,2108,-11967,-1369
197,2646,-14231,-1369
198,2974,-16027,-1031
199,2100,-17767,-780
200,1066,-19244,-186
201,852,-19976,-412
202,796,-20457,268
