Index,Gx,Gy,Gz
0,-165,190,206
1,-211,502,252
2,-271,293,33
3,-625,417,25
4,-1065,525,379
5,-1793,1509,0
6,-3279,1124,69
7,-4467,696,376
8,-5723,-468,-524
9,-5937,-1042,-882
10,-6087,-1914,-1031
11,-5941,-2026,-943
12,-5979,-1603,-275
13,-6095,-747,-586
14,-6441,-95,-493
15,-7321,667,-419
16,-8301,1939,-43
17,-9179,2460,297
18,-9941,2368,222
19,-9823,1472,-419
20,-9207,879,-595
21,-8081,183,-173
22,-7821,-317,-155
23,-7109,-384,-410
24,-7513,-495,-916
25,-8169,-339,-1110
26,-8763,-363,-1173
27,-8911,-192,-1279
28,-7909,-455,-1380
29,-6531,-62,-810
30,-7615,-45,-1060
31,-8781,-584,-1137
32,-8857,-1208,-1353
33,-8093,-1190,-1347
34,-8569,-544,-709
35,-10129,279,-166
36,-10733,374,-362
37,-10139,286,-118
38,-9295,-500,-459
39,-8185,-777,-211
40,-7381,-417,-768
41,-7269,-810,-939
42,-8255,-987,-1217
43,-8617,-116,-1774
44,-9731,391,-2499
45,-9471,1105,-3060
46,-9101,1697,-3152
47,-8489,1330,-3051
48,-8555,233,-2482
49,-8257,-650,-1739
50,-7587,-1043,-1487
51,-6475,-510,-1116
52,-5859,969,-706
53,-4541,1210,-91
54,-3741,1668,354
55,-2507,1816,-6
56,-1641,1446,295
57,-487,1325,773
58,881,931,1313
59,2009,157,1725
60,3649,466,1728
61,4907,256,1448
62,6807,-317,902
63,8671,-426,747
64,10373,734,850
65,10967,1765,1195
66,11493,2920,1807
67,11303,2728,1956
68,10447,1507,1497
69,9711,134,1264
70,9063,-953,390
71,9625,-2492,-331
72,10613,-3238,-1198
73,11731,-4427,-2025
74,13549,-4286,-2257
75,14257,-4008,-2192
76,14939,-3578,-2230
77,14461,-2998,-1776
78,13479,-2570,-1935
79,12677,-2412,-1284
80,13005,-2175,-1655
81,14113,-1845,-2562
82,16033,-1896,-2823
83,17617,-1467,-3192
84,19161,-1005,-2687
85,20175,744,-2380
86,19689,2991,-1455
87,18261,4687,-221
88,16261,5364,766
89,13323,3080,1235
90,10853,-379,393
91,9111,-3350,-791
92,8831,-4874,-1820
93,9347,-5697,-1727
94,10953,-5060,-1892
95,11567,-2572,-697
96,11631,882,-361
97,11053,3326,831
98,10475,4220,788
99,9493,2801,445
100,9169,1026,537
101,9395,-140,397
102,9429,-1066,-441
103,9231,-1668,-971
104,9435,-2259,-1611
105,9885,-2711,-1416
106,10531,-3249,-1440
107,11403,-3200,-1065
108,11227,-1855,-758
109,11465,-71,-650
110,11521,582,-578
111,11361,694,-133
112,10703,1389,39
113,10919,1598,389
114,10283,1387,283
115,10133,-80,107
116,10061,-1616,-81
117,10005,-2633,-70
118,9849,-3307,100
119,9397,-3341,710
120,8721,-2532,692
121,7967,-1508,550
122,6413,-513,643
123,4997,277,522
124,4705,-334,53
125,3761,-399,-256
126,2421,-89,-712
127,1351,274,-609
128,-107,1388,-1018
129,-2155,1883,-998
130,-3883,1681,-768
131,-5565,2154,-826
132,-7567,3054,-725
133,-10239,3285,-917
134,-11587,3518,-1071
135,-13637,2595,-739
136,-14819,1784,-1474
137,-15467,785,-1161
138,-15033,479,-1766
139,-14101,407,-2007
140,-14003,1023,-1727
141,-13865,1520,-1929
142,-13979,1248,-1559
143,-14789,1341,-690
144,-15671,235,-577
145,-16099,240,256
146,-16877,706,629
147,-17105,2069,1947
148,-16099,3477,2211
149,-15479,3692,2117
150,-15161,2988,1113
151,-15439,760,258
152,-15563,-1439,-742
153,-14807,-2962,-2069
154,-15171,-2701,-2023
155,-15785,-1799,-1706
156,-16445,-1112,-218
157,-17019,-1193,1306
158,-16631,-1391,2569
159,-16027,-61,2638
160,-14951,421,2725
161,-14031,246,1989
162,-13893,70,1856
163,-14249,-327,655
164,-14881,-61,-924
165,-14711,-799,-1659
166,-14669,-1059,-2296
167,-14891,-3069,-1615
168,-13833,-3776,-93
169,-13949,-3685,1423
170,-14153,-3456,1533
171,-14479,-2161,1495
172,-13277,-178,1814
173,-12331,2020,2238
174,-12207,4087,2257
175,-13477,5981,2229
176,-14127,6374,2010
177,-14455,5046,1571
178,-13561,2957,1549
179,-11889,666,1841
180,-9379,-382,1925
181,-7031,-90,1149
182,-6431,679,980
183,-5931,1403,1317
184,-5279,1805,603
185,-3949,2254,935
186,-3807,3485,977
187,-3535,4021,1149
188,-3263,3313,1112
189,-2171,1878,1286
190,-1181,478,1436
191,-45,-853,1090
192,1741,-1621,1033
193,3347,-2174,521
194,3997,-2240,137
195,4397,-1556,232
196,4341,-589,42
197,4281,501,255
198,4543,1762,-78
199,5013,2357,-315
200,5979,1765,-1158
201,6983,-491,-1997
202,8437,-2706,-2270
