Index,Gx,Gy,Gz
0,92,3,170
1,-180,217,184
2,-176,-133,-87
3,86,-411,159
4,-118,-389,-125
5,204,218,-136
6,518,108,-416
7,264,-84,-185
8,490,142,-460
9,464,284,-476
10,458,-368,-463
11,-96,-167,-431
12,160,-379,-393
13,168,206,-104
14,422,248,134
15,240,260,-402
16,566,258,-404
17,308,-2,-144
18,580,286,-140
19,582,320,-398
20,286,282,-168
21,508,-36,-184
22,478,-350,-457
23,234,-416,-175
24,256,-252,-155
25,538,-112,156
26,572,-218,-398
27,348,-306,-232
28,624,-868,-277
29,366,-932,-349
30,362,-826,-173
31,592,-1066,-254
32,332,-1156,-652
33,316,-1800,-1035
34,504,-2568,-861
35,78,-2923,-864
36,-222,-3474,-714
37,-352,-4120,-478
38,-1132,-5048,-188
39,-1728,-6600,29
40,-2254,-7752,382
41,-2576,-9073,72
42,-2672,-10058,-154
43,-2580,-11545,-211
44,-2138,-13042,-1117
45,-1926,-14722,-1284
46,-2164,-15581,-1351
47,-1526,-14721,-1530
48,-1266,-12631,-1510
49,-674,-10925,-830
50,-308,-10279,-1276
51,80,-10363,-2103
52,150,-11021,-2552
53,544,-12788,-3145
54,648,-13313,-3364
55,1548,-13886,-3505
56,2174,-14063,-2862
57,2910,-15154,-2853
58,3512,-14610,-2195
59,3420,-11904,-1874
60,3558,-8753,-688
61,3544,-6145,203
62,2760,-4141,740
63,1756,-3643,609
64,684,-3527,432
65,-192,-3851,190
66,-772,-4483,-2
67,-550,-3806,-52
68,-510,-2692,61
69,-718,-1097,207
70,-246,1138,126
71,-206,3268,828
72,-172,4498,427
73,-98,5482,521
74,-320,6363,-104
75,-326,6571,-278
76,94,7136,-378
77,12,8408,-844
78,-380,9749,-1080
79,-724,11501,-933
80,-674,13139,-297
81,-340,14746,-397
82,70,16178,-537
83,88,17607,-134
84,466,17847,-1039
85,1044,18604,-1491
86,1096,18953,-1630
87,1378,18906,-2042
88,1386,18269,-2157
89,1922,17436,-1792
90,1770,16583,-2123
91,2118,16140,-1978
92,1524,14799,-1247
93,1048,13897,-1544
94,340,13083,-1049
95,642,12912,-735
96,624,13977,-220
97,1202,15030,-538
98,1782,14768,-302
99,2508,13860,-504
100,2496,12493,-741
101,2720,12074,-852
102,2228,12508,-596
103,2100,12608,-411
104,1258,12132,95
105,366,10879,52
106,68,9573,-184
107,-626,8485,-337
108,-716,8982,-590
109,-936,8801,-485
110,-598,9394,206
111,-524,8875,455
112,20,8284,1180
113,104,7646,1872
114,-186,6700,2381
115,-68,5902,2569
116,-666,4707,2224
117,-724,3995,1506
118,-488,3333,1699
119,-654,3433,1161
120,-166,3418,603
121,-226,3445,706
122,-298,2835,303
123,-222,2026,-123
124,58,1472,17
125,76,1096,352
126,-476,29,897
127,-528,-278,692
128,-926,-1269,489
129,-542,-1640,-120
130,-520,-2379,-195
131,-264,-3034,-412
132,-20,-4274,-321
133,-452,-6125,-874
134,-792,-7914,-1268
135,-1206,-10604,-1397
136,-1670,-12089,-2076
137,-1676,-13705,-2298
138,-1694,-14897,-1872
139,-1862,-16061,-1772
140,-1906,-17325,-1209
141,-1944,-16478,-890
142,-2380,-16282,-971
143,-2228,-14978,-834
144,-1394,-14044,-1429
145,-442,-12890,-2137
146,342,-11056,-2674
147,848,-11316,-2475
148,984,-11490,-888
149,308,-13072,759
150,-116,-14710,1558
151,-60,-15890,2110
152,-162,-15600,2276
153,514,-14786,1740
154,370,-13387,1730
155,948,-12874,1759
156,452,-13127,1397
157,14,-14957,740
158,-350,-18482,-492
159,-1364,-21618,-816
160,-1626,-23528,-535
161,-1932,-21963,-520
162,-1640,-20112,-399
163,-1530,-18811,-702
164,-1678,-18315,-1005
165,-1248,-17122,-1104
166,-958,-16416,-1354
167,-1310,-15572,-1775
168,-1750,-15395,-1677
169,-2170,-15243,-1645
170,-2670,-14883,-852
171,-2786,-14741,-866
172,-2382,-14035,-778
173,-1076,-13490,-935
174,8,-12716,-1570
175,882,-12638,-1687
176,1434,-12293,-1667
177,1822,-11079,-1759
178,2312,-9030,-1936
179,2318,-7003,-1650
180,2826,-4532,-874
181,2988,-2070,-500
182,2534,317,144
183,2238,1854,107
184,1860,3600,-14
185,1608,5098,43
186,1098,6782,413
187,652,8358,759
188,2,9563,767
189,-78,10960,547
190,-684,12727,1176
191,120,15058,1785
192,260,17469,2694
193,1158,19401,3144
194,1530,20537,3340
195,1330,21201,2594
196,1584,21076,1450
197,718,21151,446
198,882,21066,-114
199,1090,20439,-489
200,1692,19532,-1001
201,2080,18826,-1406
202,1912,17513,-2016
