Index,Gx,Gy,Gz
0,350,42,-150
1,80,-200,390
2,102,-198,118
3,58,22,-140
4,38,-63,392
5,-230,-71,148
6,28,-273,160
7,-222,-245,116
8,72,328,99
9,84,156,59
10,-270,453,29
11,-310,77,-209
12,-26,-327,40
13,0,-387,48
14,24,-83,102
15,344,56,132
16,122,138,143
17,136,340,387
18,382,-230,148
19,328,6,186
20,8,19,450
21,-10,35,422
22,-8,21,388
23,-250,-61,84
24,12,-123,68
25,74,-306,76
26,404,-200,98
27,444,126,91
28,174,214,-167
29,400,316,-207
30,332,410,14
31,-234,439,-204
32,-38,323,96
33,-12,1517,415
34,6,2241,404
35,26,3993,-255
36,296,3994,-223
37,630,2686,-300
38,860,2517,15
39,628,2117,25
40,732,2018,60
41,496,2715,-144
42,274,3794,-298
43,366,4684,-828
44,38,5579,-936
45,94,6110,-1312
46,498,6402,-1632
47,488,7231,-1593
48,824,6940,-1771
49,824,6457,-1508
50,1102,6308,-1080
51,718,5865,-884
52,756,5086,76
53,194,3981,315
54,-248,2339,986
55,-724,1859,761
56,-812,1452,1419
57,-1002,701,1190
58,-1342,1649,997
59,-1076,3009,589
60,-698,3764,139
61,-900,4365,17
62,-302,4990,-445
63,-202,4995,-809
64,488,5018,-854
65,360,7032,-771
66,-330,9621,-1196
67,-270,12639,-1762
68,486,14906,-1934
69,828,16262,-2161
70,964,15223,-2758
71,1380,13401,-2053
72,1864,11920,-2213
73,1302,11063,-1902
74,1120,11083,-1678
75,1404,10752,-1392
76,1046,9819,-654
77,684,8961,97
78,640,7276,467
79,368,5566,287
80,-538,3111,1098
81,-1232,231,1082
82,-1392,-2441,1510
83,-1192,-4421,1620
84,-1228,-5118,1527
85,-1300,-6087,1023
86,-610,-7231,911
87,-258,-9019,342
88,564,-9899,405
89,744,-11559,-155
90,1516,-13012,152
91,1574,-14136,550
92,1248,-15138,369
93,1064,-15967,1153
94,796,-16828,2003
95,436,-18125,2249
96,62,-19072,2471
97,-412,-20466,2311
98,-700,-21636,2733
99,-1806,-22351,2745
100,-2088,-22403,3254
101,-2130,-21820,3669
102,-2084,-21906,3276
103,-1680,-21746,3728
104,-1412,-21457,3860
105,86,-21936,3648
106,1696,-21986,3051
107,3136,-21992,2605
108,3722,-21008,1869
109,3372,-20718,1687
110,2328,-21654,1346
111,1178,-23036,1189
112,456,-25099,1472
113,484,-27110,1004
114,562,-28516,140
115,864,-27716,621
116,802,-26353,182
117,1516,-22611,330
118,2538,-18002,1020
119,3634,-12778,1697
120,4226,-9547,2720
121,5490,-7644,3323
122,5532,-7830,4013
123,4960,-8614,3373
124,4112,-8694,2874
125,2976,-8001,2258
126,2106,-6464,2520
127,1578,-5012,2296
128,1026,-4288,2130
129,550,-4010,1692
130,38,-3202,1156
131,-870,-2297,702
132,-524,-184,291
133,-786,794,-192
134,-804,2356,-861
135,-582,3708,-599
136,-620,5664,-1031
137,-544,7744,-1093
138,-922,9439,-990
139,-464,11544,-546
140,-934,13826,-439
141,-1058,15048,-599
142,-1950,16535,-1358
143,-1854,19088,-2133
144,-1758,22054,-2917
145,-1202,23816,-3880
146,-1088,25075,-4252
147,-532,24670,-4690
148,-558,23861,-4604
149,-430,22784,-4812
150,-124,22326,-4683
151,-420,21919,-4938
152,50,21169,-4672
153,162,20690,-4757
154,8,19873,-3998
155,-344,19020,-4121
156,-950,18415,-4108
157,-884,18142,-4339
158,-588,18614,-5033
159,-638,20307,-5785
160,-404,21505,-6164
161,458,22127,-5584
162,830,22245,-4816
163,724,21721,-3030
164,798,20686,-1650
165,104,19431,-236
166,-146,18219,1020
167,-636,18660,1571
168,-1886,18859,1442
169,-2430,18967,1573
170,-2642,18029,1176
171,-2510,16852,1422
172,-2346,14678,837
173,-1812,11075,1408
174,-914,8379,1074
175,358,6882,950
176,236,6639,1048
177,304,6357,321
178,574,5316,603
179,642,3670,237
180,656,1270,482
181,62,-1143,284
182,-292,-3575,222
183,-4,-5300,387
184,-304,-7332,-22
185,-442,-8641,-212
186,-302,-9589,-124
187,0,-9825,-714
188,338,-10286,-409
189,256,-10936,23
190,428,-11671,89
191,636,-12218,486
192,882,-13179,766
193,1042,-12833,675
194,764,-12823,1134
195,646,-13326,1558
196,-260,-14749,1232
197,-846,-15662,2080
198,-1970,-16165,2235
199,-2176,-17276,2650
200,-2808,-18286,2980
201,-2990,-18905,3576
202,-2252,-19408,3400
203,-1454,-19824,4203
