Index,Gx,Gy,Gz
0,-303,621,-136
1,-325,567,-92
2,-369,209,-61
3,-109,-105,201
4,-99,199,221
5,-91,565,-22
6,-295,401,8
7,-21,527,319
8,3,410,363
9,275,1006,-90
10,25,1090,226
11,13,950,40
12,269,800,49
13,-35,1383,62
14,-93,1811,359
15,-163,3623,676
16,-465,4879,702
17,-71,6430,114
18,-125,8462,-236
19,-445,10633,-1467
20,227,13090,-1932
21,879,15452,-2400
22,599,17485,-2352
23,609,18873,-2613
24,515,20265,-2262
25,833,20790,-2278
26,79,21489,-2659
27,-3,22223,-2977
28,429,22493,-2942
29,861,22066,-2369
30,621,21842,-2372
31,403,21763,-1654
32,279,21324,-1266
33,-289,20460,-1465
34,-57,18956,-1113
35,59,16158,-621
36,465,13125,-59
37,347,10745,662
38,-63,7864,1203
39,-1377,5803,1051
40,-1975,4785,1293
41,-1665,4512,872
42,-1579,4010,769
43,-1855,3221,-111
44,-1399,1498,-70
45,-1117,-744,-267
46,-1505,-2370,-189
47,-1615,-3969,-332
48,-1129,-5618,-892
49,-693,-7192,-337
50,-333,-8764,-314
51,63,-10805,-237
52,585,-12407,-537
53,1301,-13544,216
54,929,-15051,-86
55,757,-17101,223
56,699,-18554,160
57,903,-19734,120
58,773,-20370,105
59,187,-20844,827
60,-205,-21893,1221
61,-733,-22951,1778
62,-1075,-23882,1536
63,-1921,-24676,2427
64,-2071,-23914,2564
65,-2293,-23887,2957
66,-1951,-23735,3379
67,-145,-22456,2955
68,1481,-20634,2658
69,2173,-18579,2705
70,2963,-17178,2087
71,2177,-17382,2200
72,1323,-19401,1954
73,127,-21439,1850
74,-49,-23226,2202
75,-893,-23947,2316
76,-993,-24475,1658
77,-367,-24566,1688
78,205,-24833,1692
79,1271,-24929,1679
80,1711,-24958,1385
81,1649,-24118,886
82,1049,-21651,191
83,1191,-18096,-27
84,1261,-15239,423
85,1361,-14057,1033
86,1511,-13069,1590
87,1867,-13026,1749
88,1529,-12193,1717
89,1545,-11197,1591
90,1893,-9830,1340
91,1553,-8982,1143
92,1227,-8001,1359
93,1507,-7183,1421
94,1603,-6184,1208
95,1549,-4740,1320
96,1273,-2913,589
97,877,-1277,718
98,489,-191,737
99,407,1522,272
100,-367,2749,-457
101,-505,4705,-1100
102,-363,6326,-1105
103,-151,8136,-1548
104,-789,9533,-1218
105,-557,10900,-1962
106,-1257,12261,-2123
107,-1559,14954,-2002
108,-2075,17057,-1787
109,-1971,18736,-2014
110,-1879,20051,-1834
111,-1321,20459,-2634
112,-489,20794,-3140
113,109,22530,-3548
114,549,23879,-3270
115,1125,24977,-3790
116,1767,25382,-4295
117,1859,26195,-4873
118,1949,26920,-5942
119,1139,27709,-6978
120,825,28223,-8302
121,351,28708,-8323
122,-131,28866,-8767
123,-481,28354,-8748
124,-307,27098,-8772
125,-43,26257,-8268
126,-83,24427,-7749
127,-85,24264,-7129
128,-473,25038,-7112
129,-113,26146,-6449
130,-143,26784,-5511
131,-753,26107,-4211
132,-1063,24576,-3176
133,-1691,22495,-2018
134,-1773,19729,-949
135,-1583,17028,320
136,-2511,12627,978
137,-3003,9043,1574
138,-2925,6428,1293
139,-2855,5819,-104
140,-1731,5510,-1419
141,-1551,6699,-1724
142,-273,7140,-2277
143,289,7883,-2328
144,793,7427,-2481
145,523,6751,-1705
146,313,4351,-1061
147,-445,1536,-123
148,-1079,-1666,314
149,-2011,-3848,-82
150,-2231,-5287,201
151,-2129,-5745,-177
152,-1771,-5993,-843
153,-1109,-7265,-1107
154,-319,-8404,-772
155,369,-10215,-613
156,629,-11695,310
157,1465,-13142,792
158,1119,-14947,1726
159,1429,-16529,2118
160,1487,-17590,2908
161,611,-17992,3254
162,-287,-18136,3332
163,-1031,-17858,2988
164,-1411,-18620,2591
165,-1459,-19226,2482
166,-1215,-20586,2815
167,-1615,-21311,3223
168,-1743,-22265,3108
169,-1831,-23207,3190
170,-731,-23928,3356
171,-291,-24556,2900
172,355,-24452,2854
173,175,-24246,2027
174,339,-22945,2055
175,665,-22234,1602
176,841,-22031,1775
177,739,-21860,1385
178,531,-21976,955
179,61,-22679,610
180,485,-24178,857
181,131,-25241,163
182,769,-25361,-98
183,1063,-24672,265
184,1311,-21557,596
185,1759,-17296,1462
186,2455,-13809,2596
187,3101,-12276,3061
188,3083,-12079,3260
189,3357,-12306,3076
190,2689,-12194,2977
191,2297,-11543,3045
192,2285,-9888,2968
193,1625,-8353,3402
194,1723,-7473,3499
195,2409,-7850,3445
196,2521,-8376,2119
197,2257,-8232,1536
198,2399,-7526,1377
199,1759,-5997,1171
200,1949,-4223,1361
201,1993,-2609,1500
202,2351,-2468,1487
