Index,Gx,Gy,Gz
0,181,1028,229
1,-171,1425,269
2,-497,1049,26
3,-515,1609,297
4,-215,1565,36
5,-185,2177,267
6,-385,2615,-14
7,189,4022,173
8,227,4608,-224
9,281,5804,-454
10,31,7456,-991
11,61,8550,-815
12,161,9647,-1607
13,685,10422,-1303
14,559,10919,-1678
15,1369,11822,-1635
16,925,12623,-1232
17,1255,13800,-1576
18,721,15581,-1080
19,469,16602,-892
20,43,16723,-678
21,-31,16241,-391
22,225,15713,-156
23,305,16115,145
24,417,15884,-436
25,535,16014,-517
26,461,15283,-226
27,1031,14356,-20
28,1113,14049,657
29,1559,12878,731
30,1723,10998,976
31,917,8955,1407
32,821,6353,945
33,849,4446,1367
34,475,2436,521
35,693,568,-13
36,747,-350,-471
37,499,-618,-526
38,67,-831,-637
39,-97,-1269,-318
40,65,-2320,-388
41,37,-4414,-276
42,87,-6370,-556
43,181,-8627,-131
44,-15,-11193,-176
45,-3,-13011,-367
46,-99,-15181,-141
47,-189,-15987,57
48,-645,-16868,904
49,-1763,-16797,1041
50,-2515,-16980,1773
51,-3181,-18227,1514
52,-2755,-19356,1972
53,-3159,-20721,2290
54,-3109,-22073,2243
55,-2681,-23426,2273
56,-3037,-24224,2190
57,-3171,-25493,2434
58,-2299,-26248,1887
59,-2129,-27264,1396
60,-1323,-26696,663
61,-655,-25458,-57
62,161,-23532,-204
63,507,-21175,-266
64,1719,-20336,-326
65,2039,-20436,-714
66,2717,-21851,-1102
67,3303,-24045,-699
68,3753,-26560,-1014
69,3005,-26667,-853
70,3289,-25240,-1164
71,3181,-21576,-854
72,3837,-17078,-32
73,3907,-13443,1579
74,4077,-11983,3268
75,4647,-11652,3650
76,4801,-11345,3304
77,4753,-11149,2357
78,4529,-10396,2090
79,4017,-9037,2279
80,3677,-7871,1961
81,3143,-8021,1791
82,2639,-8292,1746
83,1733,-7859,1361
84,781,-6763,1174
85,51,-5016,1182
86,-613,-3555,884
87,-347,-3333,868
88,165,-3876,25
89,-99,-3301,187
90,121,-1979,175
91,773,236,306
92,705,2086,-319
93,345,3978,-835
94,-335,5764,-1381
95,-1637,8061,-1928
96,-1917,10044,-1549
97,-2457,10515,-1150
98,-2607,11035,-583
99,-2403,11137,-140
100,-2647,12211,313
101,-2307,13509,-66
102,-2209,16241,-682
103,-2137,19244,-1613
104,-1677,21624,-2529
105,-1617,23778,-3470
106,-1549,26063,-3550
107,-835,27399,-3731
108,-123,26544,-4184
109,-257,25175,-3733
110,-903,24387,-4058
111,-1367,24393,-4213
112,-2489,24431,-4573
113,-2725,24928,-5005
114,-2889,24676,-5404
115,-2739,24245,-5426
116,-2317,23987,-5734
117,-2051,23244,-5484
118,-2041,23091,-5255
119,-1541,23434,-5191
120,-1417,23380,-4060
121,-1465,23364,-3142
122,-1385,22766,-2218
123,-2013,21571,-1362
124,-2113,21407,-643
125,-1963,19595,172
126,-1543,17631,147
127,-855,14847,186
128,-129,13618,-292
129,-85,13213,-862
130,699,13259,-1977
131,1101,12908,-2135
132,1679,12736,-2292
133,1889,12198,-2117
134,1803,9968,-1692
135,1165,7588,-1079
136,431,4681,-151
137,1,2215,127
138,45,-366,84
139,29,-1696,54
140,-385,-2343,96
141,-213,-1170,-236
142,-955,-181,-312
143,-619,-96,-640
144,-391,-784,-428
145,-239,-2429,-280
146,187,-3798,-486
147,353,-5504,-543
148,247,-7111,-245
149,239,-8271,197
150,-69,-9761,-71
151,337,-11698,783
152,-393,-13631,848
153,-443,-15282,956
154,-345,-16132,1265
155,-341,-17798,1340
156,-283,-18924,1167
157,-281,-20426,1411
158,-693,-21679,1247
159,-1095,-23182,1775
160,-2023,-24651,1796
161,-2671,-25577,1910
162,-2713,-25287,1547
163,-2439,-25596,1882
164,-1163,-24170,1290
165,-83,-21815,863
166,1937,-19824,-310
167,3067,-18563,-719
168,3873,-19789,-818
169,3619,-21204,-1011
170,2819,-23945,-524
171,2027,-24802,-615
172,1583,-26036,-238
173,1465,-26394,-60
174,1619,-27094,5
175,1499,-26981,-2
176,1855,-25513,393
177,1963,-23686,721
178,2161,-21999,1044
179,3457,-19218,1648
180,3849,-16788,2423
181,3567,-14018,2457
182,3483,-11976,2759
183,3399,-11703,2396
184,3013,-11747,2300
185,2921,-10857,1451
186,2321,-9787,1465
187,1691,-8801,1258
188,1287,-7725,1071
189,1255,-7168,887
190,983,-6232,898
191,1109,-5376,1417
192,953,-5527,1368
193,1215,-5103,1196
194,1323,-3712,637
195,837,-2271,645
196,867,-1310,706
197,411,42,333
198,379,1098,-247
199,-219,2031,-374
200,-519,3512,-190
201,-699,4281,-546
202,-1123,5167,-631
