Index,Gx,Gy,Gz
0,228,48,-149
1,-22,56,103
2,218,-204,123
3,-28,42,145
4,224,52,-135
5,218,64,-144
6,236,42,101
7,-22,-206,-157
8,236,324,90
9,226,52,-143
10,218,-202,-145
11,-36,64,92
12,234,324,106
13,222,-206,-131
14,-302,57,-147
15,222,56,101
16,-42,63,107
17,222,52,129
18,-298,35,-135
19,-298,-209,117
20,222,48,91
21,-14,-196,-169
22,-296,53,127
23,220,34,125
24,230,58,123
25,234,-196,-135
26,-30,56,-145
27,-24,-206,109
28,228,68,134
29,-38,62,147
30,-296,51,125
31,-300,-215,-129
32,-36,-204,129
33,244,-208,-135
34,-34,58,-167
35,220,54,121
36,230,-194,-147
37,-38,-202,119
38,-34,326,-146
39,-20,54,-159
40,234,52,119
41,226,48,-131
42,-28,56,111
43,226,64,-130
44,-298,41,-135
45,-44,39,-133
46,-36,58,-139
47,228,-194,121
48,-44,-211,123
49,228,56,-139
50,-46,51,-141
51,218,52,103
52,-296,59,-157
53,-298,65,136
54,-20,-218,133
55,226,46,113
56,-300,-199,109
57,-20,-198,-149
58,-16,320,94
59,220,56,97
60,-296,77,-144
61,220,-204,105
62,222,66,-126
63,224,50,-121
64,-50,55,117
65,-14,-194,123
66,234,50,119
67,224,54,-129
68,-302,-207,-135
69,-46,-211,-149
70,-40,-203,-121
71,-296,-197,119
72,-34,56,95
73,-26,60,-159
74,232,64,112
75,-28,52,119
76,234,-196,129
77,-34,-204,-133
78,-48,57,-137
79,222,56,103
80,234,-204,105
81,-38,-206,-151
82,-34,58,-155
83,-310,-193,109
84,-32,-212,-137
85,222,-210,-141
86,228,62,-145
87,-22,-194,117
88,238,56,-151
89,-18,62,103
90,-24,-202,121
91,-38,-214,115
92,-38,48,123
93,-32,66,90
94,-32,-198,-159
95,222,-198,-127
96,-30,-194,-163
97,-8,320,108
98,232,62,-127
99,-42,65,116
100,224,62,123
101,-14,56,-149
102,228,-196,87
103,-32,-196,-163
104,226,-204,111
105,220,-206,-149
106,224,48,105
107,-48,-207,-143
108,224,-216,105
109,236,-204,-169
110,-298,-201,-143
111,224,66,128
112,222,-196,125
113,-36,-200,103
114,-302,-195,-139
115,-36,50,-121
116,-40,-201,111
117,230,-206,101
118,-22,-208,-159
119,238,-196,-151
120,226,52,93
121,220,60,107
122,230,328,116
123,242,56,125
124,-40,41,-115
125,220,-210,139
126,-46,-211,135
127,-20,44,-139
128,-24,48,125
129,-40,-205,113
130,-308,33,-155
131,-46,-193,117
132,-30,64,128
133,224,74,116
134,-32,-200,-155
135,-296,43,-143
136,230,-202,-151
137,-18,72,-142
138,-32,82,-156
139,-42,49,109
140,-20,54,-137
141,228,58,-141
142,220,-212,115
143,-22,-218,123
144,-38,52,-135
145,-32,-200,117
146,228,50,-133
147,218,-200,133
148,-296,65,126
149,-20,-206,117
150,224,66,122
151,-318,53,113
152,-38,-214,-139
153,218,-206,-143
154,-296,49,-139
155,220,58,-135
156,-36,-204,93
157,-50,-205,-155
158,228,-206,111
159,232,56,-141
160,220,54,-155
161,-38,54,-149
162,-30,46,-161
163,220,56,-141
164,222,-194,119
165,-32,72,-128
166,-38,-200,-123
167,-28,-200,107
168,-38,48,-153
169,-44,59,-155
170,-20,326,-146
171,-16,60,-151
172,234,-198,113
173,218,-196,-117
174,-48,-195,-119
175,220,-198,-133
176,236,-210,101
177,238,-196,-133
178,-34,324,128
179,-34,-194,-151
180,-32,-198,111
181,-24,-196,-153
182,-30,54,113
183,224,320,-134
184,-40,55,89
185,-34,46,-151
186,-46,-217,101
187,242,66,-142
188,-34,46,119
189,-302,49,103
190,-296,-197,103
191,230,-206,-149
192,226,-204,-143
193,240,-194,111
194,232,58,121
195,-14,68,-136
196,228,62,127
197,232,54,-143
198,-22,-206,101
199,232,54,117
200,-296,65,118
201,-32,58,-117
202,-316,51,123
