Index,Gx,Gy,Gz
0,1345,-2909,-2024
1,4031,-3250,-3094
2,6347,-3533,-3855
3,8047,-2536,-4792
4,9495,-1326,-6054
5,10561,-751,-6786
6,12249,-1418,-6961
7,13837,-1962,-7833
8,14905,-1974,-7911
9,15667,-622,-8246
10,15559,-4,-8323
11,14691,1107,-7876
12,14557,1391,-7056
13,13513,871,-6000
14,12805,-483,-5363
15,13477,-894,-5075
16,13123,43,-4438
17,12459,1402,-4237
18,10881,2020,-3527
19,9091,2280,-2558
20,7961,1153,-1607
21,7271,1876,-678
22,6239,2531,-663
23,5449,4343,-579
24,4735,5746,-1178
25,3889,6040,-1249
26,2803,5281,-1202
27,1497,3765,-406
28,-125,1667,179
29,-1773,486,629
30,-3861,-610,1425
31,-6071,-1428,2389
32,-8251,-2059,2545
33,-9915,-2380,2400
34,-12839,-3541,2079
35,-15389,-3451,2532
36,-17665,-3281,2538
37,-20101,-4130,2643
38,-22319,-4093,2920
39,-24191,-3862,3249
40,-25777,-3255,3136
41,-26821,-3286,3733
42,-27859,-3230,4110
43,-28495,-3800,4796
44,-28953,-4592,5242
45,-29543,-5053,5196
46,-29365,-4868,5718
47,-29617,-4664,6298
48,-29567,-3843,6267
49,-29731,-3575,6063
50,-29085,-3536,6319
51,-29305,-3287,6334
52,-28815,-3995,6422
53,-27919,-4701,6630
54,-27295,-5272,6877
55,-26705,-5570,7353
56,-25769,-4968,7096
57,-25313,-4563,6841
58,-24849,-3389,6557
59,-24449,-2524,6400
60,-24795,-1915,6459
61,-25113,-517,6612
62,-24475,152,6897
63,-24317,893,6204
64,-23703,132,6105
65,-22841,-368,6301
66,-23129,-587,6205
67,-23509,-271,6373
68,-23757,-196,6097
69,-24761,50,6216
70,-26271,510,6231
71,-27275,1638,7017
72,-27629,2130,7417
73,-27393,1336,7489
74,-27317,-387,7452
75,-26599,-1237,7149
76,-24665,-1995,6054
77,-21527,-3668,4251
78,-18097,-2662,2340
79,-16021,-272,865
80,-14583,1370,812
81,-13585,840,1207
82,-12389,398,880
83,-11191,-345,1048
84,-10395,-1189,824
85,-9469,-1896,838
86,-9041,-1933,16
87,-8361,-1943,-170
88,-8199,-1463,-389
89,-7337,-179,-648
90,-6237,-271,-592
91,-3861,-899,-612
92,-1249,-1476,-721
93,449,-1359,-1272
94,3265,-1734,-3032
95,5551,-1802,-4324
96,8413,-1532,-5848
97,10259,-417,-8172
98,12617,690,-9745
99,13407,1633,-10317
100,13707,2661,-9953
101,14239,3391,-9600
102,15151,2441,-8579
103,16009,1243,-7887
104,17233,400,-7734
105,17313,-529,-7534
106,18065,-330,-7412
107,16893,77,-7645
108,16211,2159,-7546
109,15479,3989,-7724
110,15257,4428,-6490
111,15377,3153,-5901
112,16289,2190,-5624
113,17001,1835,-5574
114,17291,1953,-5692
115,17033,2893,-6262
116,15379,2961,-6625
117,14133,2877,-5337
118,12999,2379,-4623
119,12159,1635,-3534
120,11757,1699,-2695
121,11459,3279,-2004
122,10273,4853,-1885
123,8759,6255,-1742
124,7463,6472,-1419
125,5905,5275,-972
126,5123,3056,-585
127,4393,1571,642
128,3815,760,1252
129,2787,682,1284
130,1383,1348,1254
131,623,1488,1290
132,-295,1278,1166
133,-2017,250,985
134,-3789,-50,1180
135,-5707,-606,1630
136,-6607,-2148,1927
137,-7065,-2947,1823
138,-7779,-2605,1644
139,-7955,-2441,1065
140,-8475,-1509,1238
141,-9053,-1111,1075
142,-9739,-568,1250
143,-10709,-932,1755
144,-12363,-1233,1791
145,-13565,-1942,1950
146,-15801,-2524,2716
147,-18217,-3005,3186
148,-21183,-3425,3922
149,-24521,-4215,4313
150,-27175,-4343,5075
151,-28347,-4018,5928
152,-28889,-3634,5928
153,-28587,-3352,5581
154,-27381,-2833,5819
155,-26205,-2513,5171
156,-24751,-1853,4732
157,-23859,-2564,4455
158,-24095,-2752,4468
159,-24543,-4122,4542
160,-25273,-5035,5458
161,-25813,-5286,5997
162,-27105,-4717,6994
163,-27771,-4409,7625
164,-27857,-4045,8377
165,-27481,-3490,8231
166,-27633,-3095,8741
167,-27103,-2551,8624
168,-26161,-2534,8602
169,-25629,-2739,8631
170,-24431,-2964,8203
171,-24693,-1841,7838
172,-24383,-1245,7865
173,-24071,-808,7463
174,-23585,-918,7261
175,-23705,385,7274
176,-24099,1689,6618
177,-24647,3239,6580
178,-24359,3382,6579
179,-24475,3208,6694
180,-25151,2555,7241
181,-25133,2904,7598
182,-25683,2163,7983
183,-25857,1961,7920
184,-25881,1806,8029
185,-25915,1497,7967
186,-25567,803,8387
187,-24599,-809,8331
188,-22419,-2342,7657
189,-19859,-3630,6568
190,-17529,-4115,5254
191,-14913,-3270,3383
192,-13243,-1758,1956
193,-12209,-1466,519
194,-11405,-632,-188
195,-10847,-1069,-1179
196,-9607,-714,-1950
197,-9261,-972,-3034
198,-8917,-1111,-3391
199,-8449,-1420,-2821
200,-8537,-2051,-2561
201,-8087,-2443,-1627
202,-7333,-3029,-599
