Index,Gx,Gy,Gz
0,1885,17910,-3563
1,1689,18975,-3058
2,2417,18090,-3233
3,2265,17853,-2676
4,2219,17162,-3340
5,1615,16116,-3652
6,1441,14266,-3663
7,1305,13311,-4054
8,1161,13332,-3668
9,975,14240,-3629
10,785,15891,-4249
11,767,16931,-4005
12,861,17005,-4535
13,1269,17594,-4567
14,1235,18451,-4292
15,1535,17076,-3476
16,1173,15823,-3931
17,997,15388,-3659
18,677,15691,-4422
19,41,16891,-4172
20,-393,16546,-3906
21,-1383,14890,-2592
22,-2369,12162,-2319
23,-4535,9844,-1116
24,-4911,7202,-1162
25,-4673,4734,-802
26,-3965,3500,102
27,-3447,1603,37
28,-2563,-667,195
29,-1475,-3324,327
30,-1419,-5257,460
31,-805,-8120,272
32,-1467,-10500,552
33,-1819,-12134,160
34,-2589,-13991,178
35,-1785,-15964,334
36,-1433,-19148,1025
37,-1167,-21211,1183
38,-1577,-21145,1923
39,-1555,-20079,2006
40,-739,-19788,1333
41,-619,-19013,1380
42,-131,-19292,1261
43,-105,-18080,1354
44,-557,-17935,1934
45,-45,-18192,1802
46,99,-17951,2365
47,455,-18153,2200
48,643,-19261,2291
49,1221,-20132,2069
50,653,-20619,2039
51,703,-20243,2190
52,377,-20163,2737
53,337,-19908,3646
54,-45,-20432,3306
55,-43,-21168,3390
56,-45,-21445,3722
57,395,-22335,4063
58,483,-22714,3789
59,773,-22880,3802
60,577,-23102,3897
61,521,-22568,3948
62,235,-21797,3760
63,91,-20581,4256
64,905,-20901,4492
65,1561,-21788,4444
66,2057,-22370,5136
67,2457,-22252,5079
68,2207,-21119,5508
69,1987,-21413,4893
70,2451,-20412,4693
71,1591,-18493,4318
72,1383,-17214,4559
73,829,-16544,4721
74,851,-17235,4300
75,1153,-16624,4311
76,1289,-14197,3695
77,943,-11437,2780
78,979,-9378,1762
79,827,-8284,1079
80,1,-6926,665
81,-137,-4708,1067
82,-127,-2670,1168
83,-529,-1040,916
84,-1099,413,179
85,-973,3024,-324
86,-1099,6162,-830
87,-1125,8963,-1318
88,-837,11560,-1720
89,-1083,13980,-2713
90,-1539,16715,-3085
91,-1263,19512,-3344
92,-1349,20658,-3258
93,-1521,21664,-2659
94,-1293,22991,-2629
95,-655,23444,-2653
96,-507,24534,-2614
97,29,25802,-2692
98,745,27205,-2637
99,1705,27291,-2613
100,2569,26716,-3149
101,2641,25319,-3623
102,2543,24639,-4270
103,2731,23644,-3871
104,2067,23399,-3199
105,2745,22376,-2766
106,2703,20250,-2216
107,2369,19229,-2512
108,1697,19517,-3392
109,1143,19404,-3751
110,1333,19956,-4372
111,1169,20105,-4590
112,1799,19201,-4065
113,1667,17161,-3881
114,1649,15101,-3457
115,1683,14586,-3254
116,1741,15242,-3426
117,1723,16008,-3409
118,1883,17746,-3834
119,2249,17938,-4349
120,2171,16154,-4145
121,1857,14163,-3910
122,977,12191,-3452
123,507,10304,-2424
124,-367,10051,-1956
125,-351,11787,-1530
126,-457,13005,-2279
127,-15,14821,-2469
128,787,15553,-2662
129,939,15317,-3129
130,1379,14729,-3614
131,1085,13223,-3892
132,1101,11214,-3771
133,503,10723,-3304
134,883,11238,-2884
135,779,11652,-2132
136,345,11230,-1917
137,-1053,10723,-1723
138,-2191,9708,-1867
139,-2817,6758,-1643
140,-2929,3863,-1130
141,-2243,1709,-817
142,-2011,1334,-305
143,-1919,1894,387
144,-1405,2054,110
145,-965,1281,-176
146,-261,-209,-37
147,-141,-2279,-173
148,-469,-4094,-124
149,-1079,-6498,-183
150,-1963,-7463,290
151,-2057,-7692,332
152,-2021,-8270,209
153,-1743,-8841,126
154,-1579,-10290,287
155,-1709,-11761,248
156,-2003,-14292,714
157,-2475,-16767,1096
158,-2609,-17643,1529
159,-2591,-16925,1932
160,-1891,-17642,2482
161,-1777,-19319,2484
162,-1501,-21698,2950
163,-1437,-23112,2796
164,-1539,-23352,2758
165,-1351,-22010,2368
166,-1401,-20582,1966
167,-1119,-19581,1256
168,-145,-19783,1245
169,83,-19864,1174
170,-147,-20761,1197
171,-477,-21028,1420
172,-981,-22345,991
173,-911,-22066,932
174,-629,-20932,906
175,-339,-19732,1062
176,-27,-19568,1965
177,81,-20157,2320
178,109,-20509,2770
179,401,-21233,2728
180,675,-21510,3185
181,403,-21945,3033
182,439,-21928,2740
183,637,-22016,2844
184,909,-22511,2907
185,1007,-22684,3179
186,877,-22543,2729
187,507,-22232,2927
188,115,-21320,3033
189,-389,-20545,3045
190,-387,-21160,2876
191,117,-22770,3439
192,1359,-22908,3921
193,2229,-21572,3981
194,2141,-19033,2778
195,2021,-16141,2519
196,1943,-12660,1712
197,605,-9681,1476
198,83,-7404,1362
199,-315,-5459,1123
200,-281,-3657,662
201,-469,-2999,376
202,275,-3328,439
