Index,Gx,Gy,Gz
0,-15331,910,670
1,-15477,863,686
2,-15409,800,674
3,-16233,1036,414
4,-16999,1113,678
5,-18145,549,412
6,-18387,-94,300
7,-18816,-138,174
8,-18090,-42,338
9,-16627,-603,206
10,-13767,-309,-490
11,-10376,15,-402
12,-6317,-142,-600
13,-1455,-258,-1108
14,3672,-200,-1458
15,9270,28,-1638
16,14516,29,-1444
17,20211,100,-1182
18,24763,223,-1362
19,28970,537,-1222
20,32258,597,-798
21,32810,427,-458
22,32555,455,-416
23,32556,195,108
24,32541,245,314
25,31384,547,744
26,28219,275,400
27,24438,247,790
28,20770,501,834
29,18056,236,598
30,15702,466,552
31,13934,687,498
32,13134,377,662
33,13272,628,840
34,12775,425,542
35,12671,472,590
36,11765,207,710
37,11044,638,574
38,10632,261,846
39,10594,443,606
40,10872,198,602
41,11250,523,752
42,11738,649,484
43,11968,261,660
44,12534,632,546
45,12381,745,700
46,12589,1026,348
47,12752,1066,60
48,12428,1066,48
49,12452,816,42
50,12680,859,294
51,12936,945,-12
52,13974,728,-50
53,15264,920,148
54,16228,867,162
55,17812,840,178
56,18934,1109,210
57,20406,1130,220
58,20750,857,184
59,21148,865,-102
60,21348,1111,-52
61,20756,1207,344
62,20254,1001,104
63,20042,1099,306
64,19660,778,32
65,19544,790,306
66,18716,1124,334
67,17654,901,360
68,16692,1195,64
69,15586,1151,228
70,14376,1043,-114
71,12532,610,340
72,10595,415,324
73,8883,472,52
74,7315,139,280
75,6629,109,250
76,6123,-162,-64
77,5149,103,-100
78,4317,127,-94
79,3893,-97,-56
80,4073,252,-42
81,3683,370,198
82,3989,691,62
83,4495,439,328
84,5059,244,266
85,4687,553,222
86,4445,320,-106
87,3315,606,-402
88,2078,295,-212
89,594,243,-516
90,-662,434,-316
91,-2414,614,-614
92,-4276,271,-160
93,-5645,-118,-228
94,-7841,-240,-544
95,-10491,134,-608
96,-13139,-347,-724
97,-15132,-594,-1070
98,-17314,-477,-884
99,-18658,-1104,-670
100,-20161,-975,-696
101,-20663,-1350,-708
102,-20889,-1148,-908
103,-20453,-928,-886
104,-20190,-994,-1114
105,-19358,-1294,-1056
106,-18394,-1249,-1004
107,-17804,-1317,-262
108,-16835,-569,-160
109,-16194,-832,-114
110,-15694,-363,662
111,-14585,-151,386
112,-12896,-229,788
113,-11492,-148,576
114,-10162,-112,762
115,-9956,119,644
116,-9254,73,658
117,-8979,-252,100
118,-9065,-325,-142
119,-8752,81,-344
120,-8804,-5,-238
121,-8975,-312,-566
122,-9321,-343,-638
123,-9895,-370,-948
124,-10766,-385,-1018
125,-11864,-607,-1116
126,-12872,-300,-714
127,-14283,-38,-828
128,-15789,-20,-1208
129,-17444,-254,-1268
130,-19642,39,-1298
131,-21284,133,-1458
132,-22580,115,-1122
133,-23783,160,-1046
134,-24549,-271,-986
135,-24905,90,-658
136,-24795,506,-1028
137,-24334,680,-566
138,-23899,229,-144
139,-22539,588,-254
140,-22270,645,-426
141,-21128,340,126
142,-21215,271,-102
143,-20697,524,162
144,-20861,475,-80
145,-20841,689,-418
146,-20600,673,-138
147,-20708,365,-120
148,-20025,497,188
149,-19551,-71,200
150,-18869,-120,202
151,-18479,22,14
152,-18357,157,254
153,-18187,-189,174
154,-17031,-274,-402
155,-15894,60,-398
156,-14524,148,-126
157,-12355,-306,-156
158,-10540,-234,-234
159,-8296,17,-272
160,-6000,-266,-276
161,-3592,0,-348
162,-1978,-259,-170
163,29,-266,-210
164,1231,-27,-484
165,3235,-302,-568
166,4943,-261,-646
167,7716,111,-944
168,10514,307,-380
169,14277,408,-934
170,17398,214,-980
171,20460,258,-986
172,23144,482,-920
173,25678,469,-272
174,27447,413,-364
175,29090,315,126
176,29749,469,72
177,29563,-107,228
178,28760,-117,636
179,27531,459,700
180,26157,654,652
181,23877,624,304
182,21872,824,-42
183,19512,904,-114
184,16876,937,346
185,14775,919,260
186,13015,1072,-78
187,11703,405,228
188,11119,578,122
189,10795,506,-52
190,10358,377,278
191,11048,512,110
192,11360,-77,470
193,12159,201,532
194,12533,278,534
195,12655,379,764
196,12429,417,754
197,12625,443,720
198,13697,450,394
199,14301,545,76
200,15730,372,84
201,16712,973,354
202,18828,804,652
