Index,Gx,Gy,Gz
0,168,67,-169
1,164,87,-169
2,-78,-165,-155
3,-86,91,91
4,162,67,-165
5,-96,95,-172
6,148,77,111
7,148,79,-161
8,-80,-183,95
9,170,83,-153
10,-110,-170,-157
11,-110,72,91
12,148,73,-177
13,160,-191,-159
14,-80,87,-153
15,-76,351,98
16,-78,-169,101
17,178,-175,-159
18,-94,91,83
19,-98,89,87
20,156,-173,-179
21,168,79,97
22,-90,73,-163
23,-88,-183,-153
24,-88,71,-149
25,158,-173,93
26,156,-173,85
27,148,-175,103
28,168,-179,81
29,-92,-169,87
30,174,-167,-167
31,162,-177,-171
32,184,93,76
33,-86,91,87
34,-96,91,87
35,-92,-169,95
36,-90,-187,-171
37,-90,89,-177
38,152,87,81
39,-102,85,-159
40,-370,-172,101
41,-110,68,75
42,150,-181,-183
43,154,-179,-177
44,-70,87,-165
45,-104,73,69
46,-106,-191,-185
47,-102,81,-177
48,148,-175,111
49,-106,75,-151
50,-92,83,101
51,164,-171,103
52,172,97,90
53,-84,-179,67
54,-90,-171,75
55,-100,75,-169
56,152,-187,-157
57,168,-173,87
58,164,79,-169
59,152,79,-165
60,-370,76,93
61,-98,-189,-179
62,-90,75,81
63,-80,-175,69
64,-74,79,75
65,172,-167,87
66,-80,-171,87
67,-88,-193,-177
68,158,75,-151
69,-102,91,-165
70,-82,-169,71
71,-72,97,-160
72,-86,-165,85
73,166,-173,77
74,-80,83,85
75,166,83,-177
76,-98,63,55
77,160,83,77
78,-94,-173,-155
79,-78,-165,85
80,174,361,-158
81,172,-175,-143
82,166,-181,101
83,170,89,79
84,-88,91,-155
85,166,-169,-171
86,-104,79,-187
87,-90,-167,95
88,-82,-167,-145
89,-86,-175,97
90,-92,85,83
91,162,-179,81
92,154,-173,-181
93,158,-171,-173
94,160,89,105
95,-102,-181,67
96,-88,73,61
97,-86,-169,-167
98,176,-179,75
99,-86,-187,75
100,-78,91,-161
101,156,355,86
102,164,79,65
103,162,83,89
104,-104,85,103
105,-102,353,-192
106,-88,-165,-187
107,-96,-175,87
108,-94,-171,-173
109,-96,75,-151
110,-92,-181,101
111,174,-175,-183
112,-96,81,95
113,-94,75,-171
114,174,83,87
115,156,97,-158
116,-370,76,-163
117,168,-183,-175
118,-84,-165,89
119,148,-175,101
120,-106,-165,103
121,-96,97,-156
122,-90,83,89
123,148,81,73
124,162,-181,-173
125,166,-173,-189
126,-90,83,-181
127,-98,79,79
128,152,75,67
129,160,87,-171
130,156,77,-185
131,164,73,79
132,170,-171,-159
133,-88,-173,-175
134,160,75,107
135,-90,-177,89
136,172,-167,-169
137,-92,93,-174
138,164,89,65
139,-104,351,84
140,148,95,102
141,172,83,77
142,-84,85,-163
143,-370,78,-151
144,-100,-169,-157
145,166,-169,-147
146,158,75,-151
147,-90,87,-147
148,170,97,-160
149,-96,87,-147
150,190,97,-158
151,-84,87,85
152,154,-169,89
153,-88,-167,73
154,-88,93,-190
155,-110,-170,87
156,150,85,115
157,-100,95,-154
158,-90,-173,93
159,166,-173,91
160,-82,69,-173
161,-104,69,73
162,-84,-181,79
163,-96,67,77
164,-94,-171,-175
165,170,95,78
166,-86,359,104
167,170,351,96
168,-94,-173,107
169,176,353,78
170,-94,93,76
171,-104,-171,77
172,152,73,107
173,148,-165,377
174,-126,82,-159
175,-372,-178,-149
176,-102,79,83
177,-94,79,-167
178,-92,81,81
179,-94,91,69
180,170,-169,77
181,-84,81,91
182,-96,-167,107
183,154,-171,103
184,-96,-173,93
185,-114,-180,107
186,-98,83,75
187,-96,85,-165
188,-90,-167,95
189,-94,81,-199
190,-96,95,90
191,-102,-173,373
192,148,89,-147
193,-102,-181,-155
194,176,91,75
195,-104,-165,79
196,150,-171,-169
197,162,-173,-175
198,-70,85,89
199,-72,89,85
200,-88,85,-153
201,150,79,-149
202,-368,-180,-143
