Index,Gx,Gy,Gz
0,-76,1619,163
1,-76,1623,440
2,-130,1879,183
3,-164,2187,220
4,-162,2523,340
5,-366,2927,199
6,-370,3539,332
7,-178,4443,785
8,-30,5524,831
9,-64,6568,1299
10,-136,6579,1600
11,360,6660,855
12,322,6203,700
13,284,5811,718
14,56,6318,901
15,-320,6596,942
16,-598,6615,841
17,-510,6136,839
18,-776,6166,875
19,-504,6551,579
20,40,7414,172
21,960,9289,-189
22,1768,10297,-44
23,3004,11033,-243
24,3870,11085,-39
25,4622,11376,-395
26,5382,10956,-396
27,5702,11901,-35
28,6158,12831,-242
29,6982,14342,131
30,7434,15082,652
31,8040,16762,1009
32,8188,17814,1184
33,7522,17598,1534
34,5790,15712,1076
35,3796,13930,150
36,2418,12770,-527
37,1592,10978,-500
38,1802,8869,-452
39,2368,5864,-809
40,1788,4506,-713
41,880,5201,-353
42,-260,4958,566
43,-1052,3866,483
44,-1678,2576,245
45,-2466,1191,528
46,-2480,19,435
47,-2308,-907,144
48,-1898,-916,108
49,-1928,-1527,103
50,-1144,-3712,-72
51,-1494,-4731,-731
52,-1080,-5567,-1190
53,-916,-6894,-933
54,-802,-9318,-1770
55,-474,-11802,-1782
56,118,-14520,-1967
57,812,-16842,-1886
58,214,-18657,-1166
59,-172,-18998,-646
60,-2256,-18209,133
61,-3952,-16912,762
62,-4334,-15628,1091
63,-4306,-14651,802
64,-3866,-13155,835
65,-2884,-12189,999
66,-1776,-11725,613
67,-1228,-12217,1202
68,-1062,-13219,1278
69,-1050,-14421,2079
70,-1462,-15223,1713
71,-1314,-15210,2011
72,-1144,-14896,2076
73,-1228,-14848,1962
74,-1382,-15178,1462
75,-1080,-14175,1101
76,-580,-14173,1410
77,-80,-14057,1527
78,-322,-14365,2440
79,-326,-15440,2756
80,-878,-16301,2862
81,-806,-16877,2366
82,-114,-16776,2374
83,-42,-15766,2203
84,-486,-15515,1724
85,-236,-15019,1980
86,-784,-15159,1213
87,-658,-15800,1114
88,-1452,-16099,732
89,-1498,-15227,486
90,-1094,-13833,548
91,-818,-12162,374
92,-110,-10820,-302
93,332,-10266,-931
94,178,-11659,-1724
95,606,-13440,-2494
96,588,-14150,-2642
97,22,-13707,-3300
98,-478,-13379,-3136
99,-50,-13018,-2612
100,132,-11579,-1823
101,1252,-10150,-809
102,1576,-9657,-556
103,2152,-9350,-577
104,2108,-9325,-675
105,2472,-9309,-899
106,2536,-8605,-531
107,2654,-7870,-823
108,2700,-6748,-680
109,2442,-4603,-653
110,1782,-2879,-1031
111,1556,-908,-758
112,666,1129,-249
113,374,2606,425
114,-664,3469,211
115,-1118,4718,905
116,-1858,5694,872
117,-1696,6864,1186
118,-1916,8455,1441
119,-1054,9571,1561
120,-532,10681,1421
121,-400,10894,1112
122,-734,11275,754
123,-1450,11904,1248
124,-2482,12835,1428
125,-2582,14502,1403
126,-3178,15749,1118
127,-3142,17315,1356
128,-2634,18605,1305
129,-1664,18640,1148
130,-1504,18919,770
131,-666,18885,406
132,-206,18345,156
133,-54,17389,-330
134,-494,16939,-62
135,-822,17075,-447
136,-964,17361,-830
137,-614,17137,-514
138,-144,17384,-906
139,-88,17905,-669
140,32,17959,-916
141,248,17755,-360
142,796,17586,870
143,432,17461,1296
144,32,16845,2047
145,484,15472,1979
146,30,13513,1551
147,624,11752,318
148,1368,10762,-1709
149,1420,10713,-3455
150,1942,11758,-4098
151,2020,13195,-4439
152,2326,13827,-3512
153,2372,13372,-1981
154,1190,10440,-494
155,72,6776,402
156,-658,3490,661
157,-1506,1762,535
158,-1516,1922,47
159,-998,3642,-452
160,-22,5778,-824
161,160,7137,-1150
162,776,7477,-1311
163,1882,6560,-1120
164,1448,6229,-817
165,238,4893,208
166,-602,4191,859
167,-1238,3346,1526
168,-1918,4297,1300
169,-1896,6526,1422
170,-1748,7914,657
171,-2376,8292,660
172,-2834,8423,175
173,-2784,8993,413
174,-2206,8369,56
175,-1374,7271,40
176,-558,4855,-308
177,-740,2649,54
178,-1436,1631,-369
179,-1256,1694,258
180,-1210,1768,926
181,-1278,1597,807
182,-24,552,964
183,788,688,117
184,1356,1296,-328
185,1532,2320,-159
186,1200,2130,-680
187,828,1141,67
188,176,-1226,187
189,-416,-3508,498
190,-904,-4989,344
191,-458,-5936,464
192,46,-6508,438
193,872,-7964,-311
194,944,-9937,-311
195,972,-12577,162
196,948,-15156,658
197,452,-17438,1398
198,-404,-20236,2402
199,-864,-22316,2340
200,-1132,-22827,2825
201,-1340,-22323,2755
202,-432,-21040,2490
