Index,Gx,Gy,Gz
0,-7818,645,-1778
1,-9070,1281,-1878
2,-9780,657,-2505
3,-10392,590,-2240
4,-11596,871,-1894
5,-11860,1107,-1982
6,-12574,1873,-2100
7,-13170,1571,-1967
8,-13292,1574,-1259
9,-14186,1587,-1283
10,-14288,1975,-1419
11,-14312,2069,-886
12,-14622,1679,-1241
13,-15048,1685,-1202
14,-15828,1096,-1943
15,-16460,631,-1827
16,-16886,37,-1913
17,-17688,7,-1702
18,-17948,-98,-1680
19,-18630,-1047,-1525
20,-18820,-673,-1455
21,-17904,-365,-1311
22,-17170,564,-1271
23,-16736,1717,-1392
24,-16120,2285,-1458
25,-15004,1652,-1182
26,-14442,1099,-1302
27,-13732,491,-1997
28,-12770,1106,-1950
29,-12392,2321,-2032
30,-12110,3327,-1780
31,-10934,3289,-2145
32,-10000,2797,-2024
33,-8366,1843,-2080
34,-7144,1326,-1768
35,-5818,1398,-1966
36,-5260,1015,-1651
37,-4632,1150,-1711
38,-5056,1107,-1771
39,-4326,1072,-1806
40,-3976,1062,-2076
41,-3094,1327,-1535
42,-2158,1333,-964
43,-1416,109,-283
44,328,-872,-325
45,1274,-1641,-471
46,2844,-2323,20
47,3738,-3112,117
48,4398,-2609,560
49,4772,-2387,1285
50,5616,-1921,1617
51,6108,-1431,1442
52,6572,-1451,1488
53,7250,-1854,1178
54,8478,-3080,475
55,9512,-4005,362
56,11026,-4820,-506
57,12382,-5717,-1082
58,14218,-6585,-1242
59,15122,-6111,-1408
60,15522,-4575,-1429
61,15090,-1819,-1130
62,14064,-83,-574
63,13178,803,-96
64,12684,716,591
65,12310,54,753
66,12700,-905,529
67,13658,-2104,61
68,14026,-2863,-321
69,15372,-3074,-436
70,15696,-2395,-82
71,15408,-931,450
72,14454,931,1701
73,13762,2340,2231
74,12518,2801,1532
75,12734,1551,724
76,13236,-37,-297
77,13772,-236,-1270
78,13050,63,-950
79,12962,1028,291
80,12688,2088,1828
81,10808,1926,2489
82,9518,504,2399
83,8730,-1363,1714
84,9394,-3507,732
85,10522,-4481,-76
86,11038,-3865,159
87,11222,-1694,171
88,10424,188,605
89,9720,1269,1354
90,9382,24,1013
91,9348,-1469,877
92,9752,-2270,86
93,10014,-3611,371
94,10560,-3454,190
95,10300,-2823,-93
96,10384,-1177,460
97,10564,392,1687
98,9742,1384,2211
99,8742,972,1612
100,7656,-157,1792
101,7276,-1976,1424
102,7652,-2786,917
103,7366,-2162,841
104,6794,-703,776
105,6264,-475,509
106,5948,-5,831
107,5580,562,445
108,4522,919,89
109,3608,436,-53
110,2732,-548,207
111,2072,-828,-238
112,1854,-1022,-186
113,1344,-911,229
114,922,567,31
115,136,2266,509
116,-1282,2147,297
117,-2460,1692,-341
118,-4094,1785,-947
119,-6002,2394,-840
120,-8110,2850,-1042
121,-10084,2536,-1282
122,-11752,1643,-1790
123,-12192,170,-2108
124,-12702,-955,-2181
125,-12640,-192,-2500
126,-12818,499,-2555
127,-12794,2237,-2444
128,-13514,3595,-2133
129,-15010,5527,-2151
130,-16776,6296,-2473
131,-18110,5770,-2299
132,-19774,4393,-2084
133,-20078,1993,-1426
134,-19824,1232,36
135,-19346,1697,1224
136,-17850,2652,1101
137,-16378,2675,53
138,-15322,1870,-1064
139,-14982,-99,-2646
140,-15000,-1754,-3809
141,-15850,-2454,-5154
142,-16772,-2577,-4968
143,-17166,-2278,-3868
144,-17452,-2885,-2314
145,-16866,-3422,-1433
146,-15846,-2810,-273
147,-14334,-1758,113
148,-13154,-456,127
149,-12730,1589,-151
150,-12594,3121,-241
151,-12710,4114,-1107
152,-13378,4759,-2051
153,-13800,4455,-3129
154,-12864,3038,-3126
155,-12492,1627,-2772
156,-12104,853,-2189
157,-10834,412,-1365
158,-9920,424,-1056
159,-8858,202,-665
160,-8078,1020,-146
161,-7154,2596,-506
162,-7240,4135,-568
163,-7302,4642,-909
164,-7816,4610,-1318
165,-7870,3234,-1752
166,-7322,1730,-1993
167,-6492,1788,-1295
168,-5442,2185,-1442
169,-3626,1746,-767
170,-2698,735,-168
171,-1828,-219,-432
172,-6,-828,56
173,1472,-940,327
174,2358,435,888
175,2300,1049,1175
176,2070,1562,1027
177,1518,1703,862
178,1472,1209,483
179,2118,1230,56
180,3306,82,-400
181,4776,-1098,-1041
182,6428,-2293,-768
183,8296,-3820,-1238
184,10590,-4806,-1192
185,12448,-4792,-1388
186,14714,-4086,-1798
187,16000,-2359,-1828
188,17914,-1260,-1353
189,18612,-560,-1567
190,19118,130,-680
191,18606,23,-451
192,17886,-142,503
193,15906,-1090,1794
194,14780,-2903,2464
195,14896,-4132,3334
196,16166,-4735,2557
197,18040,-4230,1457
198,19764,-2452,1295
199,19588,591,1755
200,19050,3712,2296
201,17744,4622,2377
202,15434,4179,2300
