Index,Gx,Gy,Gz
0,25191,2106,713
1,25256,1175,581
2,17797,307,567
3,4889,210,713
4,-6470,-381,565
5,-16696,-1277,119
6,-26105,-1844,459
7,-33624,-2208,327
8,-39442,-2788,-77
9,-40041,-3171,-491
10,-40041,-3261,-527
11,-40041,-3385,-823
12,-40042,-3705,-913
13,-40042,-3549,-1045
14,-40041,-3817,-593
15,-40042,-3105,-859
16,-40041,-2333,-287
17,-40042,-1873,85
18,-39960,-1747,509
19,-34844,-1363,129
20,-21628,-779,367
21,-8680,-202,473
22,4542,387,501
23,17251,431,541
24,24788,634,441
25,25191,1118,351
26,25191,1340,159
27,25190,2066,329
28,25190,2286,193
29,25190,2608,237
30,25190,2412,9
31,25191,2652,247
32,25445,2168,955
33,23868,1671,557
34,15157,1089,545
35,5267,313,711
36,-2782,61,667
37,-10008,-486,869
38,-15902,-933,795
39,-21496,-1430,221
40,-26527,-1377,355
41,-32357,-1828,117
42,-37656,-1826,-33
43,-39994,-2477,-905
44,-40041,-2829,-843
45,-40042,-2979,-749
46,-40041,-3149,-431
47,-40042,-2329,-129
48,-40041,-2279,321
49,-40042,-1969,359
50,-38290,-1651,81
51,-29372,-1268,23
52,-17522,-922,7
53,-4674,-593,123
54,8436,-149,279
55,19773,316,331
56,25223,859,267
57,25191,1418,449
58,25190,2236,367
59,25190,2600,289
60,25190,2712,79
61,25190,2052,505
62,25190,1942,241
63,25191,1516,631
64,24738,1285,921
65,16614,782,831
66,5782,38,211
67,-4241,-265,315
68,-14193,-1110,445
69,-22560,-1632,107
70,-29634,-2049,101
71,-36368,-2768,371
72,-39788,-2817,-31
73,-40041,-3591,-73
74,-40042,-4059,-683
75,-40041,-3987,-593
76,-40042,-4331,-525
77,-40042,-3591,-561
78,-40041,-2943,-287
79,-39784,-2609,-319
80,-37395,-1821,449
81,-26366,-1285,461
82,-13233,-706,613
83,1730,97,963
84,15574,615,567
85,24399,968,745
86,25190,1596,793
87,25190,2252,7
88,25191,2788,-273
89,25191,2940,-175
90,25191,2714,-59
91,25191,1974,263
92,25191,1402,833
93,24252,821,1025
94,14262,748,547
95,2583,-127,697
96,-8336,-1048,777
97,-17830,-1661,107
98,-25815,-2166,213
99,-32482,-2272,101
100,-37718,-2623,-21
101,-39753,-3171,-477
102,-40041,-3661,-247
103,-40042,-3953,-975
104,-40041,-4261,-797
105,-40042,-4101,-545
106,-40042,-3701,-701
107,-40041,-3175,-209
108,-40042,-2647,-157
109,-39025,-2092,137
110,-31016,-1226,407
111,-18799,-621,523
112,-4940,191,905
113,8236,392,887
114,20810,1079,537
115,25342,990,111
116,25191,1446,195
117,25190,2138,273
118,25190,2636,-175
119,25191,2390,-37
120,25190,1880,-507
121,25191,1676,-25
122,25079,873,245
123,17996,308,415
124,5833,244,477
125,-6641,-688,219
126,-17651,-1432,125
127,-27531,-1825,25
128,-35539,-2585,163
129,-39842,-3271,33
130,-40042,-3573,-441
131,-40041,-4093,-347
132,-40042,-4019,-231
133,-40042,-4173,-529
134,-40041,-3713,-529
135,-40041,-2855,-119
136,-40042,-2463,-299
137,-37889,-2071,397
138,-26227,-917,685
139,-11722,-362,775
140,3951,-32,539
141,18301,279,861
142,25093,1117,1025
143,25190,1790,193
144,25191,2380,109
145,25190,2766,-405
146,25191,2566,-267
147,25190,2426,-251
148,25191,2282,-373
149,25191,1712,409
150,23174,1234,165
151,12985,704,481
152,457,54,509
153,-10791,-560,535
154,-20420,-1523,817
155,-28876,-2222,895
156,-36262,-2542,703
157,-39808,-3095,855
158,-40042,-3481,49
159,-40041,-3933,-377
160,-40041,-4761,-823
161,-40041,-4839,-567
162,-40042,-4055,-785
163,-40042,-3803,-655
164,-40041,-3199,-437
165,-40042,-2535,-275
166,-40041,-1937,155
167,-37751,-1677,685
168,-25946,-1226,557
169,-11309,-340,885
170,3641,-220,641
171,17791,143,575
172,24709,566,763
173,25190,1272,655
174,25190,1526,229
175,25191,2086,11
176,25191,2648,111
177,25190,2610,35
178,25190,1914,3
179,25191,2068,369
180,25114,1012,397
181,20281,687,907
182,5914,-170,765
183,-8774,-441,995
184,-22216,-1732,791
185,-33626,-1992,35
186,-39633,-3228,-45
187,-40041,-3399,-391
188,-40042,-4155,-895
189,-40041,-4293,-561
190,-40042,-3933,-845
191,-40042,-3853,-683
192,-40041,-3265,-145
193,-40042,-2787,57
194,-39620,-2039,513
195,-33729,-1184,691
196,-18394,-681,851
197,-2230,30,471
198,12901,273,365
199,23875,505,159
200,25191,922,87
201,25191,1402,433
202,25190,2170,273
