Index,Gx,Gy,Gz
0,-354,102,-136
1,-72,95,-120
2,-80,-159,134
3,-64,105,124
4,180,-157,146
5,-344,106,140
6,-352,-160,138
7,-100,374,-127
8,-88,100,-142
9,-76,-157,134
10,-74,-155,-128
11,-78,-167,130
12,-88,98,134
13,-86,367,95
14,-78,101,120
15,-66,99,-120
16,-74,-151,-138
17,-74,-149,-118
18,-88,-164,124
19,178,109,141
20,-66,-151,122
21,-78,91,-152
22,-72,103,-148
23,-100,90,94
24,-350,-154,-138
25,172,97,-118
26,-76,105,-106
27,-76,107,138
28,178,-157,-128
29,-350,-148,-134
30,-92,366,-137
31,182,369,137
32,176,85,-142
33,172,97,116
34,176,99,-114
35,-346,94,412
36,-80,95,-124
37,-76,83,120
38,-82,91,-130
39,-76,91,142
40,-84,81,110
41,-90,84,-160
42,-344,102,-114
43,-348,94,128
44,-344,-168,-154
45,-90,-150,-116
46,-88,-164,-128
47,176,121,99
48,-74,107,-142
49,-82,105,-134
50,176,97,-132
51,170,-155,-118
52,184,113,133
53,-90,370,-137
54,-84,-155,116
55,176,-149,128
56,172,99,-112
57,170,-155,-128
58,-72,-149,-124
59,-352,366,131
60,-92,-156,132
61,-348,-168,142
62,-68,-153,116
63,-58,-151,-144
64,-82,-161,-140
65,-348,92,-140
66,170,-153,132
67,-94,370,139
68,-344,106,-132
69,-88,-148,-138
70,-82,-161,114
71,184,105,124
72,186,-161,112
73,-346,102,116
74,-350,366,121
75,-356,98,130
76,-80,111,135
77,-92,84,140
78,-352,-174,-126
79,-92,82,-112
80,-74,-161,134
81,-60,-159,-144
82,-66,377,127
83,170,383,151
84,-56,107,130
85,-72,-155,106
86,-84,93,106
87,182,105,124
88,-84,103,-132
89,-90,94,128
90,-356,98,124
91,-344,94,134
92,-346,-156,-140
93,172,-159,132
94,-58,379,117
95,178,111,111
96,186,107,-148
97,-88,-158,-124
98,174,-163,114
99,-76,-159,112
100,-90,116,145
101,-74,-153,-128
102,-66,-155,110
103,-74,367,99
104,-354,370,109
105,-356,108,-124
106,-72,-171,-132
107,188,95,128
108,188,107,-128
109,-68,-149,118
110,-92,-152,-120
111,-96,-156,-120
112,-348,-148,112
113,-82,95,144
114,-90,-164,-138
115,-78,99,-160
116,-78,-159,128
117,178,97,-134
118,-68,97,-130
119,172,-177,106
120,-100,94,128
121,-96,96,134
122,-74,-163,120
123,-86,101,-118
124,-356,366,133
125,-90,76,-130
126,-80,-167,112
127,-78,-171,118
128,178,89,-150
129,174,121,-147
130,176,365,135
131,174,99,134
132,-360,-166,-122
133,-92,-164,-128
134,182,97,-136
135,182,93,128
136,-352,102,-132
137,182,-155,114
138,-72,-159,-126
139,-348,100,130
140,-96,-166,-120
141,-82,-161,-134
142,-74,-165,122
143,-72,-157,130
144,-74,103,134
145,-74,111,125
146,178,-159,122
147,192,83,126
148,-346,96,-120
149,-90,100,144
150,-76,-167,136
151,-70,-167,-146
152,-84,95,114
153,-80,79,136
154,-70,-167,-132
155,-78,99,130
156,190,-153,110
157,172,-153,134
158,-86,-161,132
159,-76,105,132
160,-78,-153,-154
161,-62,-167,126
162,178,-163,-134
163,-72,-157,-144
164,196,97,100
165,-66,-159,126
166,-82,99,110
167,176,99,106
168,-346,108,-136
169,-84,-161,-156
170,-352,100,122
171,170,109,-139
172,-346,96,-130
173,-82,93,-148
174,-92,90,126
175,176,89,132
176,198,-167,126
177,-74,-155,-136
178,-90,112,117
179,-86,-155,122
180,176,-153,124
181,-68,-163,110
182,190,-165,128
183,-72,101,-128
184,-90,-160,134
185,-92,92,-128
186,-72,-165,134
187,-98,96,156
188,-84,85,-122
189,-78,103,-126
190,-84,369,107
191,-68,-159,112
192,-76,99,124
193,-78,-167,-134
194,-344,-160,128
195,-88,104,-118
196,-96,104,122
197,-76,-163,-130
198,-90,78,126
199,-82,-171,114
200,-344,104,116
201,-348,372,107
202,196,371,-147
