Index,Gx,Gy,Gz
0,-376,-181,-132
1,-94,78,-116
2,-106,68,148
3,-94,-170,140
4,160,100,137
5,164,82,140
6,160,-174,146
7,-108,-176,-118
8,158,-174,132
9,166,76,128
10,168,-174,-112
11,178,-174,-138
12,-68,76,-128
13,-82,-176,-114
14,-72,86,-116
15,194,94,-109
16,174,-172,158
17,158,88,151
18,-104,-172,134
19,-120,-179,142
20,-102,86,-90
21,-68,76,144
22,216,92,151
23,194,-174,152
24,-100,68,-110
25,-402,-177,-122
26,-410,-181,-124
27,148,-172,158
28,178,-174,152
29,168,86,136
30,-104,82,130
31,-104,76,-128
32,-114,-178,130
33,162,70,-112
34,-84,80,-114
35,162,-190,170
36,-116,80,156
37,142,84,-122
38,-124,347,163
39,154,-180,152
40,-92,-180,134
41,138,-178,-118
42,-108,80,-100
43,162,80,134
44,146,-178,160
45,142,62,160
46,144,72,140
47,-120,-171,-102
48,160,80,156
49,-100,72,-102
50,166,70,-124
51,-114,72,142
52,-106,58,-118
53,160,-188,-116
54,-108,-176,146
55,-92,344,-97
56,140,82,130
57,-94,80,138
58,158,-176,144
59,156,70,-98
60,154,-176,-116
61,146,-178,-116
62,-116,-176,-120
63,154,-184,-102
64,150,84,154
65,-102,84,148
66,-112,98,-95
67,-128,-171,142
68,164,72,-114
69,150,-184,128
70,140,-172,128
71,-104,88,135
72,-90,74,-112
73,176,76,-124
74,154,68,-126
75,-110,-176,-110
76,-118,344,153
77,-108,-190,136
78,142,348,151
79,156,84,-102
80,156,72,-132
81,146,72,124
82,-106,-186,130
83,-132,-189,-110
84,-104,-182,138
85,-88,-174,-108
86,-96,-178,-102
87,-120,79,-98
88,-128,89,143
89,-96,-172,-118
90,-100,70,-136
91,-120,-187,-122
92,-102,64,142
93,-94,-176,-108
94,154,-176,154
95,166,-182,160
96,158,72,-98
97,-98,74,-122
98,-80,-174,-120
99,-88,-190,-108
100,168,84,-128
101,162,-170,-128
102,160,-186,138
103,140,-178,-102
104,-116,62,156
105,-114,-172,150
106,-104,58,150
107,-118,-174,-96
108,-118,62,166
109,150,76,150
110,-104,98,157
111,-106,80,172
112,-110,80,166
113,-136,-187,-120
114,-138,79,134
115,-128,-193,-114
116,-130,65,150
117,-376,-191,-122
118,-106,-170,138
119,-110,86,152
120,-106,-178,126
121,146,-190,154
122,144,70,-100
123,-112,74,-112
124,-116,-190,-112
125,-394,65,148
126,-120,-183,160
127,-104,-180,-132
128,-106,80,132
129,-114,-184,-122
130,-96,-180,-112
131,-80,102,137
132,154,94,-107
133,160,-172,-106
134,-106,68,-106
135,138,-186,130
136,-108,80,148
137,-114,80,-112
138,144,78,140
139,154,-172,-104
140,-92,-184,-122
141,160,84,-118
142,-112,72,142
143,172,-172,132
144,-88,-192,118
145,-92,-180,156
146,154,92,-111
147,-376,-171,-86
148,-378,-177,156
149,-112,-186,126
150,152,-182,-120
151,-104,-186,164
152,158,74,-92
153,154,-186,148
154,146,68,-104
155,-106,80,-122
156,162,78,130
157,148,-180,-124
158,142,70,128
159,-106,-188,-118
160,-98,78,136
161,158,80,144
162,152,76,152
163,144,74,160
164,-112,76,158
165,-110,80,-102
166,164,-176,-104
167,-108,74,150
168,-378,73,-124
169,-96,-174,-122
170,158,102,141
171,-106,354,-125
172,-108,80,-102
173,-106,-184,162
174,-104,80,158
175,146,-174,150
176,-120,-195,126
177,148,-188,128
178,-380,85,136
179,-108,78,144
180,152,74,-114
181,164,-184,-118
182,174,68,-132
183,152,76,132
184,154,-170,-104
185,154,344,-101
186,156,86,-104
187,-94,-186,140
188,-96,-176,-116
189,162,-182,-110
190,156,78,-106
191,154,78,138
192,-110,68,-114
193,-106,-182,142
194,-94,76,134
195,158,-176,126
196,-84,-170,-138
197,-110,80,-108
198,-104,78,146
199,140,-174,136
200,148,74,156
201,140,74,-114
202,144,82,132
203,140,348,-129
