Index,Gx,Gy,Gz
0,4058,3008,-1239
1,4062,464,-1315
2,3978,-1965,-1651
3,4314,-3408,-1554
4,3164,-4109,-1589
5,1488,-4764,-1256
6,-838,-5885,-673
7,-3376,-6114,422
8,-6782,-6492,1290
9,-10390,-6747,2162
10,-13168,-6518,2813
11,-16894,-6171,3742
12,-19922,-6062,3741
13,-22554,-5104,4657
14,-24718,-4340,4856
15,-25094,-4896,5699
16,-25358,-5624,6662
17,-25358,-7204,7039
18,-25358,-8036,7973
19,-25358,-8370,9295
20,-25358,-7278,9938
21,-25358,-5566,10210
22,-25358,-4788,10955
23,-25358,-3718,11465
24,-25344,-2206,12870
25,-24772,-1480,14784
26,-23628,-2865,15583
27,-22094,-1910,14024
28,-20792,-334,12584
29,-19614,478,12919
30,-17680,-668,12725
31,-16150,-1733,12258
32,-14008,-2983,11885
33,-12010,-3241,11286
34,-10328,-2109,10369
35,-7710,118,9603
36,-4978,2862,7570
37,-1964,3825,4987
38,1152,3191,1310
39,3526,1724,-1579
40,4954,2690,-3858
41,5818,2570,-5218
42,5604,315,-5631
43,5780,-989,-5765
44,6474,-575,-4945
45,8424,932,-5110
46,10348,1288,-5211
47,10762,776,-5241
48,9450,573,-4202
49,8634,147,-2298
50,8662,29,-356
51,10278,-72,241
52,11686,92,707
53,13530,-281,-109
54,16056,-12,-965
55,19048,324,-3277
56,21984,1550,-5911
57,24704,2665,-7923
58,26438,3639,-9991
59,28240,4427,-10774
60,30202,4830,-10579
61,32724,5097,-10141
62,36714,4188,-10145
63,39932,3054,-10306
64,39890,1731,-10336
65,39890,1399,-9735
66,39890,1941,-9533
67,39890,2865,-8536
68,39890,2887,-7669
69,39890,3057,-7439
70,39890,2613,-6584
71,39890,895,-6973
72,39890,173,-8115
73,39890,-49,-10513
74,39890,813,-12425
75,39890,2955,-12057
76,39734,5642,-10528
77,36218,6483,-8471
78,32020,7164,-5839
79,27912,6717,-3828
80,25294,4875,-1786
81,22918,3878,39
82,20508,5007,332
83,18248,6790,706
84,15626,7413,538
85,13364,7097,192
86,10956,5563,-674
87,8920,3880,-432
88,6766,3148,-808
89,5082,1838,-1060
90,4846,654,-857
91,5432,-682,-845
92,6100,-1372,-960
93,6230,-1824,-1190
94,5090,-1286,-358
95,2994,-1100,255
96,666,-1637,487
97,-2134,-2012,448
98,-5048,-3456,962
99,-8216,-4822,1568
100,-11350,-5140,1347
101,-14018,-4618,1446
102,-16566,-4496,1775
103,-19090,-4373,1781
104,-20742,-3455,2599
105,-21758,-2405,3310
106,-22006,-2460,4257
107,-22914,-3345,4755
108,-23532,-4425,5857
109,-23910,-5522,6539
110,-24846,-6949,7545
111,-24558,-7170,8741
112,-24688,-6834,8949
113,-24236,-5324,9677
114,-23562,-2953,9920
115,-23122,-1934,10033
116,-22382,-2100,11273
117,-22116,-3781,11505
118,-21336,-2429,10590
119,-20694,102,9673
120,-19644,901,9941
121,-16760,-258,10316
122,-14126,-1546,9827
123,-11594,-1969,9627
124,-8822,-1901,8962
125,-5632,-2307,8017
126,-2948,-2347,7119
127,-880,-2180,5065
128,-86,-1352,2961
129,272,92,1561
130,602,2092,52
131,1026,3662,-1458
132,2118,3418,-2733
133,3670,2360,-3128
134,5182,672,-3298
135,6274,-399,-2218
136,7524,-906,-1235
137,8684,-1542,-777
138,8438,-2337,163
139,8690,-1104,-264
140,8400,310,26
141,8084,1771,-708
142,9334,2701,-1295
143,11340,3298,-2296
144,13526,3897,-3198
145,16742,4674,-3994
146,20674,4720,-4917
147,24390,4710,-6240
148,28366,3767,-7324
149,31590,3575,-7599
150,34738,3927,-7682
151,37956,4584,-8004
152,39710,3836,-8011
153,40144,2973,-8127
154,39890,2351,-8755
155,39890,3051,-8986
156,39890,3465,-9491
157,39890,4971,-9998
158,39890,6269,-9504
159,39890,5813,-8641
160,39890,4839,-8397
161,39890,3209,-7049
162,39890,1345,-6659
163,39890,1487,-6429
164,39758,2701,-5848
165,38394,3526,-4590
166,34668,3635,-3289
167,32368,3564,-2244
168,30216,2593,-1426
169,28486,1871,-822
170,26980,2701,-581
171,25846,3898,-313
172,24650,5345,-467
173,23020,7307,-1150
174,20282,8411,-984
175,17350,8924,-777
176,13562,9053,-310
177,10034,7367,125
178,7086,4971,469
179,5302,2784,710
180,3474,958,503
181,2534,78,494
182,1464,-1234,247
183,938,-1396,109
184,276,-991,-126
185,-148,-910,-378
186,-1514,-1867,-424
187,-3614,-3171,-815
188,-6074,-3751,-674
189,-8720,-3965,-468
190,-11580,-4627,-213
191,-14152,-4890,148
192,-17154,-4577,608
193,-18910,-4433,1112
194,-20712,-4571,1315
195,-21772,-4002,2014
196,-22792,-3752,2538
197,-23496,-3453,2903
198,-23790,-3882,3863
199,-23792,-4212,4414
200,-23844,-5077,5409
201,-24278,-5655,6003
202,-24230,-5172,6778
203,-24420,-4507,7290
