Index,Gx,Gy,Gz
0,-37,-164,-149
1,-59,-169,-167
2,211,-152,-145
3,213,98,-139
4,-313,-175,-149
5,215,-168,85
6,231,98,-159
7,-45,-152,-151
8,203,-160,-157
9,219,-176,-141
10,203,-172,-153
11,-55,369,-156
12,-43,100,-133
13,-37,86,115
14,-37,102,129
15,-59,111,102
16,-319,-159,-151
17,207,92,109
18,-49,92,-139
19,215,98,113
20,-45,96,-137
21,-55,-159,127
22,-51,-168,-143
23,-321,-167,-137
24,-329,91,105
25,-61,-163,-145
26,-49,90,-179
27,211,94,101
28,-45,94,105
29,-37,108,96
30,-53,374,-142
31,-53,-156,-139
32,-45,-154,-143
33,-45,94,-143
34,-31,-154,95
35,209,-156,-155
36,-57,97,-145
37,-35,96,101
38,-323,-177,-151
39,-57,89,113
40,-45,-158,93
41,205,-170,105
42,-37,100,113
43,213,-170,89
44,215,88,-145
45,-47,-154,-159
46,203,-156,-155
47,205,-170,97
48,-45,104,-151
49,203,114,112
50,-313,113,-154
51,-45,92,79
52,203,86,105
53,211,88,99
54,-43,88,89
55,223,-160,-169
56,211,96,99
57,-47,78,89
58,-39,-160,123
59,-51,98,-137
60,-315,109,-148
61,-49,92,107
62,-39,94,105
63,-39,102,111
64,209,118,-144
65,223,96,-167
66,-39,-164,-153
67,223,-162,-155
68,205,-164,107
69,-317,85,-139
70,221,100,97
71,-37,374,-140
72,203,-164,-131
73,-61,101,-143
74,219,114,-160
75,207,-166,-141
76,211,96,-151
77,-41,-156,93
78,-49,-162,-143
79,-63,-163,-143
80,-55,87,115
81,203,94,-153
82,-49,362,-170
83,-311,113,104
84,205,108,96
85,-41,-176,99
86,213,96,97
87,-35,108,-150
88,-41,-168,-159
89,213,94,105
90,-21,-164,107
91,225,-168,-153
92,213,92,-163
93,-47,102,107
94,-33,110,-140
95,-29,98,-145
96,207,-164,-167
97,-57,-175,-169
98,223,96,87
99,205,-164,-165
100,209,94,101
101,-59,105,101
102,-65,-165,99
103,-313,97,103
104,203,94,95
105,203,-166,115
106,-57,107,112
107,-325,85,105
108,-313,83,-143
109,203,104,99
110,215,96,-155
111,-315,103,113
112,-63,91,85
113,-57,-163,103
114,217,-164,107
115,215,-170,-161
116,223,-174,95
117,-51,92,127
118,-55,89,105
119,-51,86,-143
120,-43,88,-145
121,-43,364,-154
122,203,92,111
123,-39,96,-153
124,221,-160,65
125,-25,-164,81
126,219,98,83
127,211,-166,-175
128,-45,-160,-145
129,203,90,123
130,-53,-162,111
131,-33,-162,93
132,211,94,-153
133,203,368,-158
134,-43,108,104
135,-39,98,93
136,-23,370,116
137,-39,110,-160
138,-47,-162,97
139,-37,102,119
140,-53,104,117
141,215,368,86
142,-41,104,119
143,-53,90,-149
144,-61,-171,-151
145,-65,79,-155
146,-61,79,107
147,-47,96,93
148,237,92,81
149,-33,98,-159
150,223,108,-158
151,-31,-152,-157
152,-45,368,-166
153,-327,-153,103
154,-319,91,-153
155,-51,-158,-145
156,-41,364,114
157,-49,98,111
158,-49,-156,131
159,213,370,112
160,-37,84,99
161,-33,96,-169
162,-43,100,87
163,-317,101,-143
164,217,102,97
165,-43,102,-155
166,-53,114,86
167,217,368,-188
168,221,-154,-159
169,-317,-153,-141
170,-315,109,-138
171,-315,-151,89
172,-47,104,-175
173,223,362,94
174,-31,-152,103
175,-37,-156,-155
176,227,100,97
177,-53,-168,-155
178,-55,-157,95
179,-47,106,92
180,215,-162,121
181,207,-154,109
182,-47,90,111
183,207,98,-161
184,217,-158,-151
185,235,108,122
186,-25,364,-134
187,-37,102,115
188,211,-156,-143
189,215,84,-155
190,-39,88,-147
191,-317,99,-141
192,-45,96,113
193,207,-154,-141
194,-317,111,-156
195,-311,-155,107
196,207,82,-153
197,-57,79,109
198,-315,-171,107
199,-57,83,-151
200,-35,92,79
201,-31,-164,-137
202,215,84,123
