Index,Gx,Gy,Gz
0,4232,-916,-225
1,4902,-1395,-306
2,5886,-1406,-235
3,6072,-1235,-287
4,6900,-1149,-352
5,7566,-992,-180
6,7832,-622,411
7,8310,-1376,51
8,8640,-1682,-59
9,8774,-2320,-267
10,9064,-2364,-489
11,9092,-1932,-94
12,8726,-606,134
13,8430,-13,650
14,7898,589,461
15,6480,411,621
16,5194,-809,600
17,5328,-1154,-120
18,4652,-1101,-451
19,4812,-1123,-662
20,4866,-482,-427
21,4254,881,-355
22,3758,1635,-314
23,3072,2722,-470
24,2332,3976,-386
25,914,4896,-716
26,-770,4764,-712
27,-3068,3603,-1038
28,-4488,1748,-1019
29,-5874,-49,-1317
30,-7080,-1977,-1444
31,-7300,-2081,-1439
32,-7710,-1999,-1491
33,-7282,-830,-1609
34,-7390,612,-2087
35,-7776,1409,-2500
36,-7458,1680,-2803
37,-8658,1550,-3424
38,-9910,1237,-3406
39,-10946,595,-3318
40,-11854,767,-2410
41,-12294,1325,-1998
42,-12346,2524,-993
43,-12712,3563,325
44,-12326,3780,484
45,-12150,4422,347
46,-12122,3130,642
47,-12768,2132,-437
48,-12914,942,-1490
49,-13534,183,-2321
50,-14298,-119,-2988
51,-14722,-154,-2898
52,-15314,-370,-2380
53,-15484,401,-1623
54,-15298,277,-470
55,-14234,781,326
56,-12750,1820,245
57,-11590,1636,398
58,-11552,1485,340
59,-11746,1004,661
60,-11930,-80,66
61,-12702,-982,-456
62,-12926,-1356,-880
63,-13830,-1364,-1500
64,-14090,-1299,-1424
65,-14158,-1039,-1524
66,-13544,-1044,-914
67,-12438,-1013,-809
68,-11098,-549,-1088
69,-10784,421,-1164
70,-10038,1924,-918
71,-10728,3418,-1586
72,-11074,3742,-1446
73,-11396,2859,-1878
74,-10954,713,-2076
75,-9384,-628,-1487
76,-8106,-1914,-1277
77,-7108,-1643,-920
78,-5784,-178,-1135
79,-5444,739,-1023
80,-5180,1461,-928
81,-4276,2004,-1193
82,-4216,1691,-817
83,-4042,1115,-1548
84,-2850,952,-1381
85,-2324,3,-1303
86,-1402,-506,-1127
87,-352,-843,-873
88,832,-1351,-324
89,1970,-1372,-510
90,3128,-1356,266
91,4214,-1024,-28
92,4700,-247,468
93,5456,-23,644
94,6006,-17,331
95,6706,-654,288
96,7490,-1371,164
97,8570,-1977,-441
98,9682,-3353,-1090
99,11558,-4376,-1686
100,12314,-4653,-1794
101,13410,-4384,-2343
102,13590,-3641,-2182
103,13516,-2852,-1153
104,12766,-2456,-396
105,12382,-1567,-105
106,13168,-1931,-332
107,13928,-1887,-902
108,15300,-1948,-1424
109,16582,-1810,-1292
110,16854,-837,-1251
111,17692,798,-633
112,17038,1563,-180
113,16508,1769,754
114,16274,679,414
115,15968,-833,-105
116,16474,-1792,-606
117,17238,-1014,-480
118,16860,2290,401
119,16056,4936,1551
120,14152,5298,2414
121,12094,3751,2454
122,11424,636,1561
123,10904,-3137,1350
124,11642,-5595,791
125,11810,-6161,253
126,12608,-5198,267
127,12484,-3476,404
128,12112,-1066,1130
129,11248,177,1097
130,11398,174,1216
131,11366,96,1061
132,10206,-467,1179
133,9622,-1048,1130
134,8132,-1503,563
135,7198,-2017,0
136,7136,-1486,391
137,6806,-989,549
138,6806,-857,738
139,6706,-94,-59
140,6374,-412,231
141,5510,-849,-485
142,5382,-1314,-577
143,4710,-1581,-1054
144,4812,-1571,-1494
145,4666,-1336,-1977
146,4550,-686,-1427
147,4092,-595,-1696
148,4176,-874,-1088
149,4262,-778,-1111
150,3618,-1539,-1141
151,3538,-1969,-1182
152,3928,-690,-714
153,3254,1739,109
154,2006,4295,615
155,702,5636,231
156,-1690,4841,-324
157,-4138,3312,-935
158,-6294,1012,-1446
159,-8484,-91,-1721
160,-10146,-969,-2141
161,-10748,-1016,-1794
162,-11116,-230,-1246
163,-11042,758,-1566
164,-11790,2243,-1553
165,-12252,3473,-1546
166,-12758,4166,-1253
167,-13862,4138,-2082
168,-14696,3230,-2412
169,-15782,1181,-2638
170,-16168,-562,-1800
171,-16568,-1338,-1198
172,-16930,281,-527
173,-15850,2468,-405
174,-14618,4586,-309
175,-14096,5607,-951
176,-13486,4796,-1270
177,-13946,4223,-2613
178,-14344,3386,-3635
179,-14518,2122,-4551
180,-15160,1070,-4469
181,-16472,-235,-3577
182,-16898,-1674,-2170
183,-17088,-1743,-1127
184,-16966,-1857,-140
185,-15972,-595,633
186,-14366,-378,562
187,-13372,16,4
188,-12836,106,-316
189,-12482,234,-851
190,-13360,-137,-2026
191,-13466,-613,-2300
192,-13832,-819,-2463
193,-13792,-249,-1849
194,-13230,148,-863
195,-12798,914,-659
196,-12212,973,-549
197,-10502,122,-562
198,-9576,756,-355
199,-8384,1164,-430
200,-8788,2717,-996
201,-9106,4404,-1113
202,-9378,3752,-675
