Index,Gx,Gy,Gz
0,6561,1115,-2322
1,9377,1739,-3916
2,12859,1869,-5064
3,16567,1507,-6335
4,20575,1058,-7846
5,23199,1345,-9544
6,25711,1429,-9837
7,28111,636,-9917
8,29643,53,-9714
9,31399,498,-9437
10,32551,440,-9342
11,32933,-551,-9323
12,32679,-1641,-9982
13,32679,-1801,-10888
14,32679,-1181,-12326
15,32679,-519,-13024
16,32679,589,-13665
17,32679,1163,-13618
18,32679,2267,-12513
19,32679,2855,-11482
20,32679,4217,-11092
21,32679,6475,-10442
22,32735,8217,-9508
23,30653,10061,-7573
24,27503,9680,-5586
25,24309,8311,-3993
26,22273,6952,-2905
27,20283,6075,-1432
28,18527,6523,-180
29,16047,7476,181
30,12441,7028,779
31,8055,5562,739
32,3789,3620,898
33,-513,2209,961
34,-4609,923,889
35,-7971,238,805
36,-9897,-832,845
37,-10267,-2821,1154
38,-9795,-4977,1201
39,-9221,-6504,1676
40,-9879,-6632,1853
41,-11209,-6599,2071
42,-13359,-6694,2348
43,-16797,-5420,3051
44,-21171,-4487,3113
45,-24419,-3802,4388
46,-27471,-3812,4778
47,-29773,-4494,5946
48,-30709,-4954,6993
49,-31281,-5554,7390
50,-31261,-5030,7885
51,-30957,-4594,8591
52,-29821,-4164,8800
53,-28143,-3672,8899
54,-27327,-3759,9273
55,-26393,-4016,9623
56,-26923,-3675,9670
57,-27623,-3139,10302
58,-28717,-2531,11071
59,-29203,-2480,11334
60,-29931,-1279,12057
61,-29087,-904,11766
62,-28327,-32,12073
63,-27435,771,12029
64,-25479,1036,12610
65,-23815,1583,13053
66,-20621,786,12772
67,-17545,-238,12604
68,-15811,-341,11879
69,-15175,-37,11045
70,-14037,81,8902
71,-11809,1293,6524
72,-9083,2100,3282
73,-7365,2698,-26
74,-6365,3311,-2932
75,-5769,3109,-4343
76,-5153,2615,-5091
77,-3817,1852,-4694
78,-2265,666,-4832
79,-1177,62,-5054
80,-183,450,-4297
81,1131,839,-3389
82,3093,1083,-2229
83,5681,1599,-1771
84,8741,1890,-2240
85,11119,1605,-3154
86,14997,2064,-4215
87,19003,3020,-6439
88,22981,3347,-8070
89,27061,3300,-10150
90,30875,2727,-11544
91,32841,2873,-12654
92,32679,2915,-13312
93,32679,2643,-13070
94,32679,1923,-13072
95,32679,829,-13615
96,32679,313,-13727
97,32679,97,-14220
98,32679,961,-13902
99,32679,2775,-13355
100,32679,4827,-12546
101,32679,7365,-11779
102,32679,8809,-9467
103,32813,8401,-6851
104,32713,6162,-5074
105,32813,3667,-3973
106,32933,2739,-4374
107,32601,5331,-4446
108,31883,8392,-4522
109,29659,9344,-3833
110,27207,8653,-3217
111,24905,7898,-2194
112,22677,8107,-1515
113,19743,7915,-1056
114,16609,7640,-1812
115,12887,8031,-2703
116,9341,6897,-2927
117,6011,4297,-2539
118,3377,1874,-2020
119,333,444,-1428
120,-2785,-148,-571
121,-5933,-1491,-267
122,-8257,-3434,121
123,-11533,-5806,946
124,-14411,-7138,2029
125,-16765,-7258,2866
126,-19971,-7729,3426
127,-23391,-8435,3421
128,-27075,-8989,3500
129,-30369,-8716,3209
130,-32247,-8445,3304
131,-32313,-8450,4143
132,-32185,-9590,4903
133,-31229,-10323,6106
134,-29959,-9731,6716
135,-29463,-8132,7225
136,-30777,-7757,8167
137,-32359,-9098,8982
138,-32569,-8802,10491
139,-32569,-8162,11417
140,-32569,-7304,12586
141,-32569,-6834,12891
142,-32569,-6550,14107
143,-32569,-5532,15468
144,-32563,-3880,18249
145,-32277,-2122,18248
146,-32561,1552,17624
147,-32569,6220,18331
148,-32569,8348,19492
149,-32527,8444,20829
150,-31343,5425,20798
151,-25481,1857,19388
152,-17945,-865,16446
153,-12101,-1545,12551
154,-7845,-1532,6248
155,-5535,1347,775
156,-4657,4987,-3556
157,-4565,7723,-6123
158,-4751,8011,-7646
159,-3847,5836,-7552
160,-2379,2549,-6863
161,-425,-482,-5766
162,967,-835,-5060
163,1723,-503,-3285
164,2649,-954,-2345
165,2841,-1218,-486
166,3759,-695,741
167,5347,-824,1242
168,7801,-617,832
169,11811,-1326,-95
170,16603,-1816,-2263
171,22103,-2558,-5012
172,26433,-2430,-7386
173,30219,-2165,-10082
174,32911,-2570,-12188
175,32679,-2049,-13631
176,32679,-1937,-14982
177,32679,-1835,-17275
178,32679,-2915,-18565
179,32679,-3073,-19813
180,32679,-1477,-20489
181,32679,1453,-19905
182,32679,4533,-17957
183,32679,6451,-15478
184,32679,7165,-13792
185,32679,8575,-11762
186,32679,9035,-7939
187,32679,7915,-4483
188,32679,6575,-2346
189,32679,6097,-1084
190,32679,6081,-1132
191,32667,7623,-1700
192,31709,10507,-2372
193,27423,12581,-1730
194,22475,11941,-1158
195,17115,10024,-1028
196,11819,7845,-932
197,7323,8498,-2041
198,3583,6629,-3039
199,1585,2398,-2769
200,-361,-450,-2869
201,-2277,-823,-1931
202,-2381,-790,-1189
