Index,Gx,Gy,Gz
0,1594,-363,-146
1,1862,-418,-504
2,2168,-239,-264
3,2478,-150,-278
4,2718,-417,-183
5,2634,108,-40
6,3128,431,266
7,3104,-92,-67
8,3774,-541,-82
9,3732,-811,60
10,4394,-1419,204
11,4704,-1111,-120
12,5164,-789,-19
13,5362,30,-62
14,5058,174,-153
15,5190,53,-561
16,5028,-112,-495
17,4672,-606,-301
18,5006,-1132,-487
19,5346,-1774,-317
20,5634,-2574,-445
21,6456,-1974,-224
22,6642,-838,-125
23,6792,890,190
24,6968,650,436
25,6656,-180,336
26,6984,-1657,-666
27,7070,-2985,-386
28,7476,-2959,-598
29,7218,-1290,-342
30,7410,400,154
31,7388,935,387
32,6652,537,819
33,6056,860,473
34,5206,1965,767
35,3602,3252,1276
36,2032,3739,1134
37,-42,3397,812
38,-1680,1933,276
39,-3598,213,-824
40,-5128,-1347,-1418
41,-6410,-2038,-2001
42,-7246,-1494,-1848
43,-7364,-1079,-1688
44,-7432,-513,-1622
45,-7562,5,-1852
46,-7342,564,-1938
47,-7190,1365,-2704
48,-6970,1770,-2388
49,-7440,1988,-3011
50,-8508,3213,-2768
51,-10392,3804,-2299
52,-11570,3363,-1885
53,-12414,2095,-947
54,-12866,1705,224
55,-12600,1598,663
56,-12266,2222,1226
57,-11076,2267,790
58,-10732,1191,269
59,-10710,570,-489
60,-10566,689,-1614
61,-11866,932,-1879
62,-12920,539,-2413
63,-14174,131,-2052
64,-14528,60,-790
65,-14804,742,233
66,-14304,1693,1150
67,-13444,2205,1252
68,-12958,1968,685
69,-11916,1195,-78
70,-12166,488,-348
71,-12500,160,-963
72,-13868,788,-1354
73,-14782,-352,-1809
74,-14974,-1592,-1366
75,-15022,-2598,-401
76,-14920,-1708,164
77,-14442,-1040,386
78,-13914,-511,1131
79,-13728,284,576
80,-12228,225,459
81,-11002,661,57
82,-11558,1924,-651
83,-12290,2875,-696
84,-12576,2942,-1666
85,-12398,2438,-2605
86,-11452,2141,-2335
87,-11656,2414,-2255
88,-10878,1670,-2174
89,-9398,-379,-1871
90,-8550,-1524,-1831
91,-7228,-917,-1806
92,-6744,804,-1812
93,-7032,2100,-2115
94,-6818,3596,-2084
95,-6726,3628,-2652
96,-5714,2936,-2723
97,-4644,2387,-3014
98,-3442,1511,-2556
99,-2556,990,-1900
100,-1300,-10,-1677
101,-222,-245,-1482
102,142,-791,-673
103,548,-688,-198
104,1806,-1146,-105
105,2622,-1232,427
106,3792,-1356,672
107,4562,-1689,1139
108,5406,-2110,928
109,6318,-2257,902
110,7218,-2629,556
111,8048,-3476,815
112,8766,-3221,270
113,9310,-3521,92
114,9642,-3492,199
115,9962,-2864,-359
116,10400,-2681,-637
117,10860,-2953,-729
118,11674,-2645,-1339
119,12118,-2176,-1918
120,12762,-1747,-2352
121,12748,-1490,-1954
122,12440,-1494,-1391
123,12116,-1332,-735
124,11798,-1437,-1008
125,12206,-1501,-934
126,12228,-2004,-375
127,13638,-2449,-793
128,14410,-1825,-1144
129,14966,-606,-337
130,15350,1717,-66
131,14454,3728,1110
132,13628,4346,1601
133,12924,3136,1249
134,13218,1102,466
135,13668,-1491,-308
136,13782,-3067,-806
137,14004,-3028,-955
138,14766,-845,-485
139,13904,1614,657
140,13148,2802,887
141,11764,1710,1261
142,11214,-19,724
143,11534,-2191,155
144,12034,-3055,-372
145,11956,-2229,-551
146,12038,-905,293
147,11182,416,789
148,10202,818,710
149,9922,222,658
150,10114,-1271,67
151,10154,-2351,147
152,9742,-2737,-647
153,9322,-2353,-337
154,9256,-1433,-41
155,8700,162,449
156,8262,1663,1262
157,7526,1960,1372
158,7072,811,1093
159,6374,-1071,1305
160,5664,-2607,443
161,5510,-3068,298
162,5912,-3033,-90
163,5936,-1814,-582
164,5948,-202,-561
165,5882,1401,-79
166,4676,1520,1
167,3928,1178,-92
168,2678,-36,-441
169,2422,-631,-491
170,1520,-1079,-255
171,858,344,-28
172,380,1541,673
173,-856,3413,457
174,-2440,4314,786
175,-4116,3157,27
176,-6268,1748,-623
177,-8038,-67,-1349
178,-8930,-1435,-2198
179,-10136,-1664,-2544
180,-9966,-1471,-2472
181,-10344,-272,-2536
182,-10690,102,-1913
183,-10438,922,-1999
184,-10120,1345,-1821
185,-10196,1920,-2113
186,-10596,2652,-1768
187,-10876,3815,-2582
188,-12256,3735,-2223
189,-12934,3413,-2609
190,-13724,2305,-1848
191,-13838,1097,-1630
192,-13624,908,-1033
193,-12990,1455,-537
194,-12904,2106,-448
195,-12832,2300,-445
196,-12094,1629,-672
197,-12030,393,-1413
198,-12454,-868,-2472
199,-12854,-1993,-3038
200,-12962,-2665,-2137
201,-13350,-2149,-990
202,-12876,-1195,802
203,-12808,-103,1228
