Index,Gx,Gy,Gz
0,1537,-126,-560
1,1447,-236,-130
2,1217,487,-445
3,815,346,-580
4,-61,459,-884
5,-287,168,-1140
6,-1021,392,-1529
7,-1437,-393,-1426
8,-2087,-15,-1428
9,-2535,221,-1234
10,-3045,1077,-969
11,-3499,1099,-940
12,-4683,1325,-868
13,-5367,715,-976
14,-6099,143,-704
15,-6385,324,-843
16,-6915,6,-1026
17,-7515,386,-677
18,-8753,379,-722
19,-9221,156,-606
20,-9831,172,45
21,-10735,-465,340
22,-10701,-574,676
23,-11135,-1285,434
24,-10947,-1786,484
25,-10513,-1659,687
26,-10401,-1639,531
27,-10003,-1607,644
28,-10385,-1194,1331
29,-11273,-1902,1050
30,-12017,-1986,584
31,-12609,-1414,129
32,-13039,-667,-243
33,-13323,-811,-681
34,-12719,-1486,-760
35,-12595,-1533,-1019
36,-11639,-1954,-1085
37,-10755,-1608,-924
38,-8571,-634,-815
39,-7659,173,-309
40,-7085,1167,-592
41,-7513,2521,-383
42,-8063,2549,-778
43,-8095,2506,-1384
44,-7915,1975,-2028
45,-6861,773,-2618
46,-4793,810,-2611
47,-3003,1076,-2034
48,-2299,2988,-1305
49,-2465,3575,-1076
50,-2659,3165,-764
51,-1913,2941,-989
52,-1247,1891,-1110
53,195,1347,-639
54,1683,62,-960
55,2597,-595,-126
56,3861,-1237,257
57,5045,-2377,392
58,6675,-2218,768
59,7899,-1587,1069
60,8605,-727,1373
61,9805,190,1749
62,9753,1051,2212
63,10313,1707,1692
64,10447,2173,1191
65,10559,1654,639
66,11031,394,8
67,11259,-1366,-108
68,11941,-2251,-160
69,12843,-2618,-307
70,12681,-3365,-642
71,12721,-3473,-342
72,12803,-3167,-348
73,13459,-2908,-847
74,13231,-2129,-1231
75,14281,-1802,-1592
76,15041,-662,-1008
77,14719,354,-417
78,14137,485,154
79,14553,390,760
80,14991,-108,858
81,15489,-801,15
82,15851,-1081,-566
83,16137,-745,-332
84,15477,-5,-389
85,14381,-285,215
86,12873,-707,-45
87,11253,-2333,-560
88,10937,-3452,-1064
89,10553,-3964,-718
90,10917,-3943,-842
91,11499,-3343,-971
92,12393,-2888,-706
93,12901,-1194,-246
94,12827,976,336
95,12533,2873,896
96,11727,3406,802
97,10671,2184,126
98,9563,574,-497
99,8855,-1144,-748
100,7543,-2215,-672
101,6953,-2771,-338
102,7043,-3138,182
103,7353,-3129,-371
104,8271,-3398,-219
105,8983,-3186,-1060
106,9117,-2675,-1542
107,9981,-1915,-1555
108,10437,-755,-1401
109,10269,891,-964
110,10057,2252,-164
111,8977,2787,-456
112,7773,2518,-124
113,5529,1867,-477
114,4155,1089,-175
115,2747,1398,-111
116,519,1559,-559
117,-971,1646,-139
118,-2983,1446,-505
119,-4963,164,-872
120,-6995,-308,-939
121,-8595,-914,-1006
122,-9851,-706,-858
123,-10763,-569,-786
124,-10673,-190,-390
125,-11225,648,161
126,-11499,1746,291
127,-11775,2674,231
128,-11673,3038,152
129,-12289,3070,258
130,-13009,2897,247
131,-13219,1949,-492
132,-13443,1398,-475
133,-13517,808,-668
134,-13707,1087,-665
135,-13697,1449,-230
136,-13541,1789,-363
137,-13365,2290,67
138,-13257,2766,746
139,-13981,3250,399
140,-14465,2090,-762
141,-14659,1094,-2035
142,-15527,-161,-2256
143,-15585,-1017,-2361
144,-15075,-1986,-2165
145,-15435,-2531,-1543
146,-14707,-2639,-108
147,-14449,-1677,423
148,-14087,-1197,862
149,-14539,-604,911
150,-15413,-676,876
151,-16587,-193,316
152,-17049,338,-892
153,-17205,97,-1309
154,-16615,-533,-1697
155,-14725,-1847,-759
156,-13241,-2369,-559
157,-13381,-1557,91
158,-13441,-897,828
159,-13597,-78,548
160,-14285,160,-31
161,-14799,479,-274
162,-15047,557,-734
163,-14307,1112,-1708
164,-13157,1556,-1856
165,-12189,664,-1410
166,-11413,306,-665
167,-10237,-434,-688
168,-8633,72,-1112
169,-8417,1291,-1297
170,-8093,2412,-1651
171,-8423,2404,-2022
172,-8563,2483,-2317
173,-8083,2563,-2348
174,-7205,3151,-1827
175,-5317,3169,-1615
176,-2973,2755,-1083
177,-1321,2231,-947
178,131,1380,-120
179,813,662,247
180,1449,492,34
181,1879,604,483
182,1917,491,870
183,2577,62,869
184,3065,-127,737
185,4375,-133,295
186,5835,-440,-8
187,6815,-473,42
188,7955,-607,206
189,9103,-724,-92
190,10237,-130,-448
191,11391,644,-954
192,11783,1052,-1104
193,12063,769,-687
194,12593,-257,-917
195,13255,-1027,-1113
196,14231,-1980,-803
197,14981,-2100,-799
198,15087,-2858,-816
199,15133,-2580,-984
200,15021,-1627,-949
201,14705,-977,-978
202,15087,288,-900
