Index,Gx,Gy,Gz
0,-351,-823,28
1,-49,-895,-318
2,23,-917,-358
3,99,-784,-362
4,457,-576,-367
5,63,-679,-333
6,159,-95,-320
7,213,-153,-58
8,493,-523,-347
9,307,-565,-87
10,901,-518,-101
11,1047,-674,-367
12,869,-107,-346
13,803,-276,-164
14,637,-54,-453
15,115,107,-260
16,423,82,-497
17,-209,-45,-207
18,-243,-31,-489
19,39,155,-59
20,443,1198,-400
21,103,2083,-399
22,423,3147,-32
23,445,3415,-150
24,163,3695,-308
25,87,4027,27
26,317,4359,241
27,469,5105,825
28,227,5669,622
29,67,5257,595
30,521,5620,189
31,345,6035,173
32,999,6786,-397
33,1283,8589,-1013
34,1871,9569,-1454
35,1933,10295,-1152
36,2225,11114,-1244
37,2163,11641,-1226
38,2497,12161,-1290
39,2601,12543,-1832
40,3081,12998,-1623
41,3415,14396,-1853
42,3603,15386,-1241
43,3191,15010,-1419
44,2681,13660,-1169
45,1781,12249,-560
46,1407,9837,-379
47,833,8463,412
48,435,7252,929
49,-805,6729,1366
50,-1257,5784,1354
51,-1737,5048,1309
52,-1829,4722,1034
53,-1797,4425,675
54,-1193,4471,55
55,-1003,4089,383
56,-1433,3227,60
57,-1671,1711,373
58,-2337,729,-19
59,-2141,403,278
60,-1661,-490,419
61,-1697,-911,-300
62,-1445,-1374,-375
63,-987,-1322,-909
64,-1425,-921,-1026
65,-1295,-1034,-734
66,-1907,-2335,-538
67,-2057,-3657,-281
68,-2489,-4953,70
69,-2305,-6172,118
70,-2157,-8469,850
71,-1925,-10754,932
72,-1949,-13313,670
73,-1743,-15631,752
74,-1313,-17178,444
75,-1061,-18310,-150
76,-1773,-18333,-186
77,-1807,-17534,-563
78,-2329,-16045,-1440
79,-2277,-14848,-1272
80,-2473,-14469,-1836
81,-1617,-14752,-1679
82,-1425,-15531,-1767
83,-129,-16123,-2478
84,773,-16773,-2311
85,2087,-15997,-2893
86,2661,-14287,-3061
87,3441,-11851,-3104
88,3541,-10661,-3431
89,3311,-10622,-3453
90,2909,-10919,-3874
91,2109,-11659,-4152
92,1621,-12593,-4113
93,1889,-13514,-4019
94,1749,-14656,-3317
95,2349,-14918,-2603
96,3137,-14274,-2213
97,4037,-12346,-2582
98,4271,-10968,-1816
99,4291,-9844,-1580
100,4117,-9690,-1710
101,3275,-10588,-1703
102,3069,-10942,-1609
103,2491,-10999,-1767
104,2365,-10591,-2096
105,2327,-9699,-1619
106,2765,-7751,-1248
107,3131,-5631,-1066
108,3185,-4471,-918
109,2997,-4087,-78
110,2431,-4982,-402
111,1443,-5443,91
112,951,-4835,345
113,903,-3508,165
114,285,-2781,77
115,579,-1680,78
116,573,-1872,191
117,427,-983,578
118,493,-184,940
119,11,1545,726
120,-137,2296,747
121,-669,3494,941
122,-1131,4264,567
123,-1649,5763,139
124,-1735,8084,-13
125,-1943,10451,74
126,-1897,12857,-100
127,-1531,14034,-495
128,-2093,15503,-136
129,-2139,16482,-361
130,-2555,17503,-432
131,-2215,17562,14
132,-2391,17337,337
133,-1873,16632,646
134,-1677,15487,494
135,-1377,13914,695
136,-1269,12053,613
137,-865,11271,803
138,-231,11278,622
139,39,11059,787
140,411,11582,665
141,465,12742,980
142,511,13104,1068
143,319,13041,1217
144,237,12903,1472
145,649,12752,606
146,625,12726,967
147,891,13906,780
148,783,14138,746
149,747,13975,553
150,1407,14911,294
151,1627,15047,422
152,2283,14610,419
153,2287,14780,358
154,2167,14710,294
155,2515,14046,-471
156,2451,14180,-973
157,2017,14253,-941
158,2049,14109,-592
159,2399,13772,-913
160,2007,13333,-635
161,1559,12071,-929
162,1203,10588,-796
163,977,9109,-639
164,579,7809,-923
165,327,7341,-623
166,27,7736,-656
167,-875,7197,-405
168,-487,5878,-528
169,-775,4008,-162
170,-663,1266,-317
171,-1321,-1257,-321
172,-1465,-3221,-165
173,-1063,-4664,-220
174,-1353,-6250,-532
175,-1285,-7562,-80
176,-1291,-7971,-270
177,-601,-8323,-82
178,-275,-9722,117
179,3,-11190,89
180,-95,-12382,846
181,-397,-13886,533
182,-809,-14811,992
183,-857,-16254,1274
184,-1409,-17579,1671
185,-1045,-17954,1999
186,-1351,-17882,2451
187,-1283,-17028,2369
188,-1123,-16629,1841
189,-795,-16066,1248
190,-315,-15502,1396
191,297,-15202,735
192,579,-13523,474
193,1455,-12160,-403
194,1529,-10984,-699
195,965,-10531,-1371
196,457,-10765,-879
197,323,-11764,-609
198,-123,-12881,-599
199,51,-14098,-812
200,-1,-14546,-928
201,-231,-13912,-723
202,-135,-12804,-934
203,-829,-12960,-917
