Index,Gx,Gy,Gz
0,-2402,81,-376
1,-3820,-451,-13
2,-5258,-810,-872
3,-7148,-1484,-1324
4,-8538,-2285,-1522
5,-9540,-2819,-1750
6,-10212,-3326,-1925
7,-10558,-3309,-1324
8,-10592,-3087,-786
9,-10668,-3327,-226
10,-10332,-3604,203
11,-10414,-4281,255
12,-10462,-5544,961
13,-11066,-6622,979
14,-12302,-7054,846
15,-13636,-7043,28
16,-14820,-6628,-267
17,-15128,-5074,-882
18,-15190,-3324,-1504
19,-15182,-1516,-1186
20,-15632,185,-884
21,-15954,1362,-591
22,-16198,1570,-143
23,-17104,2035,-340
24,-17632,1452,-179
25,-18560,1370,-570
26,-20176,513,-993
27,-21012,-288,-1069
28,-21800,844,-1210
29,-23082,599,-1557
30,-22704,480,-1519
31,-22320,156,-982
32,-21882,-205,-151
33,-20098,-613,496
34,-17482,-1578,912
35,-14958,-2660,1369
36,-12784,-3882,1337
37,-10726,-4722,1193
38,-9062,-4713,1208
39,-7604,-4207,1492
40,-5656,-3788,1011
41,-3932,-3239,139
42,-2468,-2651,-391
43,-352,-1612,-692
44,548,-679,-950
45,2108,-284,-500
46,3620,-178,-161
47,5420,-299,445
48,7058,941,254
49,9138,1534,634
50,11028,1516,708
51,11798,771,666
52,13238,528,448
53,14230,-389,93
54,16020,-50,-244
55,16982,-242,-183
56,18116,927,-416
57,19238,1246,-120
58,19374,1459,443
59,20238,1303,1205
60,20922,684,2119
61,21684,557,2856
62,22038,589,3336
63,22468,1372,3260
64,22396,1980,3425
65,21666,2960,3441
66,20770,3676,2976
67,19768,3998,2622
68,18340,3244,2593
69,17214,3123,3085
70,16328,2824,2947
71,16068,2458,2525
72,15486,1437,2910
73,15940,-258,3026
74,15950,-611,3392
75,16574,-520,3237
76,15914,307,3387
77,15806,602,3224
78,15320,526,3024
79,14752,5,2993
80,14866,-187,2435
81,15568,-563,2218
82,16438,-1858,2726
83,17534,-2554,3645
84,18610,-2423,5588
85,19398,-1849,6679
86,20574,-638,7421
87,21254,-371,7357
88,21742,666,7242
89,21216,2394,6442
90,19394,2745,4792
91,17364,1711,3837
92,14790,1289,2284
93,11714,1161,518
94,8710,938,-1354
95,5784,-783,-3438
96,3698,-2280,-4322
97,2858,-3146,-5205
98,1996,-3041,-5105
99,2074,-2343,-4554
100,2786,-2477,-3864
101,3424,-2543,-3230
102,3690,-2567,-3023
103,4264,-2096,-2995
104,3652,-1922,-3258
105,2638,-1997,-3874
106,1520,-2009,-4315
107,-110,-1371,-4480
108,-1862,-851,-3950
109,-3724,-590,-3914
110,-6146,-1327,-3333
111,-7516,-630,-2925
112,-9338,22,-2168
113,-11582,119,-1679
114,-13818,369,-1870
115,-15318,-239,-1637
116,-15688,168,-2334
117,-16764,-27,-2719
118,-17282,-489,-4122
119,-17554,-881,-4838
120,-18496,-1043,-5745
121,-19436,-1200,-6053
122,-20966,-1234,-6147
123,-22670,-913,-6189
124,-24496,-439,-6477
125,-25210,-166,-6134
126,-26554,-665,-5749
127,-26442,-965,-5497
128,-25866,-809,-4767
129,-24398,-206,-4143
130,-23162,868,-4239
131,-22856,2778,-4412
132,-23968,4511,-4981
133,-24956,4479,-6070
134,-26170,1907,-7030
135,-26684,-1016,-7692
136,-26680,-3096,-7888
137,-26272,-3606,-7799
138,-26442,-3127,-7742
139,-24270,-2889,-7496
140,-22652,-672,-7148
141,-22128,169,-6828
142,-20188,-139,-6504
143,-18540,-730,-4836
144,-17104,-1509,-4090
145,-14526,-2224,-3616
146,-12898,-2810,-3506
147,-11044,-2655,-3097
148,-8406,-2838,-3523
149,-6474,-2510,-2807
150,-5590,-1093,-2147
151,-4534,-71,-1527
152,-3450,497,-1594
153,-2308,-67,-1060
154,-1972,-674,-978
155,-1804,-1311,-612
156,-1188,-1962,-985
157,-970,-1839,-1317
158,688,-688,-916
159,2298,-318,-842
160,4390,-296,-458
161,6906,-124,497
162,9536,-30,984
163,11762,-910,1397
164,13750,-674,2505
165,14952,-395,3025
166,16288,755,3815
167,18262,2480,4692
168,19440,3104,5242
169,20492,3226,6079
170,21004,3322,6242
171,21222,2736,6049
172,20408,3051,6062
173,19988,2493,5961
174,19950,2198,5796
175,19550,2149,5972
176,19490,2249,5868
177,19402,2503,6184
178,19480,2103,5896
179,20336,1608,6131
180,20412,1138,6153
181,20818,986,5903
182,20698,566,6110
183,20036,-134,5839
184,19734,-806,6491
185,19292,-522,6205
186,19276,-458,6773
187,19646,352,7448
188,20000,132,7638
189,20792,-294,7799
190,20874,-431,8209
191,21014,-402,8795
192,20930,97,9070
193,21546,16,9235
194,22034,307,9948
195,22818,1360,10033
196,21772,3260,10194
197,18848,3754,9439
198,15344,3148,7554
199,11990,1478,4275
200,8352,-386,1308
201,5366,-1800,-1044
202,3332,-2267,-3015
