Index,Gx,Gy,Gz
0,150,-143,120
1,152,123,115
2,150,133,119
3,154,385,-137
4,158,379,109
5,146,109,-136
6,144,-145,116
7,-94,-151,118
8,164,113,-118
9,152,129,139
10,-374,116,416
11,144,-141,-118
12,158,109,-136
13,-92,103,-150
14,168,91,120
15,-100,99,136
16,-370,112,-120
17,150,99,-140
18,156,113,118
19,-108,381,-137
20,-374,-136,130
21,156,-155,120
22,-96,-147,118
23,164,113,128
24,-102,115,128
25,154,97,-154
26,-370,116,-140
27,-106,101,104
28,162,91,118
29,154,113,-116
30,164,-141,120
31,-108,111,-142
32,-106,-151,120
33,-94,107,-126
34,172,107,-136
35,-102,-147,-130
36,-100,385,-137
37,-96,-147,-152
38,156,97,118
39,-94,107,-122
40,-94,115,122
41,162,117,114
42,164,377,-141
43,-104,-147,-152
44,156,105,114
45,-94,107,-132
46,-80,-149,-114
47,148,97,-106
48,156,-159,-150
49,158,379,135
50,154,111,-124
51,-106,93,-144
52,150,103,-156
53,-102,113,-132
54,-104,117,-134
55,-88,117,134
56,168,379,-117
57,-82,97,-124
58,-86,107,138
59,-98,121,-113
60,-100,-137,-116
61,146,-139,148
62,-116,100,126
63,156,-143,-142
64,-94,101,116
65,-92,113,124
66,154,93,-140
67,-100,103,108
68,-112,-151,120
69,146,103,128
70,146,109,128
71,-106,121,-107
72,146,119,140
73,-110,115,116
74,-112,-151,-118
75,150,-163,-124
76,-94,105,106
77,-84,-147,122
78,-98,-153,132
79,-100,115,-130
80,-94,-145,-148
81,158,123,-127
82,-92,111,-134
83,164,115,-132
84,-88,383,133
85,-110,379,133
86,-102,-151,128
87,-94,-159,-136
88,-86,-149,-118
89,150,97,112
90,-132,-140,114
91,148,119,120
92,166,-147,-158
93,-104,-155,126
94,146,-145,122
95,-94,107,102
96,162,105,-144
97,180,-149,120
98,-98,117,-150
99,-102,111,118
100,-372,100,-124
101,-370,94,-130
102,144,-153,116
103,-106,-143,118
104,-106,113,126
105,-112,99,128
106,-104,105,-128
107,150,-151,-126
108,160,-141,-130
109,-92,-151,-146
110,164,117,-140
111,150,119,-134
112,-94,113,108
113,156,107,-120
114,-92,-151,136
115,-82,-143,-112
116,164,381,129
117,150,123,-153
118,-112,111,120
119,148,103,-120
120,160,-147,132
121,144,-149,138
122,-102,123,131
123,172,381,139
124,-98,107,-116
125,-94,-151,124
126,-112,103,114
127,-116,106,126
128,-96,-139,120
129,-370,-140,-132
130,146,99,102
131,-106,99,130
132,150,-147,128
133,152,-161,-128
134,156,97,112
135,-100,113,126
136,-102,119,164
137,152,115,-116
138,156,103,-134
139,154,-151,-128
140,158,-155,130
141,146,-147,-120
142,158,115,122
143,166,111,130
144,178,-157,126
145,162,-157,-138
146,-84,117,-140
147,156,125,119
148,-114,-142,124
149,164,-153,134
150,150,-147,-150
151,-106,-145,122
152,-106,111,130
153,-102,-145,-134
154,-104,103,138
155,148,99,124
156,-90,-153,134
157,-74,-147,132
158,-90,383,137
159,162,-139,132
160,-108,-151,120
161,-98,125,-131
162,-104,107,-124
163,-104,115,-118
164,164,119,114
165,150,111,-142
166,-104,381,-135
167,144,95,130
168,154,97,116
169,-98,109,106
170,144,-147,120
171,146,-141,150
172,-112,99,-122
173,-96,-155,-128
174,-80,123,135
175,-102,111,410
176,-120,116,132
177,-92,109,120
178,162,109,138
179,154,-149,-124
180,-110,-151,128
181,-114,-148,146
182,-94,105,-142
183,-100,123,-133
184,-90,123,159
185,-92,103,124
186,162,-151,124
187,-96,99,-138
188,164,-145,-110
189,160,115,148
190,-88,125,133
191,166,111,-122
192,174,117,134
193,152,111,124
194,-116,102,-126
195,150,103,124
196,-108,111,-114
197,-106,-149,-138
198,-104,-153,112
199,-112,-139,140
200,-112,381,-123
201,-92,-141,-126
202,-92,105,-128
