Index,Gx,Gy,Gz
0,921,2150,1404
1,731,2273,1942
2,1081,2491,2271
3,1627,1828,2639
4,1891,1873,3099
5,2421,568,3180
6,2327,-307,3045
7,2621,-880,2505
8,2935,-801,2527
9,3423,-135,2596
10,3823,1067,2899
11,5131,710,2774
12,7609,-3093,3599
13,9739,-6212,4476
14,12171,-7200,5395
15,13991,-8056,5268
16,15821,-7440,5395
17,16259,-8000,3848
18,15751,-8722,2145
19,15167,-9213,1381
20,15507,-8181,501
21,17239,-6386,959
22,17433,-4785,847
23,17559,-4464,223
24,16873,-3317,-594
25,15865,-230,-1886
26,13519,3244,-3405
27,10891,4935,-4191
28,9455,4955,-4522
29,9355,4178,-3854
30,9599,1279,-3118
31,11123,-2322,-2002
32,12469,-3970,-1388
33,13789,-3258,-576
34,13043,-2545,-856
35,11541,-2685,-1379
36,9121,-3445,-1182
37,7127,-1727,-1345
38,5475,-239,-1825
39,3251,943,-2697
40,891,933,-4043
41,-2081,88,-5004
42,-6059,153,-4878
43,-8841,1166,-4862
44,-11791,2947,-4533
45,-13815,3599,-3722
46,-14509,3773,-3110
47,-15125,3992,-2206
48,-15751,3414,-1702
49,-16571,2413,-1691
50,-17547,435,-1531
51,-18565,-1985,-1105
52,-19831,-3529,-1255
53,-20349,-4452,-1386
54,-21175,-4021,-1041
55,-22511,-3531,-1400
56,-23533,-2465,-1457
57,-23897,-2287,-1919
58,-23319,-2519,-1938
59,-21797,-1998,-1817
60,-20169,312,-2413
61,-18953,2652,-3165
62,-18265,3968,-4532
63,-17891,3127,-4530
64,-17273,1504,-4147
65,-17439,-781,-4957
66,-18221,-1606,-6055
67,-18775,-2000,-6758
68,-17615,-382,-6139
69,-16321,-219,-4046
70,-14171,-61,-1882
71,-11621,1986,257
72,-9715,5221,1161
73,-8045,7951,1881
74,-7123,8529,1538
75,-6319,7482,1235
76,-6727,5321,870
77,-7021,4304,355
78,-6741,2886,877
79,-6271,363,1414
80,-4959,-920,1646
81,-3185,106,2194
82,-2045,1732,2832
83,-873,1942,2944
84,673,208,2587
85,3049,-1880,3119
86,5211,-3050,3211
87,8021,-3774,3761
88,10189,-4397,4414
89,12287,-4119,4518
90,14141,-4976,4415
91,15325,-6174,3679
92,16093,-6856,2497
93,16823,-5547,1029
94,17235,-2082,515
95,17177,358,54
96,17399,1510,518
97,17451,771,885
98,18151,-1091,1274
99,18659,-3209,1950
100,19733,-4238,2221
101,20293,-5333,3365
102,21525,-6710,4386
103,23455,-8135,6009
104,25619,-8405,6660
105,28047,-6619,6775
106,29541,-4792,6135
107,27901,-5480,3300
108,23635,-6840,-557
109,20197,-3607,-2389
110,18431,64,-1884
111,16439,879,-491
112,16469,-2217,665
113,17495,-6415,1374
114,18701,-7525,-162
115,17509,-6363,-3331
116,15271,-4474,-6535
117,12603,-2928,-6976
118,10397,-2419,-5489
119,10873,-2734,-3506
120,13231,-2419,-1532
121,16655,-1150,-91
122,18567,-1137,361
123,18433,-1643,-2186
124,15353,-1162,-6665
125,10809,2514,-9066
126,6959,6422,-8589
127,2701,6294,-5836
128,-147,5024,-2870
129,-2809,3645,-409
130,-4881,3111,1124
131,-5853,3103,1681
132,-6775,2243,1792
133,-8019,2573,1561
134,-9005,2317,1635
135,-9799,2631,1891
136,-11353,3495,2286
137,-14195,3757,2016
138,-17753,3899,2138
139,-21211,3569,2613
140,-24071,3597,3453
141,-26059,4383,3228
142,-26849,6515,2858
143,-27383,8321,1569
144,-27501,8395,201
145,-26327,5720,-460
146,-25959,2863,-1218
147,-24727,321,-1594
148,-23995,-584,-2309
149,-24025,-689,-3996
150,-23615,-1538,-4848
151,-23871,-2379,-6496
152,-22987,-583,-6496
153,-21169,2882,-6242
154,-19889,6170,-6196
155,-18873,6224,-6190
156,-18389,4777,-6377
157,-17219,3540,-6340
158,-16659,3588,-5657
159,-16539,2397,-4851
160,-16525,-1072,-3817
161,-17239,-3833,-3499
162,-17115,-2989,-3491
163,-17643,-261,-4409
164,-17437,3946,-5524
165,-16493,9080,-5647
166,-15287,11766,-4061
167,-13971,11267,-2385
168,-13105,8627,-318
169,-11457,6536,1876
170,-10379,5369,3072
171,-8751,4199,3402
172,-6697,2593,2202
173,-5445,467,2347
174,-4235,-1014,2012
175,-4475,-141,1865
176,-4503,575,1603
177,-3959,1332,1363
178,-3261,1103,1522
179,-2639,391,1397
180,-1613,-1632,1096
181,-761,-2110,1185
182,-323,-2994,1074
183,305,-2898,56
184,305,-2473,-394
185,947,-2373,-388
186,2399,-2581,25
187,4323,-3635,387
188,6717,-4638,924
189,8091,-5069,1489
190,8875,-5516,1118
191,9565,-4795,654
192,9729,-3827,-5
193,9983,-2461,-318
194,11057,-162,-417
195,11813,946,28
196,13233,1723,902
197,14899,2096,1898
198,16641,2069,2297
199,18395,64,2747
200,19239,-2899,2582
201,19625,-5297,2564
202,20259,-6805,1671
