Index,Gx,Gy,Gz
0,-1810,-13713,-387
1,-2092,-16332,-289
2,-2332,-19776,-365
3,-3422,-22155,-809
4,-3372,-23826,-1501
5,-4004,-24365,-2314
6,-3540,-23608,-2314
7,-2734,-23340,-1402
8,-2594,-23217,-247
9,-1770,-24350,728
10,-1936,-25326,1676
11,-1954,-25281,2451
12,-1470,-24357,2633
13,-180,-23200,1699
14,764,-22520,1550
15,1120,-22091,739
16,2252,-22886,877
17,2014,-24306,1472
18,1326,-25475,1967
19,94,-26891,2139
20,-934,-27735,1800
21,-1520,-27066,1677
22,-1762,-25731,1851
23,-1592,-24987,2147
24,-438,-24878,2514
25,436,-24719,2964
26,1868,-24980,3121
27,1688,-24993,2945
28,1532,-25429,2784
29,1804,-24290,3335
30,1912,-22854,3745
31,2288,-21677,4040
32,3240,-20782,4540
33,3562,-20080,4807
34,3938,-20739,5437
35,4032,-21230,5517
36,3714,-21203,5170
37,3834,-19722,3830
38,2536,-16708,2843
39,2220,-13642,2399
40,1832,-11090,2549
41,968,-9080,2135
42,-18,-7361,2077
43,-128,-5826,1410
44,-572,-4034,888
45,-272,-3197,626
46,-38,-3040,308
47,-136,-2713,317
48,276,-2304,227
49,186,-154,423
50,-292,2491,25
51,-858,5655,-435
52,-1894,8781,-1394
53,-2266,11565,-1768
54,-2558,14102,-2516
55,-2304,16274,-3100
56,-2384,17505,-2946
57,-2152,18187,-2842
58,-1646,19900,-2313
59,-1978,21101,-1281
60,-1232,22504,-870
61,-1072,23354,-1013
62,-538,24099,-1531
63,400,24451,-2387
64,1270,24200,-2811
65,1098,24169,-2580
66,1736,25130,-2656
67,1786,26032,-2588
68,1812,26825,-2661
69,2064,27297,-2381
70,2688,27353,-2243
71,3774,26726,-1514
72,3908,27091,-1737
73,4364,26928,-1865
74,4060,26261,-1382
75,4500,25351,-1337
76,4362,24009,-1755
77,4020,22162,-1421
78,3848,20752,-1884
79,3298,20057,-2278
80,3448,18770,-2869
81,3122,17994,-3414
82,2478,17923,-3408
83,2056,17915,-3009
84,1972,16749,-2758
85,2086,16260,-2780
86,1620,16427,-2931
87,1784,16173,-2879
88,1786,16593,-2825
89,1624,17484,-2468
90,1838,17288,-2816
91,1506,15697,-2641
92,1786,13545,-2610
93,1518,12382,-2838
94,1076,11108,-1998
95,590,10644,-2378
96,276,12167,-2059
97,716,12962,-2074
98,1106,13746,-2041
99,1808,12965,-2812
100,2344,12103,-2682
101,2858,11274,-2792
102,2440,9841,-2538
103,1646,8535,-2730
104,1254,6955,-2440
105,626,5674,-2909
106,-738,4189,-2124
107,-338,1904,-1905
108,-152,-627,-1567
109,-970,-2509,-1492
110,-1410,-4364,-1113
111,-2130,-6481,-1135
112,-2532,-8095,-941
113,-2306,-9704,-567
114,-2878,-12023,-492
115,-3168,-13555,-89
116,-3428,-14996,545
117,-3318,-16858,563
118,-3638,-18929,571
119,-3140,-20979,601
120,-2638,-23071,746
121,-1810,-24190,913
122,-1694,-24888,973
123,-2068,-24255,889
124,-1626,-23312,1539
125,-1218,-22585,1281
126,-490,-22994,1679
127,274,-24181,2635
128,610,-25877,2743
129,938,-26769,2874
130,1350,-26845,3408
131,1370,-25839,3497
132,994,-25451,3538
133,1266,-24902,3342
134,674,-24082,3410
135,702,-24346,3669
136,514,-25068,4198
137,576,-26089,4250
138,1048,-27389,4911
139,1776,-28883,5322
140,2146,-30368,5288
141,2442,-31146,4995
142,1720,-30252,5585
143,1086,-28386,6029
144,1116,-27409,6264
145,2368,-27134,6528
146,3134,-27540,7073
147,4272,-27110,6972
148,4638,-25905,7023
149,5600,-23374,5877
150,5872,-18762,4794
151,4648,-12695,3540
152,3846,-7204,2635
153,1674,-4935,1841
154,208,-4165,1788
155,-1432,-4125,1355
156,-1750,-5132,1194
157,-2488,-5873,1340
158,-1740,-5562,1524
159,-1532,-4786,1055
160,-990,-3338,669
161,-980,-779,217
162,-758,2807,-352
163,-806,6925,-61
164,-802,10173,-512
165,-1046,13309,-793
166,-862,15980,-963
167,-810,18784,-1663
168,-1498,20663,-2105
169,-1184,21231,-2162
170,-1038,22397,-2859
171,-166,23469,-2743
172,450,25000,-2465
173,1308,26686,-2845
174,1604,28220,-3064
175,2192,29612,-2992
176,2590,30189,-3432
177,3754,30089,-3637
178,4146,28926,-4267
179,4308,27700,-4014
180,3596,26627,-4399
181,3672,24729,-3998
182,4110,23997,-4079
183,4788,23381,-4000
184,5076,23800,-3744
185,5212,24116,-3444
186,4988,23873,-3433
187,4880,23250,-2878
188,4142,22695,-2483
189,4160,21326,-2651
190,3914,19639,-3424
191,3578,18449,-3034
192,3518,17307,-2979
193,3194,16117,-2975
194,3042,16012,-3348
195,2580,16643,-2696
196,2712,17180,-1942
197,2194,17129,-1690
198,1822,16539,-1854
199,1168,15186,-1873
200,638,12958,-2132
201,398,11209,-2954
202,696,9998,-3049
