Index,Gx,Gy,Gz
0,3873,-2015,-93
1,4973,-2438,-164
2,5265,-3475,-75
3,6591,-3779,-290
4,7645,-3403,-359
5,8547,-3264,-287
6,8299,-2825,95
7,8353,-2265,105
8,8411,-1801,232
9,8891,-1980,292
10,9243,-3297,-363
11,9785,-3744,-787
12,9947,-3239,-850
13,10481,-2418,-1602
14,10587,-2591,-1423
15,10335,-2821,-1890
16,10643,-2691,-2665
17,10735,-1477,-2549
18,10865,-654,-2240
19,11205,-56,-2690
20,10831,-524,-3065
21,10599,-1259,-3191
22,10363,-1153,-3216
23,11263,-706,-2966
24,11479,-142,-2345
25,11433,895,-2660
26,11377,1597,-2480
27,11215,1403,-2358
28,10745,1605,-2451
29,9935,2265,-2502
30,9407,2920,-1744
31,8475,3197,-1505
32,7741,3439,-1266
33,6497,3332,-727
34,3769,3163,-1029
35,2061,1812,-1145
36,-121,1052,-1015
37,-2005,546,-1047
38,-3677,-147,-835
39,-4781,-772,-1147
40,-6913,-1015,-1590
41,-7807,-1846,-1529
42,-8925,-1614,-1529
43,-9421,-1025,-1711
44,-9859,-746,-1517
45,-11543,529,-1174
46,-12641,989,-506
47,-12987,770,-66
48,-13497,1044,410
49,-14107,947,1048
50,-14221,859,1899
51,-13987,1136,2691
52,-14321,1149,3183
53,-14077,1488,3240
54,-13387,1350,2942
55,-12843,1450,2829
56,-13051,2153,2401
57,-12789,2704,2450
58,-13311,2252,2515
59,-14297,1999,2497
60,-15111,1665,2340
61,-14951,1505,2079
62,-14519,2490,2404
63,-14511,2435,2913
64,-14255,2218,2723
65,-14041,1471,2248
66,-13247,785,589
67,-12263,2104,-599
68,-12865,3307,-1266
69,-14029,2841,-1979
70,-15037,1828,-1120
71,-15361,1674,-508
72,-15579,1975,142
73,-14771,1924,139
74,-13829,1526,602
75,-13143,175,884
76,-10715,-1865,1299
77,-8467,-2927,1330
78,-6841,-2988,10
79,-7221,-2325,-1113
80,-7279,-722,-2601
81,-7791,836,-2846
82,-8103,726,-3097
83,-8001,-354,-1889
84,-7687,-1858,-1106
85,-8121,-2579,-288
86,-8041,-3425,-5
87,-7161,-3056,308
88,-6355,-2381,-91
89,-4865,-1636,677
90,-3685,-929,341
91,-3141,-760,742
92,-3591,356,-34
93,-4289,2412,135
94,-5411,3857,400
95,-5849,2877,962
96,-5367,840,1302
97,-4155,-791,568
98,-2225,-1898,287
99,-795,-2755,-164
100,1137,-3162,-122
101,2265,-3018,147
102,2721,-2229,-598
103,3883,-1180,-1049
104,5597,516,-1234
105,6735,1077,-2179
106,7833,1011,-2317
107,7955,-95,-2614
108,7999,-1694,-2963
109,7429,-1898,-3442
110,7663,-2769,-4479
111,8291,-3051,-4906
112,9837,-4872,-5033
113,10971,-4748,-4932
114,11639,-3256,-4405
115,11279,-499,-3871
116,11169,1498,-3401
117,10597,2144,-2367
118,9769,1539,-1930
119,9455,-254,-1132
120,9737,-1513,-536
121,10471,-3081,-349
122,12109,-3519,-266
123,13191,-2833,-754
124,13639,-712,-1530
125,12991,1248,-1292
126,11989,1916,-983
127,10837,2734,-562
128,9973,2284,185
129,9119,2137,-339
130,9713,960,-929
131,10671,113,-1148
132,12249,-705,-730
133,13957,4,-436
134,15201,832,790
135,14517,2125,873
136,13615,2610,1191
137,10921,1273,831
138,8843,-347,-420
139,7873,-2602,-1377
140,7425,-3872,-1807
141,7391,-3703,-1778
142,8479,-3328,-1589
143,9625,-1761,-1394
144,10487,-151,-961
145,11435,1458,-361
146,11735,2452,288
147,11307,1844,-41
148,10527,1138,-273
149,9877,51,-1206
150,10155,-1071,-1652
151,10315,-2131,-1411
152,10947,-1945,-1613
153,12083,-1836,-1059
154,12235,-1129,-1173
155,12629,550,-748
156,11993,1509,-393
157,11823,1784,262
158,10991,711,305
159,10457,-313,84
160,9987,-1219,-184
161,9535,-1335,-495
162,9123,-142,-602
163,8503,1008,-597
164,7375,1286,-446
165,6821,576,-452
166,6411,-1223,-196
167,6573,-2107,-450
168,6569,-2382,-448
169,5735,-2633,-645
170,5395,-2153,-543
171,5281,-1444,187
172,5049,-799,14
173,5275,116,610
174,6023,-82,775
175,5763,310,836
176,5003,569,964
177,3901,-152,1049
178,1899,-387,839
179,-37,-1117,355
180,-1819,-1014,783
181,-3507,-1156,515
182,-5017,-864,623
183,-5785,-862,123
184,-6617,-533,-387
185,-6693,-90,-789
186,-7181,936,-964
187,-8263,1469,-1153
188,-9011,1496,-1539
189,-9659,934,-1739
190,-10637,762,-1709
191,-11917,1695,-786
192,-13115,1932,-169
193,-13565,1933,135
194,-12385,2041,60
195,-11371,1505,-487
196,-10967,950,-675
197,-11187,236,-1117
198,-11745,-831,-1284
199,-11849,-1906,-710
200,-12037,-2394,-614
201,-12073,-1791,402
202,-11813,29,1213
