Index,Gx,Gy,Gz
0,-2146,22563,-1621
1,-2448,23308,-2168
2,-2566,24685,-2157
3,-2362,25156,-2765
4,-1784,24806,-2700
5,-1096,25227,-1931
6,-196,25289,-1618
7,-98,26220,-1863
8,386,27018,-2109
9,878,27646,-2020
10,1652,28218,-1950
11,1924,28438,-2094
12,2686,29173,-2192
13,2666,29242,-1809
14,2464,28106,-1101
15,2628,26351,-1631
16,2316,25260,-2016
17,2004,25649,-2930
18,1974,26317,-2670
19,2318,27427,-2591
20,2382,27577,-2637
21,2328,26579,-2579
22,1696,24220,-2760
23,1280,22847,-2935
24,634,22921,-2701
25,288,22841,-1996
26,296,22143,-1627
27,-122,19904,-1430
28,28,17317,-1112
29,164,14937,-1427
30,-154,12615,-2313
31,-424,11067,-2109
32,-2182,8953,-1739
33,-1916,5773,-1162
34,-1412,3850,-573
35,-1042,2420,-817
36,-960,988,-210
37,-1230,-794,301
38,-1234,-3125,253
39,-1688,-6369,-229
40,-1814,-9417,-325
41,-2598,-12310,-1153
42,-2506,-15367,-1439
43,-2400,-18679,-1757
44,-3092,-21886,-1493
45,-2738,-25737,-1691
46,-3016,-29249,-1427
47,-2992,-31868,-1528
48,-1806,-32641,-2060
49,-1286,-30671,-2471
50,-1464,-28841,-2536
51,-1258,-27316,-2077
52,-1004,-27812,-2411
53,-422,-29586,-2040
54,-20,-31686,-1850
55,390,-32365,-1095
56,784,-32643,-433
57,664,-32642,-83
58,1192,-32643,383
59,1374,-32642,897
60,1904,-32643,1635
61,2346,-32642,1631
62,2600,-32643,1705
63,2584,-32642,1735
64,3122,-32643,1985
65,3780,-32387,2587
66,4004,-32267,2939
67,4694,-32487,3243
68,5226,-32333,3565
69,4504,-31259,2629
70,3588,-27784,2062
71,3496,-21135,1473
72,3782,-14045,675
73,3322,-7514,687
74,2688,-2413,1095
75,932,124,1110
76,314,331,944
77,-750,976,131
78,-1440,1962,-318
79,-1528,4250,-776
80,-1170,7601,-987
81,-814,10185,-1120
82,-840,13729,-1375
83,-1468,17068,-1911
84,-1522,20138,-1908
85,-1350,23424,-2147
86,-1584,25102,-2281
87,-1160,25101,-2152
88,-834,24444,-2692
89,-624,24987,-2795
90,-948,25652,-2830
91,-654,27279,-2145
92,-588,29136,-2396
93,148,31126,-1871
94,752,31932,-1456
95,1388,32479,-1446
96,1482,32566,-1846
97,1764,32844,-1510
98,1592,32590,-1292
99,2366,32545,-744
100,2474,31977,-411
101,2630,29993,-760
102,2854,28239,-1288
103,2542,26179,-1894
104,2408,25151,-2402
105,1930,25192,-2382
106,2236,25449,-2019
107,1750,26158,-1997
108,1410,25990,-1496
109,1562,25206,-1399
110,1810,24116,-843
111,1654,22783,-425
112,1176,21307,-713
113,588,19779,-628
114,728,18907,-994
115,782,17977,-1453
116,690,17066,-1574
117,1054,17803,-1821
118,1884,17623,-1145
119,2038,16713,-1135
120,1614,14516,-584
121,1334,12101,-536
122,-658,9724,-68
123,-2668,6940,649
124,-2656,4574,1377
125,-1788,1533,1426
126,-1556,-845,870
127,-1418,-2588,914
128,-1028,-4427,775
129,-350,-5307,613
130,-246,-5201,211
131,-518,-5537,73
132,-308,-6863,-547
133,-720,-8664,-1202
134,-1444,-11628,-1441
135,-1904,-16010,-2200
136,-2736,-20146,-2101
137,-3558,-24055,-1564
138,-4014,-26755,-1093
139,-3886,-29182,-1005
140,-3366,-31570,-423
141,-2370,-32579,-291
142,-1432,-32643,29
143,-948,-32642,235
144,-82,-32642,509
145,710,-32642,143
146,566,-32642,85
147,806,-32643,-151
148,292,-32643,633
149,-370,-32642,1137
150,-248,-32643,1177
151,-264,-32643,1899
152,-278,-32642,2587
153,640,-32643,3007
154,990,-32642,2937
155,2252,-32643,3027
156,2750,-32643,2871
157,2884,-32642,3161
158,2942,-32642,3249
159,3324,-32386,3345
160,3596,-32354,3636
161,4228,-30297,2837
162,3602,-27127,2176
163,3326,-23175,1356
164,2748,-18299,887
165,1418,-13871,1056
166,-22,-9394,443
167,-326,-4597,355
168,-934,-1161,244
169,-688,1763,628
170,-830,3838,507
171,-642,5149,439
172,-228,6099,-81
173,-418,6847,-116
174,-498,9131,-231
175,-1070,10882,-130
176,-1554,14028,-136
177,-1786,18416,-215
178,-1996,22081,-355
179,-1846,25164,-721
180,-1638,27460,-755
181,-810,28994,-1193
182,-496,29716,-1158
183,-98,30014,-1470
184,400,30941,-1892
185,744,32746,-1609
186,1138,32588,-1692
187,1676,32589,-1164
188,1568,32589,-826
189,1462,32590,-680
190,2120,32589,-458
191,2476,32590,-526
192,2998,32590,-682
193,3606,32839,-430
194,3596,31894,-748
195,3938,30416,-1175
196,3796,29690,-1711
197,3878,28449,-1611
198,3508,27043,-1949
199,3226,24854,-2018
200,2624,24503,-1975
201,1852,24106,-1674
202,1234,24274,-1349
