Index,Gx,Gy,Gz
0,175,146,137
1,-105,152,142
2,-93,408,150
3,-97,132,-119
4,-87,-124,125
5,155,142,137
6,141,138,145
7,-91,420,160
8,-95,146,-99
9,-101,-114,139
10,-87,146,-131
11,159,-108,145
12,-105,-112,157
13,-109,134,-107
14,-105,142,137
15,-107,152,140
16,-91,138,145
17,143,132,145
18,155,-118,149
19,-83,-110,155
20,165,-110,139
21,-97,-108,-99
22,149,-124,155
23,149,134,137
24,-99,-124,145
25,-97,-130,143
26,159,122,123
27,-83,134,-117
28,-117,145,165
29,-125,131,163
30,-111,128,135
31,-93,-116,-107
32,-107,134,-101
33,-377,129,157
34,147,142,139
35,159,134,-127
36,145,-124,153
37,-93,-112,161
38,-95,134,-109
39,-99,-128,-109
40,165,126,-123
41,147,138,155
42,145,-116,155
43,155,-108,155
44,-99,-112,-115
45,-97,134,-109
46,-99,148,-95
47,-113,-114,161
48,169,132,143
49,161,-108,-107
50,-383,135,-119
51,-121,139,-109
52,-109,152,-126
53,157,-118,113
54,-117,-115,-113
55,159,-132,135
56,-105,138,127
57,151,-120,129
58,163,-108,147
59,153,144,-103
60,-113,128,165
61,-91,132,157
62,-107,-122,139
63,-105,132,133
64,161,-112,139
65,149,150,-98
66,-101,144,153
67,-111,134,-119
68,-101,144,-97
69,-107,-122,-109
70,149,128,-103
71,-117,141,-99
72,-117,-119,-109
73,141,136,135
74,-101,150,150
75,-105,140,-109
76,-103,-112,155
77,153,-116,-113
78,-107,-130,-123
79,151,-108,137
80,-93,-122,-103
81,149,132,139
82,-375,-127,-115
83,155,132,-119
84,151,-114,-107
85,-113,406,160
86,159,138,-91
87,167,-126,-113
88,145,-112,-121
89,-99,138,-109
90,157,132,145
91,161,150,164
92,143,138,139
93,145,134,143
94,157,124,123
95,157,-114,125
96,151,-120,-133
97,181,140,-103
98,151,-114,131
99,-95,130,-145
100,161,-120,-129
101,149,142,-125
102,155,130,141
103,-89,-110,-105
104,-115,134,-107
105,165,142,-101
106,-103,-110,-103
107,-87,-114,-107
108,151,126,-123
109,165,-128,-121
110,-93,148,-123
111,183,140,-117
112,-97,146,155
113,159,152,-108
114,147,-108,129
115,-97,136,-129
116,163,-118,-127
117,-95,136,149
118,-101,-118,-103
119,-105,-122,-105
120,151,146,-101
121,-99,138,147
122,-109,-114,161
123,155,146,161
124,149,-122,-105
125,151,158,-98
126,-97,142,-111
127,-89,-112,-105
128,159,-114,-119
129,159,138,-111
130,153,128,147
131,149,142,159
132,145,134,151
133,-105,-116,-101
134,-95,148,151
135,-101,-118,-109
136,-85,-116,-111
137,-87,-114,-105
138,-103,128,-115
139,-101,116,133
140,-89,-126,-115
141,-85,-108,-109
142,163,138,-95
143,-113,-122,169
144,-125,137,157
145,155,-116,-107
146,163,412,158
147,159,414,-88
148,-93,144,139
149,-91,406,-108
150,153,412,-114
151,159,150,-130
152,-97,406,-132
153,157,138,143
154,153,154,-110
155,-87,148,123
156,159,142,-99
157,159,412,146
158,153,416,146
159,-113,128,-111
160,-375,-135,-121
161,-95,144,-115
162,-99,142,127
163,167,138,-111
164,145,-114,125
165,151,152,138
166,165,418,154
167,-113,414,142
168,-103,148,-121
169,-93,144,147
170,-103,-120,-101
171,153,-120,-111
172,159,-120,139
173,-85,138,-95
174,149,-112,171
175,157,-110,139
176,149,-112,-117
177,-117,135,-113
178,145,-132,-123
179,-373,-121,-115
180,-95,148,147
181,157,138,141
182,-103,148,137
183,161,412,-106
184,157,-128,-103
185,-103,-118,-107
186,-375,-117,-103
187,147,136,-129
188,169,150,138
189,-95,-114,-111
190,-89,-110,163
191,171,150,126
192,-373,-107,-115
193,155,-122,-105
194,-95,-120,131
195,159,144,-117
196,-99,406,138
197,151,-110,-123
198,-115,-130,-127
199,-109,-134,-111
200,171,-116,127
201,-85,142,-115
202,153,-118,153
