Index,Gx,Gy,Gz
0,1994,275,923
1,2012,162,1167
2,2096,406,1114
3,2154,765,488
4,1868,560,450
5,1958,713,627
6,1414,1346,731
7,502,1604,696
8,-276,2250,556
9,-1942,2892,221
10,-3312,1896,-416
11,-5014,288,-1564
12,-5750,-1152,-2202
13,-6642,-2042,-2464
14,-6710,-1867,-2309
15,-6796,-1111,-1801
16,-7326,-297,-2101
17,-7928,907,-1634
18,-9148,1804,-1363
19,-10098,2004,-1453
20,-11030,1972,-2092
21,-12442,2908,-2035
22,-14088,3896,-2265
23,-15840,4194,-2151
24,-16546,3698,-1601
25,-16454,3011,-678
26,-16210,2581,372
27,-15262,3059,738
28,-14330,4018,758
29,-13124,4071,562
30,-13456,3698,174
31,-14158,2921,-360
32,-15204,1739,-1162
33,-16436,968,-1960
34,-16684,-594,-3070
35,-16950,-2194,-3080
36,-16394,-2877,-2265
37,-15584,-3028,-938
38,-14334,-1796,-662
39,-12358,-492,-34
40,-10796,1475,-78
41,-10142,2680,-74
42,-9864,3913,-35
43,-10768,4105,-245
44,-11732,4403,-1412
45,-12744,3890,-2306
46,-12750,2523,-2651
47,-12436,222,-2486
48,-11808,-1358,-1864
49,-10570,-1094,-1707
50,-9124,-495,-1118
51,-8094,1155,-732
52,-7602,2892,-497
53,-7686,3068,-472
54,-7936,3535,-1671
55,-9190,2472,-1978
56,-8890,1331,-2618
57,-8424,473,-2706
58,-8060,494,-2437
59,-7018,522,-2418
60,-5764,559,-2214
61,-5764,1304,-1306
62,-5992,2292,-1375
63,-5440,2527,-1686
64,-5570,2333,-1668
65,-5614,1804,-1813
66,-5052,667,-2259
67,-3906,317,-1827
68,-3122,-80,-1648
69,-1580,379,-1059
70,-930,542,-457
71,-128,816,-158
72,410,588,459
73,1066,329,605
74,1638,-412,601
75,2730,-949,570
76,3940,-815,769
77,4710,-1011,723
78,5790,-1311,463
79,6616,-1802,522
80,7988,-2664,540
81,9426,-3679,555
82,10666,-5301,748
83,11692,-6328,470
84,12856,-6489,681
85,13498,-5596,383
86,14242,-4576,196
87,14698,-3329,-298
88,14426,-2703,-1224
89,13926,-2236,-1449
90,14078,-3037,-1684
91,13448,-3533,-1557
92,13528,-4361,-1559
93,13448,-5433,-863
94,13996,-5457,-1249
95,14446,-4318,-826
96,15198,-2589,-428
97,14620,-154,-91
98,14564,1343,41
99,13796,2289,-120
100,13722,3202,133
101,13324,3100,680
102,13748,2629,349
103,13244,1830,773
104,13284,978,1087
105,14090,962,531
106,13982,1602,1163
107,13572,2859,1204
108,12024,3281,1730
109,10352,2631,1627
110,9590,204,534
111,9350,-1681,-229
112,9512,-4100,-836
113,10150,-5412,-1566
114,10724,-5312,-1485
115,11738,-4347,-1634
116,12156,-1567,-508
117,11624,1525,541
118,10516,3535,867
119,8854,3133,985
120,7754,1339,1058
121,7294,-1191,382
122,7474,-2799,579
123,7230,-3507,337
124,7172,-2820,329
125,8012,-1619,1009
126,7928,-868,1790
127,8120,297,1669
128,7594,-452,1370
129,7086,-1406,884
130,6696,-2453,359
131,6452,-3284,-32
132,6384,-3657,38
133,6456,-3798,28
134,7470,-3737,188
135,7814,-3444,92
136,8748,-1843,57
137,9248,-85,250
138,9442,1402,316
139,8994,2252,353
140,7708,2416,833
141,6634,1349,916
142,5086,858,1216
143,4370,1339,1129
144,2976,1453,1044
145,1266,1823,945
146,-934,1444,894
147,-2142,1500,423
148,-3350,1261,-237
149,-4834,689,-1227
150,-6680,166,-1558
151,-7536,-13,-1812
152,-8500,0,-2519
153,-9656,-116,-2730
154,-10266,93,-2493
155,-11222,932,-2605
156,-11430,1634,-2285
157,-11804,2337,-2072
158,-12256,2933,-1909
159,-12420,2597,-2450
160,-13296,2572,-2711
161,-13570,1994,-1839
162,-13548,1195,-1503
163,-13542,1203,-1031
164,-13708,1833,-1073
165,-13532,2419,-1161
166,-14380,2514,-1084
167,-14888,2936,-911
168,-15088,3144,-497
169,-15050,3475,90
170,-15100,3277,277
171,-15512,2616,73
172,-15558,1545,-1035
173,-16220,516,-1543
174,-15962,-38,-2163
175,-15448,-953,-2695
176,-15090,-1693,-2184
177,-14936,-2530,-1372
178,-14810,-2370,-1175
179,-13904,-2495,-1096
180,-13642,-1659,-551
181,-13304,-1367,-624
182,-13272,-495,-662
183,-13648,428,-1002
184,-13028,982,-916
185,-12388,1150,-1664
186,-11720,2009,-2230
187,-10910,2177,-2032
188,-10738,2551,-1607
189,-10500,2176,-1056
190,-10578,2022,-859
191,-9872,1856,-689
192,-9078,1367,-334
193,-8220,1149,-662
194,-7722,1628,-1075
195,-7076,1512,-990
196,-6628,1634,-1079
197,-6214,1782,-1277
198,-5880,1535,-1732
199,-5778,1755,-1728
200,-6114,1684,-1264
201,-5536,1979,-1199
202,-5084,880,-1344
