Index,Gx,Gy,Gz
0,-5517,1810,5175
1,-4581,852,5236
2,-3961,-746,4654
3,-5007,-1806,3986
4,-7197,-1180,4115
5,-9073,85,4348
6,-10369,1563,4997
7,-9865,1846,5818
8,-8283,1738,6169
9,-5867,143,5575
10,-3759,-732,4054
11,-4107,131,1800
12,-4751,1040,697
13,-5609,535,-52
14,-5085,489,3
15,-3595,-153,-196
16,-1839,367,-8
17,-939,1583,211
18,667,1367,623
19,2879,596,474
20,5315,-602,-603
21,7835,-1825,-1279
22,10797,-2283,-2859
23,14689,-2182,-4155
24,17949,-1996,-5662
25,20231,-451,-6953
26,20999,977,-7584
27,20913,2181,-8139
28,20027,2725,-7756
29,18401,3191,-6596
30,16259,3239,-4747
31,14397,2098,-2616
32,12615,443,-882
33,12397,-1326,-9
34,12895,-2327,370
35,14475,-2224,470
36,15327,-1430,-396
37,15791,-572,-1771
38,15291,-95,-2825
39,15103,-224,-2901
40,14311,-832,-2930
41,14451,-924,-2904
42,14445,-1047,-2606
43,14721,-1092,-2514
44,14943,-917,-2807
45,14811,-1357,-2754
46,15119,-783,-3257
47,14879,100,-3375
48,14391,422,-3172
49,13753,553,-3194
50,14627,-312,-3247
51,15685,-1159,-3127
52,17333,-1381,-3421
53,19207,554,-4385
54,18929,2556,-4685
55,17437,3573,-3964
56,15741,3303,-3516
57,14371,2623,-2470
58,14231,1542,-2117
59,15021,361,-1927
60,16567,520,-1886
61,16767,1561,-2064
62,16259,2319,-2776
63,15099,3060,-2804
64,13135,1923,-1994
65,12647,398,-1833
66,13203,-1753,-1986
67,15673,-2651,-2498
68,18199,-1775,-3243
69,19669,640,-4344
70,18417,3690,-4446
71,15239,5318,-4236
72,10935,5967,-3173
73,7023,4333,-1463
74,5133,1938,-925
75,4001,-389,-379
76,4167,-1395,-343
77,5351,-1625,-418
78,5873,-945,-878
79,5439,-300,-1191
80,2951,-99,-352
81,247,-45,2
82,-3327,436,420
83,-8321,1570,1470
84,-13769,2625,1350
85,-18587,2708,1923
86,-22875,1647,2566
87,-25253,26,2830
88,-26137,-2051,3564
89,-23449,-4562,3685
90,-19663,-7324,4072
91,-16043,-7253,3308
92,-13297,-5206,3030
93,-12729,-1867,2707
94,-13593,1680,1815
95,-17425,4495,1921
96,-21563,4986,2456
97,-25599,3870,3373
98,-27871,1355,4177
99,-27477,-1589,3958
100,-24289,-4138,3838
101,-20563,-5315,3354
102,-16403,-3684,3134
103,-14249,-1220,2100
104,-14707,1385,1704
105,-17231,3786,2103
106,-21485,5230,2571
107,-24797,4506,2805
108,-26401,1936,3555
109,-25441,-1839,3472
110,-22105,-4405,3844
111,-17463,-4144,3301
112,-14043,-2287,3097
113,-12737,466,2024
114,-13213,2688,1093
115,-15409,3776,517
116,-17267,3840,999
117,-19007,2920,1668
118,-19879,2264,2289
119,-20407,1006,2936
120,-20395,-750,3879
121,-19537,-1989,4335
122,-16647,-1704,3934
123,-15463,426,2852
124,-14663,622,2712
125,-14967,520,1909
126,-15405,125,2346
127,-15253,785,2863
128,-14997,1218,3697
129,-14441,841,4094
130,-12911,123,4212
131,-10691,-678,3710
132,-9257,-923,2838
133,-8007,-1208,2586
134,-8251,-856,1784
135,-8475,-197,1502
136,-8681,907,1486
137,-7825,1646,1669
138,-6465,1338,2016
139,-5655,1703,1561
140,-4117,1946,1015
141,-2969,1411,208
142,-1527,916,-361
143,297,431,-1261
144,2327,589,-1772
145,4429,679,-1782
146,6397,887,-1623
147,8063,-59,-1314
148,10915,-1200,-1611
149,13373,-2861,-2058
150,16781,-3120,-3677
151,19709,-3262,-4836
152,21227,-2055,-6266
153,22047,-1360,-7031
154,22265,-1362,-7606
155,21703,-1032,-7230
156,20511,-1179,-6124
157,19881,-1303,-5338
158,19615,-1817,-4500
159,19453,-2154,-4268
160,19853,-2760,-3543
161,20891,-3392,-3884
162,22625,-3032,-4336
163,23445,-2402,-4637
164,23637,-1564,-5772
165,23013,-866,-6374
166,21965,-698,-6254
167,21113,-1143,-5676
168,20563,-1621,-5215
169,20735,-2221,-4934
170,20155,-1157,-4223
171,19175,-1489,-3922
172,17963,-1635,-3793
173,18169,-2587,-3951
174,18837,-3469,-4435
175,20655,-3003,-5339
176,22827,-2550,-5773
177,24153,-2570,-6774
178,24741,-1482,-7140
179,23203,203,-7404
180,21055,1324,-6766
181,19211,1620,-5955
182,17619,601,-5417
183,16903,209,-4555
184,17339,251,-4193
185,19677,-1042,-4409
186,22261,-2930,-5085
187,24085,-3006,-5690
188,24425,-1831,-6945
189,22513,-670,-7520
190,18531,2032,-6545
191,13163,3635,-5254
192,8591,4988,-3401
193,4063,5286,-2089
194,741,5096,-986
195,-2107,4167,-315
196,-3493,1870,614
197,-5273,597,1152
198,-6603,-773,1676
199,-7019,-2014,1922
200,-8115,-3979,2224
201,-8713,-4949,2270
202,-9487,-4625,2186
