Index,Gx,Gy,Gz
0,191,74,100
1,-51,80,91
2,197,-200,-162
3,199,-184,-148
4,-61,340,113
5,193,336,-177
6,-61,64,-158
7,-71,68,-138
8,-335,77,-148
9,-85,73,100
10,-75,79,-146
11,-77,59,102
12,-81,-189,-164
13,187,50,-142
14,-57,46,-170
15,195,62,-146
16,219,-182,108
17,197,80,107
18,-335,-181,-150
19,-83,-189,112
20,191,68,98
21,-53,-188,-136
22,199,54,-150
23,-59,72,104
24,201,-180,-178
25,-51,74,112
26,-65,74,100
27,191,70,94
28,-49,80,81
29,203,66,102
30,187,-182,-150
31,-65,74,112
32,-59,-182,-164
33,-79,73,94
34,-67,-188,-154
35,197,80,85
36,189,58,108
37,-75,-197,-136
38,-329,73,94
39,-59,336,-145
40,-65,338,89
41,-71,64,86
42,-51,64,84
43,-65,60,-162
44,191,-196,112
45,-73,-183,-158
46,187,82,113
47,-63,64,84
48,193,64,100
49,-59,-178,-164
50,-57,-178,110
51,195,-186,118
52,-67,60,108
53,-71,-196,-152
54,199,-192,-176
55,201,-184,-146
56,-57,340,93
57,-71,66,96
58,-335,-199,112
59,-77,49,-142
60,-65,68,-142
61,201,-186,-148
62,213,-178,110
63,-51,336,-161
64,-61,-180,-160
65,-73,-179,94
66,-333,87,-135
67,-47,336,91
68,195,-190,-160
69,-329,-191,-140
70,189,58,-132
71,-79,73,-134
72,-75,69,-160
73,185,70,120
74,-331,65,-152
75,205,76,-162
76,197,-182,-170
77,-77,65,-184
78,-67,62,-154
79,-77,-191,104
80,193,-190,-140
81,-77,-195,110
82,-55,78,112
83,-337,-191,-150
84,-93,57,-150
85,207,84,107
86,-63,-196,-150
87,-69,78,118
88,185,336,-149
89,187,336,91
90,-69,70,-144
91,-331,65,-152
92,185,64,102
93,-57,-186,-150
94,-337,-179,132
95,-61,62,92
96,-55,-182,-156
97,-59,-194,-168
98,199,-196,96
99,187,76,-158
100,203,340,105
101,189,76,-148
102,-65,-182,112
103,-329,75,110
104,-349,339,123
105,189,-192,106
106,-73,47,-158
107,185,56,-154
108,207,60,102
109,-55,72,104
110,-67,76,-156
111,-337,71,-162
112,193,78,114
113,187,84,-161
114,-69,62,108
115,-55,-188,-156
116,191,68,118
117,205,-182,102
118,-331,345,-137
119,195,336,121
120,-45,78,88
121,-55,-192,-158
122,-335,-195,114
123,-97,59,104
124,-69,88,105
125,-87,345,115
126,-87,-177,-132
127,-61,-210,128
128,189,-196,-134
129,-337,77,106
130,-65,70,-162
131,205,64,116
132,207,48,-158
133,-69,-182,98
134,-335,67,106
135,185,-202,94
136,-69,-180,-136
137,-71,70,88
138,-59,62,-174
139,-73,75,-142
140,-341,-183,102
141,-69,-196,-144
142,-57,-180,-142
143,-65,-194,-150
144,-69,60,108
145,-65,84,-141
146,203,74,98
147,195,-186,-144
148,-333,-181,-140
149,199,72,108
150,185,62,118
151,-77,-195,112
152,-67,-180,-136
153,187,338,-155
154,191,-186,-146
155,-43,-180,92
156,185,78,88
157,193,-180,98
158,195,62,-144
159,-63,-198,114
160,197,60,-166
161,-85,85,-149
162,-63,84,-131
163,187,-192,-128
164,195,-180,-152
165,-41,78,104
166,-55,-180,-152
167,-71,64,114
168,-59,-198,100
169,-57,62,106
170,-61,-184,110
171,193,72,110
172,-61,82,-157
173,-75,-189,-136
174,-81,-181,96
175,211,-182,-166
176,-63,-184,116
177,185,70,-136
178,-77,61,-160
179,-329,-191,-142
180,185,336,-131
181,209,340,-133
182,-61,70,-158
183,-79,69,-154
184,-79,89,-151
185,-331,77,-146
186,-53,-178,84
187,197,-180,96
188,205,74,-176
189,203,58,100
190,-51,-180,94
191,-53,84,105
192,-65,-180,-152
193,205,340,95
194,207,-182,106
195,-335,-183,-132
196,187,74,116
197,197,338,99
198,-63,346,99
199,189,-180,-140
200,197,68,96
201,201,78,120
202,185,-194,-140
