Index,Gx,Gy,Gz
0,-2052,-8198,-990
1,-2330,-11656,-1277
2,-3198,-16070,-1237
3,-3690,-20688,-746
4,-3726,-24422,-254
5,-3988,-26030,268
6,-3450,-26502,934
7,-3566,-26001,917
8,-3130,-24513,1010
9,-2244,-24160,733
10,-2018,-24450,927
11,-1308,-24727,863
12,-912,-25317,1097
13,-208,-24655,1048
14,8,-24922,1007
15,-72,-25321,769
16,266,-26293,759
17,-122,-27311,859
18,-78,-27978,1311
19,-434,-28161,1877
20,-50,-28218,2679
21,176,-27917,3020
22,318,-27397,3562
23,378,-26640,3401
24,164,-25612,3370
25,-430,-25974,3635
26,-972,-26303,3879
27,-426,-26736,4379
28,208,-27310,4933
29,-10,-26145,5218
30,438,-24780,5238
31,1084,-23363,4782
32,2504,-22845,4857
33,4066,-22300,5217
34,4516,-21378,5625
35,4030,-19942,5787
36,3130,-19114,5399
37,1978,-17079,4319
38,1666,-13398,3788
39,750,-9809,3113
40,114,-6685,2259
41,-80,-4235,2078
42,312,-2856,1149
43,318,-498,385
44,166,2286,300
45,-412,5574,-74
46,-1006,8177,-782
47,-1034,10078,-1833
48,-1272,12819,-2443
49,-1204,15970,-3146
50,-1206,18820,-4061
51,-1196,21159,-4411
52,-1000,23521,-4636
53,-412,24754,-4848
54,-232,26539,-4108
55,-488,27919,-4412
56,-256,29691,-4105
57,300,31268,-4443
58,550,32782,-5458
59,1364,32811,-6461
60,2506,32620,-7193
61,3588,32200,-7762
62,4022,31543,-7218
63,4548,32042,-6868
64,4748,32478,-5783
65,4138,32819,-4735
66,4202,32796,-3591
67,3678,31863,-3412
68,3908,29280,-3550
69,3738,26280,-4359
70,3802,25576,-4596
71,3834,24371,-4482
72,3620,23383,-4550
73,3512,22844,-4304
74,3418,22786,-4179
75,2956,23770,-4381
76,2646,25072,-4773
77,2006,25051,-5421
78,2346,24038,-5160
79,2230,21042,-5144
80,1470,16455,-5345
81,1246,12676,-4331
82,-472,9553,-3457
83,-1298,7482,-2895
84,-2418,6302,-1755
85,-3390,5765,-597
86,-3398,5970,-147
87,-3418,6817,530
88,-2980,7125,578
89,-2520,6427,442
90,-752,4526,319
91,-82,1949,519
92,302,-419,477
93,-552,-2077,1014
94,-1044,-4144,997
95,-1610,-5982,433
96,-1778,-6430,-117
97,-2608,-6025,-84
98,-2428,-6623,-85
99,-2288,-8289,-721
100,-1786,-11430,-707
101,-1902,-15635,-233
102,-1720,-19872,-193
103,-2174,-22542,505
104,-2288,-22855,409
105,-2328,-20957,-73
106,-2342,-19641,-631
107,-2636,-18739,-98
108,-2200,-18950,372
109,-2298,-20816,1491
110,-2302,-22546,2019
111,-2584,-24513,2435
112,-2052,-25851,2852
113,-1592,-26753,2975
114,-838,-27720,2229
115,-774,-28700,2109
116,-1076,-29562,2212
117,-1346,-29855,2782
118,-1948,-29257,3555
119,-2152,-28927,4319
120,-1698,-29438,4621
121,-2168,-30591,4696
122,-2094,-32119,3844
123,-1842,-32401,3838
124,-1758,-32667,3826
125,-1722,-32667,4184
126,-2010,-32668,4626
127,-1858,-32370,5036
128,-1932,-32212,5715
129,-1380,-31774,5331
130,-894,-31792,5316
131,-516,-32198,4730
132,-478,-31655,3758
133,-694,-29439,3295
134,-1294,-24786,2695
135,-2050,-19937,1877
136,-1556,-15989,693
137,-220,-11874,518
138,770,-8584,348
139,1002,-6207,697
140,1504,-4294,1329
141,1198,-1887,1177
142,678,343,711
143,408,2492,294
144,274,3511,-299
145,134,4973,18
146,-72,6072,-87
147,-200,7713,-489
148,-584,9513,-599
149,-610,12768,-492
150,-906,15704,-1104
151,-882,19510,-1888
152,-1126,22634,-2311
153,-654,25413,-2250
154,662,26214,-2125
155,1624,27064,-2335
156,2686,28012,-2131
157,2988,29759,-2244
158,3410,31833,-2612
159,3778,32770,-3201
160,4068,32564,-2953
161,5264,32564,-3691
162,6008,32565,-3937
163,6552,32564,-3837
164,6826,32564,-4293
165,6330,32565,-4243
166,6120,32565,-4229
167,6934,32565,-3907
168,7834,32818,-3551
169,7890,32496,-3696
170,6578,30339,-3765
171,5130,28355,-3863
172,4266,27120,-3802
173,3426,25278,-4260
174,2824,24007,-4319
175,2908,22934,-4114
176,2482,21416,-4349
177,2034,20723,-4771
178,2230,21317,-4360
179,2098,21233,-4256
180,2394,20433,-3837
181,2228,19799,-3790
182,1846,19389,-3145
183,1302,18483,-2632
184,624,16764,-2690
185,-448,14153,-1841
186,-1000,12142,-1126
187,-1324,9394,-1078
188,-1894,7739,-823
189,-2162,6781,-856
190,-1632,6240,-638
191,-1454,5497,-685
192,-692,4882,-710
193,-986,3694,-748
194,-1668,2135,-728
195,-1370,-771,-539
196,-1226,-1659,-844
197,-1650,-2532,98
198,-2138,-3836,26
199,-2214,-4730,-254
200,-2322,-6538,-202
201,-2266,-9108,-505
202,-2624,-11638,-623
