Index,Gx,Gy,Gz
0,2174,369,-994
1,3006,256,-680
2,3702,216,-651
3,4692,-488,-415
4,5966,-1278,-447
5,6980,-2286,-444
6,8018,-2576,-664
7,8950,-3146,-424
8,10396,-3140,-1151
9,11816,-2562,-849
10,13170,-1094,-725
11,13462,402,-470
12,13458,1314,20
13,13574,851,-96
14,13796,-215,311
15,13764,-1278,-495
16,14142,-656,-431
17,13950,240,-549
18,13366,1224,-133
19,13130,1516,343
20,10934,823,597
21,8694,-884,13
22,8172,-2630,142
23,8354,-3916,-136
24,9012,-3232,-220
25,8974,-741,-616
26,7692,2258,-420
27,6236,4505,-509
28,4370,4038,-500
29,2236,2319,-903
30,302,-284,-1198
31,-952,-2061,-934
32,-1200,-3459,-732
33,-1516,-3137,-831
34,-1434,-2721,-752
35,-1360,-1497,-1025
36,-1780,-62,-614
37,-1718,697,-458
38,-2924,2018,-577
39,-3776,2880,-1087
40,-5200,3416,-752
41,-7094,4116,-903
42,-8494,3907,-769
43,-10222,2700,-823
44,-10818,1189,-844
45,-12108,114,-1430
46,-12576,-299,-2029
47,-13264,-905,-2210
48,-14244,-854,-2475
49,-15006,-1000,-2314
50,-16180,-725,-2800
51,-17338,-1353,-2705
52,-18250,-2133,-2072
53,-18796,-2374,-1204
54,-18094,-1075,-622
55,-17794,461,-144
56,-16946,1926,193
57,-15538,2449,193
58,-14620,2075,-697
59,-13874,1664,-1516
60,-14100,1880,-1946
61,-14596,1175,-2384
62,-15730,336,-2143
63,-16352,-1309,-1199
64,-16842,-2357,-168
65,-16584,-2814,1124
66,-15468,-2541,2300
67,-14822,-2381,2806
68,-14066,-1268,3285
69,-12932,-211,3273
70,-12420,-120,2142
71,-11866,133,1158
72,-12326,1560,287
73,-13560,2290,-214
74,-14252,2369,154
75,-14434,1604,-97
76,-14078,561,3
77,-12998,-208,62
78,-11620,-121,233
79,-10924,-6,37
80,-10288,-417,210
81,-10234,-186,-462
82,-9592,-765,-1111
83,-8840,-1350,-855
84,-8426,-1352,-750
85,-8114,-675,-606
86,-7584,-161,-348
87,-6340,-319,-992
88,-5290,-196,-912
89,-4498,304,-1017
90,-3832,402,-1198
91,-2936,441,-887
92,-1760,-135,-863
93,-1010,-704,-869
94,904,-1835,-892
95,2436,-2199,-1106
96,3686,-2523,-401
97,5098,-2196,-369
98,6244,-1932,197
99,8174,-1399,-68
100,8902,-388,244
101,9980,968,-167
102,11194,1378,-605
103,12238,957,-872
104,12758,53,-1284
105,12520,-776,-1619
106,13252,-2057,-2006
107,13286,-3324,-2744
108,13540,-3588,-2706
109,14432,-3447,-2613
110,14586,-2698,-2366
111,14940,-1255,-2073
112,14868,-15,-2059
113,14572,884,-1353
114,14804,898,-836
115,15204,499,-394
116,15670,-167,-1094
117,16042,-153,-803
118,16830,427,-990
119,16036,1946,-614
120,15310,2914,484
121,14748,2241,789
122,14118,121,204
123,13546,-1905,-706
124,13854,-3121,-1514
125,14134,-3308,-2084
126,14174,-637,-1265
127,13200,1720,107
128,11994,2534,636
129,11606,1311,442
130,10382,-744,-15
131,10212,-3280,-361
132,9956,-5194,-1073
133,10340,-6190,-1153
134,11028,-6450,-1258
135,11570,-4316,-906
136,12186,-1629,-356
137,11904,565,99
138,11766,1552,503
139,11816,917,362
140,11724,-45,572
141,10268,-1076,459
142,9858,-1768,177
143,8970,-1142,301
144,8494,-50,334
145,8240,903,1112
146,7302,692,1128
147,6516,92,911
148,5786,-1329,707
149,5580,-2382,625
150,5580,-2800,192
151,5508,-1998,-211
152,5222,-1427,-356
153,5032,-5,-355
154,4392,791,-282
155,3190,2427,-401
156,1994,3389,-492
157,-186,3538,-556
158,-2186,2500,-507
159,-4290,324,-1050
160,-5832,-1275,-1116
161,-7282,-1392,-1538
162,-8144,-26,-1539
163,-8262,1054,-1299
164,-9154,2516,-1541
165,-10166,2768,-1500
166,-11070,3295,-1559
167,-12180,3275,-1647
168,-12928,3025,-2510
169,-14020,2258,-2725
170,-14520,1221,-2533
171,-15766,624,-2170
172,-15594,1097,-1528
173,-15786,2495,-858
174,-15472,3344,-1388
175,-15356,3740,-1606
176,-15518,3333,-1316
177,-15938,2143,-1636
178,-16342,813,-1780
179,-16288,-201,-2295
180,-16136,-575,-2945
181,-16304,-342,-2883
182,-16282,102,-2284
183,-16024,976,-1925
184,-15788,1161,-1483
185,-15212,1657,-369
186,-14372,1936,-555
187,-13810,1418,-613
188,-13096,52,-482
189,-12284,-287,-749
190,-12300,-37,-1095
191,-12670,-47,-584
192,-13286,304,-301
193,-13566,342,173
194,-13184,13,-30
195,-12816,-222,718
196,-12158,-96,381
197,-10692,-270,1099
198,-8932,-286,974
199,-7804,426,1156
200,-7146,779,795
201,-6874,966,734
202,-6646,1383,401
