Index,Gx,Gy,Gz
0,2795,-8687,2651
1,2331,-6843,2142
2,1911,-4531,1199
3,1127,-3577,574
4,717,-1997,480
5,155,15,403
6,-251,1535,-373
7,-1045,3072,-555
8,-1069,4521,-1268
9,-1365,6526,-1704
10,-1359,8545,-1758
11,-1735,10530,-1929
12,-1801,12694,-2126
13,-1887,14648,-1989
14,-2005,15499,-1970
15,-1817,16293,-2429
16,-1769,16131,-2299
17,-1725,16511,-2761
18,-1695,17201,-2524
19,-1897,18751,-2119
20,-1635,20085,-2325
21,-1411,21300,-1743
22,-309,22435,-1718
23,365,23081,-970
24,849,23265,-955
25,593,23042,-1294
26,1289,21775,-1686
27,1431,20609,-1577
28,1337,19521,-1744
29,541,19454,-1919
30,625,19139,-2009
31,525,19476,-2297
32,1193,19494,-2222
33,1563,19850,-1772
34,2401,20392,-1549
35,2589,19664,-1008
36,2711,19368,-1177
37,2727,17614,-1428
38,2149,15665,-1836
39,1579,14415,-2039
40,1403,13757,-1937
41,1093,13345,-2204
42,1157,13077,-1315
43,1343,13169,-825
44,523,13254,-195
45,355,12332,452
46,-385,10670,365
47,-297,7953,70
48,-1063,7718,-673
49,-1021,7880,-786
50,-447,8507,-700
51,391,8935,-127
52,889,8697,477
53,825,7960,1053
54,667,7938,1121
55,-101,8184,725
56,-113,8193,571
57,-481,7913,-448
58,-223,8804,-1185
59,33,9428,-978
60,523,10574,-1483
61,1407,11631,-1097
62,1391,11072,-1113
63,1843,9805,-1386
64,1929,8771,-914
65,1615,7819,-1335
66,1369,6390,-1102
67,1013,5425,-1224
68,465,5068,-1395
69,395,4118,-1331
70,-405,2986,-1047
71,-1083,1050,-722
72,-1327,-1136,-375
73,-1251,-4053,8
74,-1669,-6422,536
75,-2043,-7835,378
76,-2105,-9648,-356
77,-1337,-11502,-767
78,-1389,-13018,-1408
79,-1579,-13600,-1547
80,-1569,-14467,-1977
81,-1623,-15939,-2297
82,-2087,-16966,-1486
83,-2365,-16590,-308
84,-2809,-15472,1310
85,-2955,-15342,2174
86,-2025,-15681,1901
87,-1277,-16390,1294
88,-617,-17387,1033
89,-683,-19243,621
90,-1573,-20700,231
91,-1733,-21844,215
92,-2141,-22896,359
93,-1899,-24095,478
94,-1931,-24141,508
95,-2139,-22526,923
96,-1631,-21184,919
97,-553,-20518,814
98,871,-21334,996
99,1661,-22203,981
100,1821,-23776,244
101,1655,-24825,593
102,1145,-25610,678
103,1387,-26004,1206
104,1497,-25986,1846
105,2257,-25862,2683
106,2729,-25396,2841
107,3255,-24155,2794
108,3223,-22918,2975
109,3891,-22194,3523
110,3895,-21404,3395
111,3617,-20303,3347
112,3345,-19430,3992
113,3147,-19426,4255
114,2985,-19758,3939
115,2477,-18483,3452
116,1503,-16313,3127
117,741,-14314,2627
118,-27,-11984,1481
119,195,-8747,949
120,-107,-6338,651
121,-75,-4495,206
122,-157,-3466,230
123,-197,-3205,214
124,-1113,-3258,610
125,-997,-2073,152
126,-853,-18,-178
127,-911,2866,-586
128,-977,6760,-1173
129,-869,10589,-1089
130,-1685,13588,-1564
131,-1889,17371,-2245
132,-2381,19850,-1877
133,-2265,20054,-2010
134,-2111,19872,-2352
135,-1415,19801,-2351
136,-689,19973,-1847
137,-725,20552,-1011
138,-1089,20629,61
139,-1709,20655,487
140,-3045,21384,205
141,-2713,21795,1026
142,-2255,23040,788
143,-1067,24656,657
144,1181,25735,531
145,2561,26089,366
146,3933,25375,-347
147,3731,24372,-481
148,3523,23574,-1174
149,3097,23128,-1404
150,3243,24029,-1148
151,2619,24306,-1327
152,3227,23595,-1490
153,3201,22533,-1618
154,3395,21884,-2020
155,3147,21444,-2122
156,3231,20964,-2069
157,2895,19802,-1536
158,2737,18823,-508
159,2117,18057,-99
160,1463,18782,-33
161,1395,19766,-459
162,1471,20441,-1246
163,1685,20203,-1147
164,1951,18699,-1054
165,2275,17072,-1206
166,2037,16318,-12
167,2305,17379,-144
168,2125,19243,5
169,2633,19553,-604
170,3299,19014,-911
171,3509,17245,-1185
172,3229,14977,-895
173,2263,12647,-737
174,481,9358,-143
175,-485,6855,-319
176,-1371,5602,73
177,-1749,4436,354
178,-1919,4196,640
179,-1257,5318,1083
180,-337,5743,601
181,213,4221,169
182,-499,605,248
183,-945,-2764,55
184,-945,-5272,-313
185,-1121,-6724,-63
186,-1573,-6138,223
187,-1585,-4970,348
188,-513,-3509,-17
189,293,-4332,-620
190,901,-5651,-1248
191,753,-8317,-1705
192,-371,-12704,-2192
193,-841,-16099,-2041
194,-1809,-18627,-2082
195,-2317,-19691,-2868
196,-2535,-20011,-2996
197,-1845,-20689,-3073
198,-1311,-21351,-3431
199,-1615,-20556,-2722
200,-1319,-19353,-1213
201,-1791,-19298,3
202,-1547,-20279,536
