label,gx_std,gx_range,gx_energy,gx_zcr,gy_std,gy_range,gy_energy,gy_zcr,gz_std,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy,max_energy_ratio,min_energy_ratio
horizontal_shake,1323.3885946382666,6344.0,1769982.2266009853,0.1188118811881188,11367.93712709198,44729.0,129873609.4679803,0.0594059405940594,1193.1080816155209,6845.0,1564449.8078817734,0.12376237623762376,9510.807798974649,23590.18620104555,6538.545443248525,133208041.50246306,0.9749682376763935,0.011744409648518452
vertical_shake,10679.062604380468,32760.0,115554199.77832513,0.01485148514851485,2095.820434808249,10648.0,4419680.167487685,0.13366336633663367,1205.9411759000216,5783.0,1546001.6502463054,0.13861386138613863,10168.852399816355,18412.406822574827,4256.092394063866,121519881.59605911,0.950907771309683,0.012722211624475795
rest,163.69177976430663,552.0,28517.453201970442,0.40594059405940597,144.59892306826032,554.0,24775.48275862069,0.5198019801980198,126.07342861715823,306.0,16074.57142857143,0.5544554455445545,252.5813915051216,425.9319194425325,74.63342451274126,69367.50738916257,0.41110678868685696,0.23173056137638864
vertical_shake,10806.370198386154,37230.0,117817936.37438424,0.034653465346534656,2831.891510945099,12727.0,8020031.093596059,0.0891089108910891,1461.2008974652604,6470.0,3061500.0886699506,0.1188118811881188,10000.998530255072,19032.900987500565,5373.964640234073,128899467.55665025,0.9140296589867932,0.023751068539708643
rest,174.62174691422953,560.0,30843.90147783251,0.47029702970297027,156.4045138657516,554.0,24462.408866995072,0.4752475247524752,128.7588036894192,327.0,18215.689655172413,0.47029702970297027,259.24187593027517,443.87610884119454,79.47106243250953,73522.0,0.41951934764876514,0.24775835335236274
rest,166.03759336551258,566.0,27691.43137254902,0.4433497536945813,167.2762485515761,552.0,27996.56862745098,0.4729064039408867,126.58889691662631,317.0,16332.200980392157,0.43842364532019706,256.3778897069432,523.2991496266739,79.31316819927575,72020.20098039215,0.38873216467520244,0.2267724993552667
horizontal_shake,875.9578687211591,4692.0,784150.9950738916,0.12376237623762376,9701.175943137301,31943.0,94618349.68965517,0.009900990099009901,1211.0443149376688,5460.0,1467236.4532019706,0.04455445544554455,8911.940795885916,16761.599595504005,4176.9664097949535,96869737.13793103,0.9767586088824608,0.008094901650836045
rest,170.27510988307688,560.0,29272.157635467982,0.44554455445544555,154.75381195166818,552.0,24131.45812807882,0.45544554455445546,128.6515644042461,318.0,17003.049261083743,0.46534653465346537,252.8928853771419,496.60547721506254,80.32343089195267,70406.66502463054,0.4157583323287309,0.24149772262520205
vertical_shake,10112.407499905774,35616.0,103143894.67487685,0.01485148514851485,1864.6788104199784,10671.0,3482511.0886699506,0.13861386138613863,1120.1642992514876,5439.0,1368446.6502463054,0.1485148514851485,9519.864189277854,18377.506550128066,4167.377860417533,107994852.4137931,0.9550815837005885,0.012671406272244947
rest,168.55889786308742,570.0,29389.128712871287,0.42786069651741293,170.84478631402604,550.0,30925.01485148515,0.4228855721393035,127.08967363091847,312.0,16294.717821782178,0.572139303482587,262.90792975400046,542.4278753898992,86.53485921063361,76608.86138613861,0.4036741219218882,0.21270016975778339
vertical_shake,10493.048613971607,38500.0,112684128.0591133,0.01485148514851485,1983.535833609489,10751.0,4012651.7290640394,0.0891089108910891,1340.2383936926956,6758.0,1812773.3645320197,0.09900990099009901,9920.32817472453,24401.25537754154,4482.927844442295,118509553.15270936,0.9508442573731629,0.015296432366056696
rest,155.08844768659762,560.0,24052.704433497536,0.45544554455445546,147.01261946423026,547.0,22558.197044334975,0.41089108910891087,131.4452873765021,576.0,17411.1921182266,0.47029702970297027,241.51907229612556,469.82762796583177,75.43627319319262,64022.093596059116,0.37569381259625195,0.2719559942553698
rest,171.73572675399683,566.0,33252.118226600986,0.3613861386138614,152.81620622515592,551.0,24498.09852216749,0.5198019801980198,128.35401696212992,320.0,16798.576354679804,0.5099009900990099,260.18326961839983,456.48220118642087,82.78562262933904,74548.79310344828,0.4460450242361187,0.22533666415456405
horizontal_shake,2138.34716065588,13774.0,4578743.921182266,0.14356435643564355,15829.908688793419,65465.0,253011945.7783251,0.1485148514851485,2098.7938145603507,12716.0,4408676.334975369,0.22277227722772278,10961.011218277481,33516.03386440586,11910.31481982227,261999366.03448275,0.9656967862472814,0.016827049628796147
horizontal_shake,1472.583973605433,7486.0,2199667.1133004925,0.054455445544554455,11764.905181831658,43520.0,141319313.46305418,0.019801980198019802,1400.5933207137275,6684.0,2127182.359605911,0.09405940594059406,10609.144825944026,23671.26485847345,5752.582811060236,145646162.9359606,0.9702920462462928,0.0146051383484865
horizontal_shake,1864.8923403491594,8834.0,3516842.339901478,0.0891089108910891,15386.577296685877,51054.0,236746866.39901477,0.019801980198019802,1161.6756848440918,6040.0,1367038.1625615763,0.07920792079207921,13918.802470802268,26616.33534128994,6920.815319040564,241630746.90147784,0.9797878350951157,0.005657550539786936
horizontal_shake,2075.3045877619343,12522.0,4309253.1034482755,0.0891089108910891,11621.756777455643,41746.0,135362776.66009852,0.01485148514851485,1273.222174589032,7301.0,1678517.5024630541,0.10891089108910891,10451.63611925036,23028.98126274803,5666.908301427786,141350547.26600984,0.9576388579901084,0.011874856765175624
rest,181.76635120570057,558.0,33379.52709359606,0.46534653465346537,158.27947021440852,556.0,25104.330049261083,0.5099009900990099,126.33862274221151,304.0,16031.083743842364,0.47029702970297027,261.48860437189165,514.8397809027581,78.3495416089963,74514.9408866995,0.4479575061912733,0.21513918622330708
vertical_shake,9486.644765648554,36792.0,90222278.59605911,0.024752475247524754,2400.6746347301996,12514.0,5854722.600985222,0.14356435643564355,891.0265577566577,4119.0,1093320.5862068965,0.15841584158415842,8917.020124232466,19244.493783937265,4202.032114023458,97170321.78325123,0.9284962418598297,0.011251589643241737
horizontal_shake,1490.692892911864,7854.0,2400623.684729064,0.1188118811881188,16218.69948084494,59639.0,266777028.79310346,0.0297029702970297,2092.9108062905298,9085.0,4488293.1034482755,0.09405940594059406,13693.218412374295,30377.570557896826,9282.333493917053,273665945.58128077,0.9748272779298685,0.008772095043210486
rest,174.1453731312942,564.0,30332.295566502464,0.49504950495049505,165.7164715506338,556.0,27530.275862068964,0.4752475247524752,129.5830644185254,316.0,17008.28078817734,0.41089108910891087,260.3390326994477,499.769947075652,84.22850034201397,74870.85221674877,0.4051282263849678,0.22716825419508918
vertical_shake,9172.876835634712,32486.0,89465305.00492612,0.01485148514851485,2218.716061910984,10766.0,4924312.807881773,0.18316831683168316,1008.1160799113587,5499.0,1376836.1625615763,0.08415841584158416,9068.204367779641,18659.826606911436,3678.875306333675,95766453.97536945,0.9342029624270731,0.014377019357067245
vertical_shake,8787.914872828474,27996.0,81672337.2364532,0.009900990099009901,1360.003699286814,6853.0,1865605.4581280788,0.15346534653465346,653.9219840114952,3658.0,440892.26600985223,0.19801980198019803,8544.681592013887,14863.934169660468,3311.684080900558,83978834.96059114,0.972534773491198,0.005250040277609833
vertical_shake,10455.569601811196,32922.0,109664639.14778325,0.019801980198019802,1886.077730918431,8642.0,3563541.108374384,0.15346534653465346,918.9902119358061,5837.0,1059985.3201970444,0.12871287128712872,9666.814319831581,17290.52257741217,4565.1797864108,114288165.57635468,0.9595450114606792,0.009274672621189984
rest,173.2545530117173,556.0,30283.16748768473,0.43564356435643564,151.2892983476059,556.0,23233.34975369458,0.45544554455445546,128.45634148550064,316.0,16523.256157635467,0.5198019801980198,252.18248194880812,507.3075989969005,80.27309136412927,70039.77339901478,0.43237100890036156,0.23591247309586375
vertical_shake,10405.005094250604,37280.0,111371570.53694582,0.01485148514851485,2117.387704452249,12071.0,4487914.581280788,0.14356435643564355,1315.9161930071266,5917.0,1783052.6650246305,0.10396039603960396,9847.256890560759,20328.515956655567,4546.874697476816,117642537.78325123,0.9466947299465839,0.015156530100615387
horizontal_shake,1419.2466806792231,7704.0,2020482.0196078431,0.07389162561576355,11018.218897737737,35843.0,124448106.17156863,0.019704433497536946,1370.0846191422447,7041.0,2093931.656862745,0.04926108374384237,10227.67135589495,18263.49005529885,4894.615253913749,128562519.84803921,0.9679967872336834,0.015715949111732182
vertical_shake,11370.173674087924,35734.0,132714531.40394089,0.01485148514851485,1962.3081237561526,9900.0,3966186.1871921183,0.14356435643564355,1497.812365780104,8597.0,2383539.054187192,0.09900990099009901,10688.689361268182,20106.184173034922,4981.5837224353245,139064256.6453202,0.95433963122836,0.01713983960857999
horizontal_shake,1615.3776750578481,7800.0,2676822.359605911,0.13861386138613863,15098.303817400725,48902.0,229690647.12807882,0.01485148514851485,2815.892256414993,11601.0,8329146.561576354,0.0297029702970297,14051.572417541282,26550.7157342321,6576.46779387341,240696616.0492611,0.9542745174326431,0.011121146626581868
horizontal_shake,1171.490400618811,9408.0,1374207.5418719212,0.14356435643564355,4453.241738722338,31573.0,21438586.39408867,0.2524752475247525,1376.7937116041205,7722.0,2261782.6502463054,0.10891089108910891,2194.372260563495,22014.12496557608,4501.033988793725,25074576.586206898,0.8549929575234254,0.054804815433168654
horizontal_shake,1498.3523397838533,7952.0,2246917.2167487685,0.09405940594059406,14665.865802416014,52540.0,216990796.2857143,0.039603960396039604,1654.0659870012041,8662.0,2736584.1625615763,0.13861386138613863,12465.533604911185,28199.42118200301,8159.949118092258,221974297.66502464,0.9775491963180764,0.010122420660339379
vertical_shake,8100.028149393451,26960.0,66451679.33004926,0.01485148514851485,2044.6980561072794,11915.0,4485798.768472906,0.1485148514851485,1178.335219736963,6148.0,1442279.60591133,0.13861386138613863,7743.924797396922,13792.151536290485,3522.979766716597,72379757.7044335,0.9180975653636221,0.019926560293292962
horizontal_shake,1478.315470772145,6990.0,2188803.5270935963,0.054455445544554455,11490.249219520681,40763.0,132799325.71428572,0.019801980198019802,1214.5040569292491,5926.0,1495538.197044335,0.13861386138613863,10299.939896621432,22646.095689985945,5513.157494975971,136483667.43842363,0.9730052555497151,0.01095763489590479
rest,176.50682871734182,564.0,31157.083743842366,0.4158415841584158,156.733613996837,555.0,24864.221674876848,0.4801980198019802,131.9252209508457,576.0,17471.940886699507,0.49504950495049505,259.8217313276305,485.4132260250023,77.3686902779884,73493.24630541872,0.42394485629824635,0.23773532623787888
rest,170.60282354119497,566.0,29448.39408866995,0.5297029702970297,154.2634007985565,555.0,23992.783251231525,0.4603960396039604,129.45217368645953,312.0,16758.093596059112,0.47029702970297027,254.20545412407432,533.4885190892115,74.69175342388037,70199.2709359606,0.4194971499851374,0.23872176124659067
horizontal_shake,1954.0716609687875,9586.0,3881607.4285714286,0.0891089108910891,15615.23665213877,55826.0,247315421.07881773,0.024752475247524754,1970.1465152281078,11063.0,3884999.684729064,0.09900990099009901,13357.118237488323,29987.34626471639,8756.107615937293,255082028.19211823,0.969552511526014,0.015217094893286435
