label,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_energy,gx_zcr,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_energy,gy_zcr,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy,gy_gx_energy_ratio
rest,14.152709359605911,146.81146829087777,-367.0,197.0,564.0,21753.906403940888,0.4603960396039604,6.12807881773399,149.12332764208278,-178.0,375.0,553.0,22275.320197044333,0.4752475247524752,3.206896551724138,128.54834267947427,-142.0,161.0,303.0,16534.960591133004,0.5099009900990099,238.46392278126166,430.2069269549248,60.82059457034839,60564.187192118225,1.0239687430579818
vertical_shake,798.2745098039215,8891.816914573277,-12528.0,15954.0,28482.0,79701650.23529412,0.024630541871921183,71.40196078431373,1124.6715185786638,-3255.0,3606.0,6861.0,1269984.2647058824,0.13793103448275862,-556.4558823529412,3278.081568183055,-7912.0,4657.0,12569.0,11055461.916666666,0.009852216748768473,8585.708129416707,17808.877112271846,4279.335501352345,92027096.41666667,0.015934227973406476
vertical_shake,2358.7093596059112,11449.759718229172,-16440.0,19186.0,35626.0,136660507.44827586,0.01485148514851485,582.8128078817734,1627.8725015231594,-3491.0,6172.0,9663.0,2989639.6502463054,0.18811881188118812,-284.2413793103448,3204.4649232280703,-9669.0,5133.0,14802.0,10349388.60591133,0.024752475247524754,11444.372591319114,20751.969087293863,4361.865620981159,149999535.7044335,0.02187639798848137
horizontal_shake,90.27093596059113,2163.1795655926594,-4011.0,6991.0,11002.0,4687494.674876847,0.04455445544554455,-2101.399014778325,24077.9440259268,-32690.0,32543.0,65233.0,584163266.3349754,0.019801980198019802,-383.6256157635468,3444.8454372348015,-6261.0,8483.0,14744.0,12014128.69950739,0.0594059405940594,21854.145165077498,34317.242284309505,11102.30736437608,600864889.7093596,124.62163839158342
rest,-11.926108374384237,148.18138750891447,-383.0,173.0,556.0,22099.95566502463,0.5099009900990099,-29.374384236453203,153.1738370886595,-190.0,364.0,554.0,24325.07881773399,0.4752475247524752,25.55665024630542,131.84245895335775,-122.0,443.0,565.0,18035.576354679804,0.4504950495049505,245.06343988591263,582.8979327463771,66.3665674019841,64460.61083743842,1.1006845075364036
vertical_shake,834.9261083743843,18216.991684116525,-26646.0,32664.0,59310.0,332555887.6256158,0.0297029702970297,618.8226600985222,2626.3166358988083,-5938.0,7582.0,13520.0,7280480.5566502465,0.10891089108910891,-359.69950738916253,6610.144413389304,-11907.0,12078.0,23985.0,43823392.901477836,0.019801980198019802,17075.483055401433,34633.941098292584,9596.230484333018,383659761.0837439,0.021892502365937525
vertical_shake,753.7142857142857,22668.80254718571,-32672.0,32830.0,65502.0,514442694.1477833,0.024752475247524754,95.76354679802955,4901.0963137949875,-12524.0,13468.0,25992.0,24029915.733990148,0.09900990099009901,-524.6256157635468,8393.839317054271,-19777.0,17723.0,37500.0,70731770.51724137,0.07425742574257425,21396.643851495333,38136.66043323668,12303.9835944007,609204380.3990148,0.04671057827694042
horizontal_shake,393.88235294117646,1759.1241876933525,-2462.0,6202.0,8664.0,3249661.2156862747,0.07881773399014778,2687.142156862745,15650.758184490593,-23517.0,24901.0,48418.0,252166964.72058824,0.014778325123152709,-344.1617647058824,1700.3268654356948,-3789.0,5076.0,8865.0,3009558.7696078434,0.09359605911330049,14663.440864088261,24926.146312657318,6588.6027905215915,258426184.70588234,77.59792420925784
horizontal_shake,492.02463054187194,2330.529362133788,-4033.0,4809.0,8842.0,5673455.344827586,0.04455445544554455,2821.2512315270938,21388.6721174255,-32683.0,32772.0,65455.0,465434753.4581281,0.024752475247524754,-992.6453201970444,2338.0966285946324,-4867.0,6419.0,11286.0,6452040.57635468,0.07425742574257425,19406.4195150686,33242.180448941675,10047.444002554825,477560249.37931037,82.03726391932543
horizontal_shake,-3465.225490196078,20428.410494012973,-39476.0,26015.0,65491.0,429327743.00980395,0.054187192118226604,45.63725490196079,1120.3387686995786,-2222.0,2699.0,4921.0,1257241.7156862745,0.14285714285714285,-122.2156862745098,453.16790437746397,-1481.0,941.0,2422.0,220297.82352941178,0.1625615763546798,16872.28944184866,39556.65660795917,12088.471017440621,430805282.54901963,0.00292839616390121
