label,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_energy,gx_zcr,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_energy,gy_zcr,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy
horizontal_shake,-509.29064039408865,2365.092395379274,-7072.0,5016.0,12088.0,5853038.995073891,0.12871287128712872,998.320197044335,16572.926022781467,-27680.0,29433.0,57113.0,275658520.17241377,0.07425742574257425,-432.20197044334975,4491.439392483306,-8511.0,11693.0,20204.0,20359826.359605912,0.08415841584158416,15241.417946729289,31364.825712890546,8340.897104041735,301871385.5270936
horizontal_shake,-372.01960784313724,543.5287567548327,-1643.0,879.0,2522.0,433822.09803921566,0.08866995073891626,-2981.1617647058824,5814.559470129729,-13580.0,11484.0,25064.0,42696427.299019605,0.019704433497536946,165.3578431372549,495.79417810854574,-1465.0,1880.0,3345.0,273155.0833333333,0.20689655172413793,5413.377565365369,13599.373698814221,3754.8299315935833,43403404.48039216
horizontal_shake,-88.63054187192118,1112.7976533023755,-3392.0,2930.0,6322.0,1246173.9901477832,0.09405940594059406,2555.704433497537,12032.197650341228,-27543.0,24243.0,51786.0,151305405.44827586,0.019801980198019802,25.123152709359605,512.6395997361564,-1232.0,1547.0,2779.0,263430.5320197044,0.1485148514851485,10039.437090622654,27607.51674816118,7212.8158768870235,152815009.97044334
horizontal_shake,-411.2118226600985,1129.8038233556708,-4082.0,2106.0,6188.0,1445551.842364532,0.13366336633663367,-8242.857142857143,12690.655498808721,-40041.0,20735.0,60776.0,228997430.86699507,0.0297029702970297,1704.1231527093596,717.2023366735232,222.0,3809.0,3587.0,3418414.9113300494,0.0,12647.808481633758,40353.2688762633,8596.181607702498,233861397.62068966
horizontal_shake,-29.68472906403941,946.3809099472638,-2368.0,2312.0,4680.0,896518.0098522167,0.06435643564356436,-127.80788177339902,12853.807024082464,-32158.0,22308.0,54466.0,165236689.86699507,0.0594059405940594,-248.20689655172413,786.5114698268465,-1664.0,3131.0,4795.0,680206.9556650246,0.1485148514851485,9773.39663903933,32339.535757335787,8443.585314813075,166813414.83251232
horizontal_shake,-613.5270935960591,10992.869695438563,-22276.0,21035.0,43311.0,121219599.63546798,0.019801980198019802,-11058.975369458129,1669.3992856003003,-14617.0,-7120.0,7497.0,125087830.19704433,0.0,1373.9950738916257,1943.9855801770557,-3513.0,7803.0,11316.0,5666942.399014778,0.09900990099009901,15467.101954921114,26714.338266182076,3569.752000854178,251974372.2315271
horizontal_shake,-604.2610837438424,21228.572388203476,-33831.0,29478.0,63309.0,451017417.0985222,0.01485148514851485,289.14285714285717,1916.5085363075284,-3436.0,4481.0,7917.0,3756608.561576355,0.07920792079207921,-845.6354679802955,1764.6377557414805,-5278.0,2052.0,7330.0,3829045.7536945813,0.09405940594059406,19932.010414881555,33980.90531460279,7830.583135044685,458603071.4137931
horizontal_shake,11656.43842364532,21912.52168849289,-21904.0,43542.0,65446.0,616031163.4729064,0.01485148514851485,800.6847290640394,1969.5786049050703,-4661.0,4998.0,9659.0,4520335.916256158,0.04455445544554455,-154.5270935960591,1291.8426496798852,-2849.0,3061.0,5910.0,1692736.054187192,0.07920792079207921,21473.517118663647,43551.571004959165,12693.789741358145,622244235.4433497
horizontal_shake,19997.536945812808,20357.905227541483,-17322.0,48145.0,65467.0,814345789.1527094,0.024752475247524754,894.4088669950739,854.8232642618862,-1174.0,2799.0,3973.0,1530690.0344827587,0.04950495049504951,1392.4926108374384,672.2732801814253,-166.0,3286.0,3452.0,2390987.0344827585,0.009900990099009901,25220.973570072783,48201.46298609618,13497.035170709301,818267466.2216749
horizontal_shake,-20284.871921182264,25424.006638026076,-51487.0,14000.0,65487.0,1057856142.3891625,0.039603960396039604,-356.4433497536946,1254.356711269175,-2875.0,2562.0,5437.0,1700462.6206896552,0.0594059405940594,-107.07389162561576,605.6208713875578,-1528.0,2290.0,3818.0,378241.45812807884,0.09900990099009901,27074.189683511602,51582.94165710211,18081.01488991185,1059934846.4679803
horizontal_shake,-9237.275862068966,27835.521229553866,-40042.0,25445.0,65487.0,860143507.4729064,0.06930693069306931,-765.576354679803,2149.0012499411864,-4839.0,2940.0,7779.0,5204313.527093596,0.06930693069306931,157.30541871921181,495.9715998942602,-1045.0,1025.0,2070.0,270732.82266009855,0.09900990099009901,27085.83375021192,40336.32470862957,11488.087912204523,865618553.8226601
horizontal_shake,11918.87684729064,17749.48675840526,-22213.0,43271.0,65484.0,457103905.4876847,0.039603960396039604,497.8472906403941,877.7794651777482,-2030.0,2937.0,4967.0,1018348.7142857143,0.06930693069306931,164.3152709359606,431.7992362281255,-870.0,1626.0,2496.0,213450.08866995072,0.17326732673267325,17226.916466365223,43306.395659301874,12710.98160456207,458335704.2906404
horizontal_shake,-3465.225490196078,20428.410494012966,-39476.0,26015.0,65491.0,429327743.00980395,0.054187192118226604,45.63725490196079,1120.3387686995786,-2222.0,2699.0,4921.0,1257241.7156862745,0.14285714285714285,-122.2156862745098,453.16790437746397,-1481.0,941.0,2422.0,220297.82352941178,0.1625615763546798,16872.28944184866,39556.65660795917,12088.471017440621,430805282.54901963
horizontal_shake,-6170.630541871921,16077.568299040086,-32250.0,24341.0,56591.0,296564883.6945813,0.019801980198019802,-179.50738916256157,614.9083504897703,-1635.0,1365.0,3000.0,410335.18226600986,0.1485148514851485,164.2512315270936,396.68338174875214,-551.0,1017.0,1568.0,184336.1724137931,0.0594059405940594,14260.116459516785,32273.990720082944,9685.485718861986,297159555.0492611
horizontal_shake,-3077.295566502463,13385.789164556592,-29114.0,17024.0,46138.0,188649099.56157637,0.019801980198019802,694.1724137931035,465.23632940116164,-851.0,1586.0,2437.0,698320.1822660099,0.019801980198019802,-96.94581280788178,316.1364237841924,-682.0,678.0,1360.0,109340.7290640394,0.22277227722772278,11738.482488515838,29121.69495410595,7187.822294667102,189456760.4729064
horizontal_shake,2948.6206896551726,17719.266499484937,-30544.0,32759.0,63303.0,322666769.25123155,0.024752475247524754,259.6600985221675,815.4451035963734,-1542.0,3032.0,4574.0,732374.0837438423,0.12871287128712872,26.61576354679803,651.3008961213368,-1651.0,1337.0,2988.0,424901.2561576355,0.08415841584158416,15214.37817384475,32762.82506134048,9609.721191292163,323824044.591133
horizontal_shake,2127.551724137931,16664.23767094458,-24905.0,32810.0,57715.0,282223293.4926108,0.01485148514851485,252.7487684729064,529.3876385580697,-1350.0,1207.0,2557.0,344133.2118226601,0.15841584158415842,-80.61083743842364,587.2707025802929,-1638.0,846.0,2484.0,351384.9852216749,0.12871287128712872,15193.976136450981,32815.97466174058,7215.39332639691,282918811.6896552
horizontal_shake,1167.8768472906404,23362.46688147015,-32670.0,32852.0,65522.0,547168795.1182266,0.0297029702970297,-1986.5566502463055,5052.775632911524,-13324.0,6984.0,20308.0,29476948.921182267,0.06435643564356436,-121.66009852216749,3773.3139421656733,-9271.0,10591.0,19862.0,14252699.285714285,0.04950495049504951,21324.186980787694,35410.704172608595,11669.511255126656,590898443.3251232
