label,gx_std,gx_range,gx_energy,gx_zcr,gy_std,gy_range,gy_energy,gy_zcr,gz_std,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy,max_energy_ratio,min_energy_ratio
horizontal_shake,2522.713679414116,11480.0,6438159.900990099,0.11442786069651742,19127.70339524528,64851.0,365872804.8267327,0.01990049751243781,2243.6744991937926,11165.0,6269419.470297029,0.04477611940298507,16690.318682869332,32826.51277549902,10000.682299837483,378580384.1980198,0.9664336032670929,0.01656033891871628
horizontal_shake,2712.145542069729,15620.0,7359565.294117647,0.08374384236453201,18445.906902658735,63329.0,430600233.95098037,0.019704433497536946,2661.9936439795033,14073.0,7602741.259803922,0.059113300492610835,17960.908123356097,39728.85797502868,11089.108164738178,445562540.50490195,0.9664192897882156,0.01651746864935716
horizontal_shake,2307.253109743715,14302.0,5323594.733990148,0.10396039603960396,17595.25507263193,63902.0,311982705.8374384,0.01485148514851485,2652.4970284914434,14022.0,7120722.78817734,0.07425742574257425,15067.305432428799,33028.42191204418,9869.312557899235,324427023.3596059,0.9616421671866285,0.0164092210286974
horizontal_shake,1323.3885946382666,6344.0,1769982.2266009853,0.1188118811881188,11367.93712709198,44729.0,129873609.4679803,0.0594059405940594,1193.1080816155209,6845.0,1564449.8078817734,0.12376237623762376,9510.807798974649,23590.18620104555,6538.545443248525,133208041.50246306,0.9749682376763935,0.011744409648518452
horizontal_shake,1171.490400618811,9408.0,1374207.5418719212,0.14356435643564355,4453.241738722338,31573.0,21438586.39408867,0.2524752475247525,1376.7937116041205,7722.0,2261782.6502463054,0.10891089108910891,2194.372260563495,22014.12496557608,4501.033988793725,25074576.586206898,0.8549929575234254,0.054804815433168654
horizontal_shake,2050.394460245069,10356.0,4207211.445544555,0.11940298507462686,12240.602331812315,47369.0,150849517.54950494,0.014925373134328358,1716.828613002154,9719.0,3033036.4653465347,0.09950248756218906,11225.511902871413,25454.10406987447,5663.7132677147665,158089765.46039605,0.9542016658079938,0.019185533336162474
horizontal_shake,2476.735751551509,12176.0,6184519.645320197,0.07920792079207921,13390.631807770107,52150.0,180025294.7635468,0.0297029702970297,2263.332928494203,9867.0,5134252.857142857,0.09405940594059406,11873.021248155897,26730.711120357424,7097.5653365677745,191344067.26600984,0.940845971008197,0.026832568840533373
horizontal_shake,1804.7594723775383,7506.0,3276149.1231527096,0.08415841584158416,14737.17332734193,52747.0,221826540.63054186,0.034653465346534656,2076.9457052354683,10055.0,4329125.921182266,0.06435643564356436,13032.218837068493,28779.139736969206,7719.655941661778,229431815.67487684,0.9668516983053812,0.014279401980566086
horizontal_shake,2575.9170422787265,11234.0,6638219.0344827585,0.0594059405940594,17014.373763633314,63877.0,291092394.0788177,0.0297029702970297,2439.0768932018127,12737.0,5966842.793103448,0.04455445544554455,14789.284001883101,33549.783084246614,9218.163299597622,303697455.90640396,0.9584946742804755,0.019647325577012275
horizontal_shake,2138.34716065588,13774.0,4578743.921182266,0.14356435643564355,15829.908688793419,65465.0,253011945.7783251,0.1485148514851485,2098.7938145603507,12716.0,4408676.334975369,0.22277227722772278,10961.011218277481,33516.03386440586,11910.31481982227,261999366.03448275,0.9656967862472814,0.016827049628796147
